"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142",""
"0.189","0.025"
"0.236","0.026"
"0.284","0.023"
"0.331","0.022"
"0.378","0.026"
"0.425","0.030"
"0.473","0.028"
"0.520","0.021"
"0.567","0.018"
"0.614","0.021"
"0.662","0.024"
"0.709","0.021"
"0.756","0.016"
"0.803","0.015"
"0.851","0.022"
"0.898","0.028"
"0.945","0.030"
"0.992","0.027"
"1.040","0.023"
"1.087","0.020"
"1.134","0.019"
"1.181","0.022"
"1.229","0.026"
"1.276","0.027"
"1.323","0.024"
"1.370","0.024"
"1.418","0.029"
"1.465","0.035"
"1.512","0.038"
"1.559","0.038"
"1.607","0.034"
"1.654","0.028"
"1.701","0.023"
"1.748","0.022"
"1.796","0.024"
"1.843","0.025"
"1.890","0.026"
"1.938","0.028"
"1.985","0.033"
"2.032","0.035"
"2.079","0.031"
"2.127","0.025"
"2.174","0.023"
"2.221","0.025"
"2.268","0.027"
"2.316","0.025"
"2.363","0.022"
"2.410","0.021"
"2.457","0.022"
"2.505","0.024"
"2.552","0.028"
"2.599","0.032"
"2.646","0.033"
"2.694","0.029"
"2.741","0.025"
"2.788","0.023"
"2.835","0.022"
"2.883","0.022"
"2.930","0.022"
"2.977","0.025"
"3.024","0.027"
"3.072","0.026"
"3.119","0.025"
"3.166","0.025"
"3.213","0.025"
"3.261","0.025"
"3.308","0.023"
"3.355","0.022"
"3.402","0.024"
"3.450","0.028"
"3.497","0.031"
"3.544","0.029"
"3.591","0.026"
"3.639","0.025"
"3.686","0.027"
"3.733","0.028"
"3.781","0.025"
"3.828","0.022"
"3.875","0.023"
"3.922","0.027"
"3.970","0.030"
"4.017","0.030"
"4.064","0.029"
"4.111","0.029"
"4.159","0.030"
"4.206","0.030"
"4.253","0.029"
"4.300","0.028"
"4.348","0.030"
"4.395","0.034"
"4.442","0.035"
"4.489","0.033"
"4.537","0.030"
"4.584","0.029"
"4.631","0.028"
"4.678","0.028"
"4.726","0.029"
"4.773","0.029"
"4.820","0.027"
"4.867","0.025"
"4.915","0.027"
"4.962","0.031"
"5.009","0.032"
"5.056","0.032"
"5.104","0.031"
"5.151","0.029"
"5.198","0.026"
"5.245","0.022"
"5.293","0.021"
"5.340","0.026"
"5.387","0.032"
"5.434","0.035"
"5.482","0.033"
"5.529","0.030"
"5.576","0.028"
"5.624","0.029"
"5.671","0.029"
"5.718","0.028"
"5.765","0.027"
"5.813","0.027"
"5.860","0.027"
"5.907","0.028"
"5.954","0.028"
"6.002","0.028"
"6.049","0.028"
"6.096","0.030"
"6.143","0.032"
"6.191","0.032"
"6.238","0.031"
"6.285","0.030"
"6.332","0.028"
"6.380","0.028"
"6.427","0.030"
"6.474","0.035"
"6.521","0.038"
"6.569","0.039"
"6.616","0.038"
"6.663","0.035"
"6.710","0.031"
"6.758","0.028"
"6.805","0.027"
"6.852","0.031"
"6.899","0.038"
"6.947","0.042"
"6.994","0.039"
"7.041","0.032"
"7.088","0.024"
"7.136","0.019"
"7.183","0.020"
"7.230","0.027"
"7.277","0.036"
"7.325","0.037"
"7.372","0.027"
"7.419","0.018"
"7.467","0.019"
"7.514","0.026"
"7.561","0.032"
"7.608","0.034"
"7.656","0.034"
"7.703","0.032"
"7.750","0.031"
"7.797","0.030"
"7.845","0.030"
"7.892","0.030"
"7.939","0.031"
"7.986","0.031"
"8.034","0.033"
"8.081","0.033"
"8.128","0.033"
"8.175","0.034"
"8.223","0.038"
"8.270","0.040"
"8.317","0.043"
"8.364","0.050"
"8.412","0.066"
"8.459","0.087"
"8.506","0.106"
"8.553","0.123"
"8.601","0.140"
"8.648","0.165"
"8.695","0.199"
"8.742","0.240"
"8.790","0.278"
"8.837","0.303"
"8.884","0.309"
"8.931","0.300"
"8.979","0.286"
"9.026","0.274"
"9.073","0.266"
"9.120","0.270"
"9.168","0.315"
"9.215","0.414"
"9.262","0.543"
"9.310","0.659"
"9.357","0.752"
"9.404","0.840"
"9.451","0.936"
"9.499","1.035"
"9.546","1.127"
"9.593","1.205"
"9.640","1.272"
"9.688","1.340"
"9.735","1.419"
"9.782","1.503"
"9.829","1.578"
"9.877","1.640"
"9.924","1.693"
"9.971","1.746"
"10.018","1.805"
"10.066","1.866"
"10.113","1.922"
"10.160","1.973"
"10.207","2.026"
"10.255","2.081"
"10.302","2.133"
"10.349","2.179"
"10.396","2.224"
"10.444","2.274"
"10.491","2.330"
"10.538","2.382"
"10.585","2.425"
"10.633","2.459"
"10.680","2.488"
"10.727","2.518"
"10.774","2.549"
"10.822","2.580"
"10.869","2.608"
"10.916","2.634"
"10.963","2.659"
"11.011","2.683"
"11.058","2.709"
"11.105","2.736"
"11.153","2.764"
"11.200","2.792"
"11.247","2.821"
"11.294","2.851"
"11.342","2.884"
"11.389","2.916"
"11.436","2.944"
"11.483","2.967"
"11.531","2.987"
"11.578","3.008"
"11.625","3.029"
"11.672","3.051"
"11.720","3.073"
"11.767","3.094"
"11.814","3.114"
"11.861","3.133"
"11.909","3.154"
"11.956","3.177"
"12.003","3.198"
"12.050","3.216"
"12.098","3.231"
"12.145","3.247"
"12.192","3.264"
"12.239","3.281"
"12.287","3.296"
"12.334","3.309"
"12.381","3.321"
"12.428","3.334"
"12.476","3.347"
"12.523","3.361"
"12.570","3.374"
"12.617","3.387"
"12.665","3.398"
"12.712","3.409"
"12.759","3.420"
"12.806","3.430"
"12.854","3.440"
"12.901","3.450"
"12.948","3.458"
"12.996","3.468"
"13.043","3.477"
"13.090","3.487"
"13.137","3.496"
"13.185","3.504"
"13.232","3.511"
"13.279","3.517"
"13.326","3.523"
"13.374","3.529"
"13.421","3.535"
"13.468","3.540"
"13.515","3.546"
"13.563","3.552"
"13.610","3.558"
"13.657","3.563"
"13.704","3.568"
"13.752","3.573"
"13.799","3.578"
"13.846","3.583"
"13.893","3.587"
"13.941","3.591"
"13.988","3.594"
"14.035","3.596"
"14.082","3.599"
"14.130","3.601"
"14.177","3.604"
"14.224","3.606"
"14.271","3.609"
"14.319","3.612"
"14.366","3.616"
"14.413","3.620"
"14.460","3.623"
"14.508","3.626"
"14.555","3.628"
"14.602","3.629"
"14.649","3.630"
"14.697","3.632"
"14.744","3.635"
"14.791","3.636"
"14.839","3.638"
"14.886","3.641"
"14.933","3.645"
"14.980","3.648"
"15.028","3.652"
"15.075","3.656"
"15.122","3.659"
"15.169","3.661"
"15.217","3.663"
"15.264","3.664"
"15.311","3.665"
"15.358","3.666"
"15.406","3.667"
"15.453","3.667"
"15.500","3.667"
"15.547","3.667"
"15.595","3.667"
"15.642","3.667"
"15.689","3.665"
"15.736","3.663"
"15.784","3.661"
"15.831","3.660"
"15.878","3.659"
"15.925","3.657"
"15.973","3.654"
"16.020","3.652"
"16.067","3.651"
"16.114","3.650"
"16.162","3.649"
"16.209","3.648"
"16.256","3.648"
"16.303","3.648"
"16.351","3.649"
"16.398","3.650"
"16.445","3.651"
"16.492","3.652"
"16.540","3.653"
"16.587","3.654"
"16.634","3.653"
"16.682","3.652"
"16.729","3.651"
"16.776","3.650"
"16.823","3.647"
"16.871","3.645"
"16.918","3.643"
"16.965","3.640"
"17.012","3.638"
"17.060","3.636"
"17.107","3.634"
"17.154","3.632"
"17.201","3.629"
"17.249","3.627"
"17.296","3.624"
"17.343","3.622"
"17.390","3.620"
"17.438","3.616"
"17.485","3.612"
"17.532","3.609"
"17.579","3.605"
"17.627","3.600"
"17.674","3.596"
"17.721","3.594"
"17.768","3.591"
"17.816","3.586"
"17.863","3.582"
"17.910","3.577"
"17.957","3.570"
"18.005","3.564"
"18.052","3.559"
"18.099","3.556"
"18.146","3.554"
"18.194","3.551"
"18.241","3.549"
"18.288","3.546"
"18.336","3.542"
"18.383","3.538"
"18.430","3.533"
"18.477","3.529"
"18.525","3.526"
"18.572","3.524"
"18.619","3.522"
"18.666","3.518"
"18.714","3.515"
"18.761","3.512"
"18.808","3.510"
"18.855","3.508"
"18.903","3.503"
"18.950","3.497"
"18.997","3.491"
"19.044","3.486"
"19.092","3.481"
"19.139","3.476"
"19.186","3.470"
"19.233","3.466"
"19.281","3.462"
"19.328","3.457"
"19.375","3.451"
"19.422","3.444"
"19.470","3.439"
"19.517","3.434"
