"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.048"
"0.189","0.046"
"0.236","0.039"
"0.284","0.032"
"0.331","0.031"
"0.378","0.036"
"0.425","0.041"
"0.473","0.042"
"0.520","0.041"
"0.567","0.040"
"0.614","0.041"
"0.662","0.044"
"0.709","0.048"
"0.756","0.049"
"0.803","0.046"
"0.851","0.041"
"0.898","0.035"
"0.945","0.034"
"0.992","0.037"
"1.040","0.043"
"1.087","0.044"
"1.134","0.041"
"1.181","0.037"
"1.229","0.036"
"1.276","0.038"
"1.323","0.041"
"1.370","0.043"
"1.418","0.045"
"1.465","0.045"
"1.512","0.042"
"1.559","0.036"
"1.607","0.031"
"1.654","0.029"
"1.701","0.029"
"1.748","0.032"
"1.796","0.036"
"1.843","0.038"
"1.890","0.038"
"1.938","0.039"
"1.985","0.040"
"2.032","0.042"
"2.079","0.043"
"2.127","0.045"
"2.174","0.046"
"2.221","0.045"
"2.268","0.044"
"2.316","0.043"
"2.363","0.041"
"2.410","0.039"
"2.457","0.040"
"2.505","0.044"
"2.552","0.043"
"2.599","0.036"
"2.646","0.025"
"2.694","0.019"
"2.741","0.024"
"2.788","0.036"
"2.835","0.045"
"2.883","0.047"
"2.930","0.043"
"2.977","0.036"
"3.024","0.026"
"3.072","0.021"
"3.119","0.024"
"3.166","0.031"
"3.213","0.034"
"3.261","0.034"
"3.308","0.032"
"3.355","0.030"
"3.402","0.028"
"3.450","0.028"
"3.497","0.031"
"3.544","0.034"
"3.591","0.035"
"3.639","0.035"
"3.686","0.035"
"3.733","0.034"
"3.781","0.035"
"3.828","0.037"
"3.875","0.037"
"3.922","0.036"
"3.970","0.036"
"4.017","0.041"
"4.064","0.045"
"4.111","0.048"
"4.159","0.048"
"4.206","0.049"
"4.253","0.047"
"4.300","0.045"
"4.348","0.041"
"4.395","0.040"
"4.442","0.041"
"4.489","0.043"
"4.537","0.042"
"4.584","0.039"
"4.631","0.034"
"4.678","0.033"
"4.726","0.035"
"4.773","0.038"
"4.820","0.040"
"4.867","0.041"
"4.915","0.043"
"4.962","0.044"
"5.009","0.045"
"5.056","0.045"
"5.104","0.044"
"5.151","0.042"
"5.198","0.041"
"5.245","0.039"
"5.293","0.038"
"5.340","0.037"
"5.387","0.038"
"5.434","0.039"
"5.482","0.040"
"5.529","0.041"
"5.576","0.042"
"5.624","0.043"
"5.671","0.043"
"5.718","0.042"
"5.765","0.040"
"5.813","0.039"
"5.860","0.040"
"5.907","0.042"
"5.954","0.044"
"6.002","0.046"
"6.049","0.049"
"6.096","0.050"
"6.143","0.048"
"6.191","0.045"
"6.238","0.044"
"6.285","0.046"
"6.332","0.048"
"6.380","0.049"
"6.427","0.053"
"6.474","0.058"
"6.521","0.058"
"6.569","0.052"
"6.616","0.045"
"6.663","0.046"
"6.710","0.057"
"6.758","0.101"
"6.805","0.222"
"6.852","0.400"
"6.899","0.576"
"6.947","0.702"
"6.994","0.816"
"7.041","0.949"
"7.088","1.096"
"7.136","1.242"
"7.183","1.359"
"7.230","1.440"
"7.277","1.505"
"7.325","1.572"
"7.372","1.696"
"7.419","1.814"
"7.467","1.972"
"7.514","2.174"
"7.561","2.295"
"7.608","2.327"
"7.656","2.372"
"7.703","2.433"
"7.750","2.485"
"7.797","2.535"
"7.845","2.585"
"7.892","2.639"
"7.939","2.692"
"7.986","2.742"
"8.034","2.793"
"8.081","2.845"
"8.128","2.894"
"8.175","2.939"
"8.223","2.982"
"8.270","3.028"
"8.317","3.076"
"8.364","3.124"
"8.412","3.170"
"8.459","3.209"
"8.506","3.242"
"8.553","3.270"
"8.601","3.294"
"8.648","3.316"
"8.695","3.339"
"8.742","3.363"
"8.790","3.383"
"8.837","3.401"
"8.884","3.419"
"8.931","3.441"
"8.979","3.461"
"9.026","3.479"
"9.073","3.494"
"9.120","3.509"
"9.168","3.523"
"9.215","3.536"
"9.262","3.547"
"9.310","3.559"
"9.357","3.575"
"9.404","3.591"
"9.451","3.605"
"9.499","3.617"
"9.546","3.627"
"9.593","3.636"
"9.640","3.644"
"9.688","3.652"
"9.735","3.662"
"9.782","3.673"
"9.829","3.683"
"9.877","3.693"
"9.924","3.702"
"9.971","3.712"
"10.018","3.721"
"10.066","3.732"
"10.113","3.744"
"10.160","3.753"
"10.207","3.761"
"10.255","3.769"
"10.302","3.778"
"10.349","3.786"
"10.396","3.793"
"10.444","3.801"
"10.491","3.808"
"10.538","3.815"
"10.585","3.823"
"10.633","3.832"
"10.680","3.843"
"10.727","3.854"
"10.774","3.865"
"10.822","3.877"
"10.869","3.890"
"10.916","3.902"
"10.963","3.913"
"11.011","3.923"
"11.058","3.933"
"11.105","3.944"
"11.153","3.954"
"11.200","3.964"
"11.247","3.974"
"11.294","3.985"
"11.342","3.997"
"11.389","4.008"
"11.436","4.017"
"11.483","4.025"
"11.531","4.032"
"11.578","4.036"
"11.625","4.039"
"11.672","4.040"
"11.720","4.043"
"11.767","4.045"
"11.814","4.049"
"11.861","4.054"
"11.909","4.058"
"11.956","4.064"
"12.003","4.071"
"12.050","4.077"
"12.098","4.082"
"12.145","4.085"
"12.192","4.088"
"12.239","4.090"
"12.287","4.092"
"12.334","4.091"
"12.381","4.090"
"12.428","4.088"
"12.476","4.087"
"12.523","4.083"
"12.570","4.081"
"12.617","4.080"
"12.665","4.079"
"12.712","4.078"
"12.759","4.074"
"12.806","4.069"
"12.854","4.063"
"12.901","4.060"
"12.948","4.058"
"12.996","4.055"
"13.043","4.050"
"13.090","4.043"
"13.137","4.036"
"13.185","4.028"
"13.232","4.023"
"13.279","4.019"
"13.326","4.015"
"13.374","4.013"
"13.421","4.012"
"13.468","4.014"
"13.515","4.018"
"13.563","4.023"
"13.610","4.028"
"13.657","4.031"
"13.704","4.034"
"13.752","4.036"
"13.799","4.038"
"13.846","4.039"
"13.893","4.039"
"13.941","4.038"
"13.988","4.039"
"14.035","4.041"
"14.082","4.042"
"14.130","4.042"
"14.177","4.039"
"14.224","4.036"
"14.271","4.035"
"14.319","4.033"
"14.366","4.030"
"14.413","4.027"
"14.460","4.026"
"14.508","4.025"
"14.555","4.022"
"14.602","4.020"
"14.649","4.018"
"14.697","4.016"
"14.744","4.014"
"14.791","4.011"
"14.839","4.008"
"14.886","4.006"
"14.933","4.004"
"14.980","4.002"
"15.028","3.998"
"15.075","3.996"
"15.122","3.996"
"15.169","3.998"
"15.217","3.997"
"15.264","3.996"
"15.311","3.996"
"15.358","3.995"
"15.406","3.992"
"15.453","3.987"
"15.500","3.983"
"15.547","3.980"
"15.595","3.977"
"15.642","3.974"
"15.689","3.972"
"15.736","3.971"
"15.784","3.969"
"15.831","3.968"
"15.878","3.968"
"15.925","3.967"
"15.973","3.965"
"16.020","3.961"
"16.067","3.958"
"16.114","3.956"
"16.162","3.953"
"16.209","3.947"
"16.256","3.942"
"16.303","3.938"
"16.351","3.933"
"16.398","3.928"
"16.445","3.925"
"16.492","3.922"
"16.540","3.921"
"16.587","3.919"
"16.634","3.916"
"16.682","3.914"
"16.729","3.911"
"16.776","3.908"
"16.823","3.903"
"16.871","3.897"
"16.918","3.890"
"16.965","3.884"
"17.012","3.878"
"17.060","3.872"
"17.107","3.866"
"17.154","3.862"
"17.201","3.857"
"17.249","3.854"
"17.296","3.851"
"17.343","3.848"
"17.390","3.845"
"17.438","3.842"
"17.485","3.838"
"17.532","3.833"
"17.579","3.827"
"17.627","3.822"
"17.674","3.818"
"17.721","3.812"
"17.768","3.807"
"17.816","3.803"
"17.863","3.800"
"17.910","3.798"
"17.957","3.796"
"18.005","3.795"
"18.052","3.793"
"18.099","3.789"
"18.146","3.784"
"18.194","3.782"
"18.241","3.781"
"18.288","3.782"
"18.335","3.782"
"18.383","3.782"
"18.430","3.785"
"18.477","3.787"
"18.525","3.787"
"18.572","3.786"
"18.619","3.786"
"18.666","3.786"
"18.714","3.786"
"18.761","3.785"
"18.808","3.784"
"18.855","3.783"
"18.903","3.783"
"18.950","3.785"
"18.997","3.789"
"19.044","3.792"
"19.092","3.795"
"19.139","3.798"
"19.186","3.803"
"19.233","3.805"
"19.281","3.807"
"19.328","3.807"
"19.375","3.808"
"19.422","3.808"
"19.470","3.809"
