"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.039"
"0.189","0.045"
"0.236","0.047"
"0.284","0.047"
"0.331","0.049"
"0.378","0.051"
"0.425","0.052"
"0.473","0.054"
"0.520","0.059"
"0.567","0.063"
"0.614","0.057"
"0.662","0.043"
"0.709","0.032"
"0.756","0.038"
"0.803","0.053"
"0.851","0.064"
"0.898","0.059"
"0.945","0.044"
"0.992","0.030"
"1.040","0.023"
"1.087","0.020"
"1.134","0.015"
"1.181","0.010"
"1.229","0.012"
"1.276","0.015"
"1.323","0.020"
"1.370","0.034"
"1.418","0.055"
"1.465","0.069"
"1.512","0.067"
"1.560","0.058"
"1.607","0.050"
"1.654","0.041"
"1.701","0.035"
"1.749","0.034"
"1.796","0.039"
"1.843","0.044"
"1.890","0.049"
"1.938","0.052"
"1.985","0.052"
"2.032","0.051"
"2.079","0.052"
"2.127","0.052"
"2.174","0.050"
"2.221","0.046"
"2.268","0.045"
"2.316","0.050"
"2.363","0.055"
"2.410","0.054"
"2.457","0.047"
"2.505","0.044"
"2.552","0.047"
"2.599","0.049"
"2.646","0.050"
"2.694","0.049"
"2.741","0.047"
"2.788","0.045"
"2.836","0.048"
"2.883","0.054"
"2.930","0.052"
"2.977","0.029"
"3.025","0.000"
"3.072","-0.006"
"3.119","0.014"
"3.166","0.035"
"3.214","0.039"
"3.261","0.033"
"3.308","0.030"
"3.355","0.035"
"3.403","0.047"
"3.450","0.064"
"3.497","0.075"
"3.544","0.071"
"3.592","0.055"
"3.639","0.040"
"3.686","0.038"
"3.733","0.050"
"3.781","0.061"
"3.828","0.061"
"3.875","0.054"
"3.922","0.050"
"3.970","0.049"
"4.017","0.047"
"4.064","0.045"
"4.111","0.046"
"4.159","0.052"
"4.206","0.055"
"4.253","0.047"
"4.301","0.033"
"4.348","0.026"
"4.395","0.035"
"4.442","0.049"
"4.490","0.054"
"4.537","0.049"
"4.584","0.043"
"4.631","0.042"
"4.679","0.043"
"4.726","0.043"
"4.773","0.042"
"4.820","0.039"
"4.868","0.039"
"4.915","0.041"
"4.962","0.043"
"5.009","0.042"
"5.057","0.039"
"5.104","0.036"
"5.151","0.037"
"5.198","0.040"
"5.246","0.042"
"5.293","0.042"
"5.340","0.041"
"5.387","0.041"
"5.435","0.040"
"5.482","0.039"
"5.529","0.038"
"5.576","0.036"
"5.624","0.036"
"5.671","0.037"
"5.718","0.038"
"5.766","0.039"
"5.813","0.040"
"5.860","0.042"
"5.907","0.043"
"5.955","0.042"
"6.002","0.041"
"6.049","0.040"
"6.096","0.039"
"6.144","0.039"
"6.191","0.039"
"6.238","0.040"
"6.285","0.041"
"6.333","0.043"
"6.380","0.044"
"6.427","0.041"
"6.474","0.038"
"6.522","0.038"
"6.569","0.040"
"6.616","0.042"
"6.663","0.043"
"6.711","0.041"
"6.758","0.040"
"6.805","0.039"
"6.852","0.039"
"6.900","0.040"
"6.947","0.043"
"6.994","0.048"
"7.041","0.050"
"7.089","0.045"
"7.136","0.038"
"7.183","0.037"
"7.231","0.042"
"7.278","0.045"
"7.325","0.043"
"7.372","0.041"
"7.420","0.043"
"7.467","0.045"
"7.514","0.044"
"7.561","0.040"
"7.609","0.037"
"7.656","0.035"
"7.703","0.034"
"7.750","0.034"
"7.798","0.031"
"7.845","0.030"
"7.892","0.035"
"7.939","0.042"
"7.987","0.044"
"8.034","0.040"
"8.081","0.036"
"8.128","0.035"
"8.176","0.035"
"8.223","0.035"
"8.270","0.037"
"8.317","0.039"
"8.365","0.042"
"8.412","0.041"
"8.459","0.038"
"8.507","0.037"
"8.554","0.037"
"8.601","0.036"
"8.648","0.033"
"8.696","0.030"
"8.743","0.030"
"8.790","0.032"
"8.837","0.033"
"8.885","0.032"
"8.932","0.032"
"8.979","0.035"
"9.026","0.038"
"9.074","0.038"
"9.121","0.037"
"9.168","0.035"
"9.215","0.036"
"9.263","0.037"
"9.310","0.037"
"9.357","0.036"
"9.404","0.037"
"9.452","0.039"
"9.499","0.038"
"9.546","0.035"
"9.593","0.033"
"9.641","0.035"
"9.688","0.037"
"9.735","0.038"
"9.782","0.038"
"9.830","0.041"
"9.877","0.042"
"9.924","0.041"
"9.972","0.039"
"10.019","0.037"
"10.066","0.038"
"10.113","0.042"
"10.161","0.041"
"10.208","0.061"
"10.255","0.189"
"10.302","0.447"
"10.350","0.744"
"10.397","0.976"
"10.444","1.118"
"10.491","1.232"
"10.539","1.349"
"10.586","1.464"
"10.633","1.567"
"10.680","1.656"
"10.728","1.735"
"10.775","1.809"
"10.822","1.878"
"10.869","1.940"
"10.917","1.996"
"10.964","2.045"
"11.011","2.090"
"11.058","2.137"
"11.106","2.189"
"11.153","2.243"
"11.200","2.296"
"11.247","2.345"
"11.295","2.391"
"11.342","2.434"
"11.389","2.476"
"11.437","2.520"
"11.484","2.566"
"11.531","2.613"
"11.578","2.659"
"11.626","2.700"
"11.673","2.738"
"11.720","2.776"
"11.767","2.815"
"11.815","2.853"
"11.862","2.888"
"11.909","2.922"
"11.956","2.955"
"12.004","2.990"
"12.051","3.026"
"12.098","3.061"
"12.145","3.095"
"12.193","3.128"
"12.240","3.158"
"12.287","3.186"
"12.334","3.215"
"12.382","3.245"
"12.429","3.277"
"12.476","3.307"
"12.523","3.334"
"12.571","3.357"
"12.618","3.378"
"12.665","3.398"
"12.713","3.421"
"12.760","3.447"
"12.807","3.475"
"12.854","3.502"
"12.902","3.527"
"12.949","3.550"
"12.996","3.572"
"13.043","3.596"
"13.091","3.621"
"13.138","3.649"
"13.185","3.675"
"13.232","3.699"
"13.280","3.720"
"13.327","3.743"
"13.374","3.765"
"13.421","3.785"
"13.469","3.802"
"13.516","3.819"
"13.563","3.837"
"13.610","3.857"
"13.658","3.879"
"13.705","3.901"
"13.752","3.922"
"13.799","3.941"
"13.847","3.958"
"13.894","3.976"
"13.941","3.996"
"13.988","4.016"
"14.036","4.036"
"14.083","4.055"
"14.130","4.071"
"14.178","4.085"
"14.225","4.100"
"14.272","4.116"
"14.319","4.134"
"14.367","4.151"
"14.414","4.168"
"14.461","4.185"
"14.508","4.202"
"14.556","4.217"
"14.603","4.231"
"14.650","4.243"
"14.697","4.255"
"14.745","4.269"
"14.792","4.283"
"14.839","4.299"
"14.886","4.314"
"14.934","4.328"
"14.981","4.342"
"15.028","4.356"
"15.075","4.371"
"15.123","4.385"
"15.170","4.397"
"15.217","4.408"
"15.264","4.419"
"15.312","4.429"
"15.359","4.438"
"15.406","4.448"
"15.453","4.459"
"15.501","4.469"
"15.548","4.478"
"15.595","4.488"
"15.643","4.498"
"15.690","4.508"
"15.737","4.518"
"15.784","4.525"
"15.832","4.533"
"15.879","4.541"
"15.926","4.551"
"15.973","4.562"
"16.021","4.574"
"16.068","4.585"
"16.115","4.597"
"16.162","4.607"
"16.210","4.617"
"16.257","4.627"
"16.304","4.637"
"16.351","4.646"
"16.399","4.655"
"16.446","4.665"
"16.493","4.674"
"16.540","4.682"
"16.588","4.690"
"16.635","4.698"
"16.682","4.705"
"16.729","4.712"
"16.777","4.719"
"16.824","4.727"
"16.871","4.737"
"16.918","4.750"
"16.966","4.763"
"17.013","4.776"
"17.060","4.787"
"17.108","4.796"
"17.155","4.806"
"17.202","4.815"
"17.249","4.822"
"17.297","4.828"
"17.344","4.834"
"17.391","4.841"
"17.438","4.848"
"17.486","4.855"
"17.533","4.860"
"17.580","4.866"
"17.627","4.871"
"17.675","4.876"
"17.722","4.881"
"17.769","4.885"
"17.816","4.889"
"17.864","4.890"
"17.911","4.890"
"17.958","4.887"
"18.005","4.885"
"18.053","4.884"
"18.100","4.885"
"18.147","4.888"
"18.194","4.891"
"18.242","4.894"
"18.289","4.897"
"18.336","4.900"
"18.384","4.903"
"18.431","4.906"
"18.478","4.909"
"18.525","4.912"
"18.573","4.913"
"18.620","4.914"
"18.667","4.914"
"18.714","4.914"
"18.762","4.914"
"18.809","4.914"
"18.856","4.914"
"18.903","4.914"
"18.951","4.914"
"18.998","4.914"
"19.045","4.915"
"19.092","4.917"
"19.140","4.921"
"19.187","4.924"
"19.234","4.927"
"19.281","4.930"
"19.329","4.933"
"19.376","4.935"
"19.423","4.938"
"19.470","4.940"
