"X(mm)","Z(mm)"
"0.000","0.050"
"0.047","0.048"
"0.095","0.043"
"0.142","0.044"
"0.189","0.055"
"0.236","0.069"
"0.284","0.074"
"0.331","0.066"
"0.378","0.049"
"0.425","0.035"
"0.473","0.033"
"0.520","0.041"
"0.567","0.051"
"0.614","0.057"
"0.662","0.056"
"0.709","0.051"
"0.756","0.048"
"0.803","0.051"
"0.851","0.056"
"0.898","0.055"
"0.945","0.050"
"0.992","0.048"
"1.040","0.056"
"1.087","0.066"
"1.134","0.069"
"1.181","0.068"
"1.229","0.070"
"1.276","0.072"
"1.323","0.066"
"1.370","0.053"
"1.418","0.048"
"1.465","0.053"
"1.512","0.062"
"1.560","0.068"
"1.607","0.066"
"1.654","0.058"
"1.701","0.054"
"1.749","0.054"
"1.796","0.056"
"1.843","0.057"
"1.890","0.059"
"1.938","0.062"
"1.985","0.061"
"2.032","0.054"
"2.079","0.048"
"2.127","0.050"
"2.174","0.064"
"2.221","0.079"
"2.268","0.081"
"2.316","0.069"
"2.363","0.053"
"2.410","0.041"
"2.457","0.035"
"2.505","0.038"
"2.552","0.048"
"2.599","0.059"
"2.646","0.064"
"2.694","0.059"
"2.741","0.046"
"2.788","0.034"
"2.835","0.037"
"2.883","0.057"
"2.930","0.076"
"2.977","0.085"
"3.025","0.086"
"3.072","0.087"
"3.119","0.083"
"3.166","0.068"
"3.214","0.053"
"3.261","0.049"
"3.308","0.058"
"3.355","0.064"
"3.403","0.065"
"3.450","0.069"
"3.497","0.079"
"3.544","0.083"
"3.592","0.078"
"3.639","0.069"
"3.686","0.059"
"3.733","0.051"
"3.781","0.051"
"3.828","0.059"
"3.875","0.073"
"3.922","0.076"
"3.970","0.059"
"4.017","0.033"
"4.064","0.015"
"4.111","0.012"
"4.159","0.017"
"4.206","0.032"
"4.253","0.062"
"4.300","0.087"
"4.348","0.088"
"4.395","0.067"
"4.442","0.050"
"4.490","0.053"
"4.537","0.071"
"4.584","0.085"
"4.631","0.085"
"4.679","0.076"
"4.726","0.068"
"4.773","0.066"
"4.820","0.069"
"4.868","0.073"
"4.915","0.078"
