"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.040"
"0.189","0.037"
"0.236","0.035"
"0.284","0.038"
"0.331","0.046"
"0.378","0.052"
"0.425","0.051"
"0.473","0.046"
"0.520","0.041"
"0.567","0.041"
"0.614","0.042"
"0.662","0.043"
"0.709","0.042"
"0.756","0.041"
"0.803","0.040"
"0.851","0.037"
"0.898","0.039"
"0.945","0.049"
"0.992","0.061"
"1.040","0.060"
"1.087","0.043"
"1.134","0.029"
"1.181","0.029"
"1.229","0.038"
"1.276","0.039"
"1.323","0.028"
"1.370","0.023"
"1.418","0.039"
"1.465","0.066"
"1.512","0.079"
"1.559","0.069"
"1.607","0.058"
"1.654","0.059"
"1.701","0.066"
"1.749","0.067"
"1.796","0.059"
"1.843","0.050"
"1.890","0.044"
"1.938","0.042"
"1.985","0.043"
"2.032","0.042"
"2.079","0.041"
"2.127","0.039"
"2.174","0.034"
"2.221","0.030"
"2.268","0.034"
"2.316","0.051"
"2.363","0.067"
"2.410","0.068"
"2.457","0.052"
"2.505","0.034"
"2.552","0.028"
"2.599","0.033"
"2.646","0.041"
"2.694","0.049"
"2.741","0.056"
"2.788","0.060"
"2.835","0.060"
"2.883","0.058"
"2.930","0.055"
"2.977","0.053"
"3.024","0.052"
"3.072","0.052"
"3.119","0.054"
"3.166","0.057"
"3.213","0.057"
"3.261","0.055"
"3.308","0.052"
"3.355","0.051"
"3.403","0.052"
"3.450","0.054"
"3.497","0.055"
"3.544","0.056"
"3.592","0.059"
"3.639","0.061"
"3.686","0.060"
"3.733","0.057"
"3.781","0.056"
"3.828","0.056"
"3.875","0.057"
"3.922","0.058"
"3.970","0.058"
"4.017","0.057"
"4.064","0.058"
"4.111","0.059"
"4.159","0.059"
"4.206","0.058"
"4.253","0.055"
"4.300","0.055"
"4.348","0.055"
"4.395","0.054"
"4.442","0.053"
"4.489","0.052"
"4.537","0.051"
"4.584","0.053"
"4.631","0.057"
"4.678","0.057"
"4.726","0.053"
"4.773","0.048"
"4.820","0.047"
"4.867","0.050"
"4.915","0.055"
"4.962","0.059"
"5.009","0.060"
"5.057","0.061"
"5.104","0.062"
"5.151","0.062"
"5.198","0.061"
"5.246","0.063"
"5.293","0.066"
"5.340","0.067"
"5.387","0.064"
"5.435","0.062"
"5.482","0.062"
"5.529","0.062"
"5.576","0.063"
"5.624","0.063"
"5.671","0.062"
"5.718","0.061"
"5.765","0.057"
"5.813","0.052"
"5.860","0.052"
"5.907","0.056"
"5.954","0.060"
"6.002","0.061"
"6.049","0.060"
"6.096","0.059"
"6.143","0.056"
"6.191","0.057"
"6.238","0.061"
"6.285","0.066"
"6.332","0.066"
"6.380","0.061"
"6.427","0.054"
"6.474","0.050"
"6.521","0.053"
"6.569","0.063"
"6.616","0.069"
"6.663","0.068"
"6.710","0.063"
"6.758","0.062"
"6.805","0.062"
"6.852","0.062"
"6.900","0.060"
"6.947","0.060"
"6.994","0.061"
"7.041","0.060"
"7.089","0.058"
"7.136","0.059"
"7.183","0.065"
"7.230","0.068"
"7.278","0.065"
"7.325","0.059"
"7.372","0.054"
"7.419","0.051"
"7.467","0.049"
"7.514","0.049"
"7.561","0.055"
"7.608","0.061"
"7.656","0.062"
"7.703","0.059"
"7.750","0.054"
"7.797","0.052"
"7.845","0.051"
"7.892","0.054"
"7.939","0.060"
"7.986","0.063"
"8.034","0.060"
"8.081","0.056"
"8.128","0.056"
"8.175","0.061"
"8.223","0.065"
"8.270","0.067"
"8.317","0.068"
"8.364","0.068"
"8.412","0.067"
"8.459","0.065"
"8.506","0.064"
"8.554","0.066"
"8.601","0.069"
"8.648","0.069"
"8.695","0.065"
"8.743","0.063"
"8.790","0.062"
"8.837","0.060"
"8.884","0.057"
"8.932","0.058"
"8.979","0.062"
"9.026","0.067"
"9.073","0.069"
"9.121","0.068"
"9.168","0.066"
"9.215","0.065"
"9.262","0.065"
"9.310","0.065"
"9.357","0.065"
"9.404","0.066"
"9.451","0.066"
"9.499","0.067"
"9.546","0.068"
"9.593","0.067"
"9.640","0.065"
"9.688","0.065"
"9.735","0.067"
"9.782","0.069"
"9.829","0.071"
"9.877","0.072"
"9.924","0.073"
"9.971","0.074"
"10.018","0.074"
"10.066","0.073"
"10.113","0.072"
"10.160","0.072"
"10.208","0.072"
"10.255","0.071"
"10.302","0.070"
"10.349","0.069"
"10.397","0.069"
"10.444","0.070"
"10.491","0.069"
"10.538","0.069"
"10.586","0.070"
"10.633","0.072"
"10.680","0.072"
"10.727","0.070"
"10.775","0.070"
"10.822","0.070"
"10.869","0.070"
"10.916","0.070"
"10.964","0.071"
"11.011","0.073"
"11.058","0.072"
"11.105","0.070"
"11.153","0.071"
"11.200","0.073"
"11.247","0.076"
"11.294","0.077"
"11.342","0.078"
"11.389","0.076"
"11.436","0.072"
"11.483","0.069"
"11.531","0.068"
"11.578","0.069"
"11.625","0.070"
"11.672","0.071"
"11.720","0.072"
"11.767","0.071"
"11.814","0.067"
"11.862","0.063"
"11.909","0.060"
"11.956","0.061"
"12.003","0.064"
"12.051","0.066"
"12.098","0.066"
"12.145","0.064"
"12.192","0.062"
"12.240","0.060"
"12.287","0.060"
"12.334","0.062"
"12.381","0.064"
"12.429","0.066"
"12.476","0.069"
"12.523","0.082"
"12.570","0.108"
"12.618","0.146"
"12.665","0.187"
"12.712","0.262"
"12.759","0.426"
"12.807","0.672"
"12.854","0.927"
"12.901","1.113"
"12.948","1.223"
"12.996","1.305"
"13.043","1.384"
"13.090","1.460"
"13.137","1.531"
"13.185","1.600"
"13.232","1.671"
"13.279","1.743"
"13.326","1.810"
"13.374","1.869"
"13.421","1.920"
"13.468","1.966"
"13.516","2.012"
"13.563","2.056"
"13.610","2.096"
"13.657","2.132"
"13.705","2.164"
"13.752","2.198"
"13.799","2.235"
"13.846","2.273"
"13.894","2.309"
"13.941","2.342"
"13.988","2.379"
"14.035","2.426"
"14.083","2.478"
"14.130","2.525"
"14.177","2.564"
"14.224","2.601"
"14.272","2.640"
"14.319","2.679"
"14.366","2.716"
"14.413","2.750"
"14.461","2.779"
"14.508","2.803"
"14.555","2.825"
"14.602","2.848"
"14.650","2.873"
"14.697","2.898"
"14.744","2.920"
"14.791","2.941"
"14.839","2.964"
"14.886","2.988"
"14.933","3.014"
"14.980","3.039"
"15.028","3.063"
"15.075","3.087"
"15.122","3.108"
"15.170","3.128"
"15.217","3.146"
"15.264","3.165"
"15.311","3.185"
"15.359","3.202"
"15.406","3.220"
"15.453","3.237"
"15.500","3.255"
"15.548","3.272"
"15.595","3.288"
"15.642","3.302"
"15.689","3.318"
"15.737","3.336"
"15.784","3.353"
"15.831","3.370"
"15.878","3.388"
"15.926","3.409"
"15.973","3.430"
"16.020","3.450"
"16.067","3.468"
"16.115","3.483"
"16.162","3.496"
"16.209","3.509"
"16.256","3.523"
"16.304","3.540"
"16.351","3.560"
"16.398","3.582"
"16.445","3.603"
"16.493","3.621"
"16.540","3.636"
"16.587","3.650"
"16.634","3.662"
"16.682","3.673"
"16.729","3.682"
"16.776","3.691"
"16.823","3.699"
"16.871","3.707"
"16.918","3.714"
"16.965","3.720"
"17.013","3.726"
"17.060","3.733"
"17.107","3.742"
"17.154","3.751"
"17.202","3.760"
"17.249","3.769"
"17.296","3.777"
"17.343","3.785"
"17.391","3.793"
"17.438","3.800"
"17.485","3.808"
"17.532","3.815"
"17.580","3.820"
"17.627","3.825"
"17.674","3.832"
"17.721","3.840"
"17.769","3.847"
"17.816","3.855"
"17.863","3.862"
"17.910","3.869"
"17.958","3.876"
"18.005","3.883"
"18.052","3.890"
"18.099","3.896"
"18.147","3.904"
"18.194","3.913"
"18.241","3.922"
"18.288","3.931"
"18.336","3.938"
"18.383","3.944"
"18.430","3.951"
"18.477","3.957"
"18.525","3.961"
"18.572","3.963"
"18.619","3.965"
"18.667","3.968"
"18.714","3.971"
"18.761","3.971"
"18.808","3.971"
"18.856","3.973"
"18.903","3.975"
"18.950","3.976"
"18.997","3.975"
"19.045","3.973"
"19.092","3.973"
"19.139","3.973"
"19.186","3.972"
"19.234","3.971"
"19.281","3.973"
"19.328","3.977"
"19.375","3.981"
"19.423","3.985"
"19.470","3.990"
