"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.019"
"0.189","0.028"
"0.236","0.035"
"0.284","0.037"
"0.331","0.037"
"0.378","0.038"
"0.425","0.039"
"0.473","0.037"
"0.520","0.033"
"0.567","0.031"
"0.614","0.032"
"0.662","0.035"
"0.709","0.038"
"0.756","0.042"
"0.803","0.043"
"0.851","0.040"
"0.898","0.035"
"0.945","0.032"
"0.992","0.032"
"1.040","0.034"
"1.087","0.036"
"1.134","0.039"
"1.181","0.041"
"1.229","0.042"
"1.276","0.042"
"1.323","0.042"
"1.370","0.043"
"1.418","0.044"
"1.465","0.044"
"1.512","0.043"
"1.559","0.042"
"1.607","0.042"
"1.654","0.043"
"1.701","0.045"
"1.748","0.046"
"1.796","0.046"
"1.843","0.045"
"1.890","0.044"
"1.938","0.043"
"1.985","0.044"
"2.032","0.046"
"2.079","0.047"
"2.127","0.046"
"2.174","0.044"
"2.221","0.042"
"2.268","0.039"
"2.316","0.034"
"2.363","0.030"
"2.410","0.032"
"2.457","0.046"
"2.505","0.062"
"2.552","0.064"
"2.599","0.048"
"2.646","0.021"
"2.694","0.001"
"2.741","-0.001"
"2.788","0.013"
"2.835","0.033"
"2.883","0.047"
"2.930","0.050"
"2.977","0.048"
"3.024","0.042"
"3.072","0.035"
"3.119","0.034"
"3.166","0.039"
"3.213","0.049"
"3.261","0.062"
"3.308","0.070"
"3.355","0.067"
"3.402","0.052"
"3.450","0.037"
"3.497","0.032"
"3.544","0.039"
"3.592","0.052"
"3.639","0.057"
"3.686","0.050"
"3.733","0.041"
"3.781","0.047"
"3.828","0.063"
"3.875","0.069"
"3.922","0.058"
"3.970","0.040"
"4.017","0.032"
"4.064","0.040"
"4.111","0.051"
"4.159","0.057"
"4.206","0.056"
"4.253","0.058"
"4.300","0.061"
"4.348","0.062"
"4.395","0.062"
"4.442","0.062"
"4.489","0.061"
"4.537","0.059"
"4.584","0.057"
"4.631","0.054"
"4.678","0.052"
"4.726","0.055"
"4.773","0.062"
"4.820","0.069"
"4.867","0.070"
"4.915","0.065"
"4.962","0.060"
"5.009","0.057"
"5.056","0.055"
"5.104","0.053"
"5.151","0.054"
"5.198","0.060"
"5.245","0.067"
"5.293","0.068"
"5.340","0.060"
"5.387","0.049"
"5.435","0.045"
"5.482","0.050"
"5.529","0.056"
"5.576","0.060"
"5.624","0.064"
"5.671","0.066"
"5.718","0.061"
"5.765","0.052"
"5.813","0.048"
"5.860","0.050"
"5.907","0.052"
"5.954","0.054"
"6.002","0.055"
"6.049","0.057"
"6.096","0.057"
"6.143","0.055"
"6.191","0.055"
"6.238","0.057"
"6.285","0.059"
"6.332","0.059"
"6.380","0.057"
"6.427","0.056"
"6.474","0.056"
"6.521","0.057"
"6.569","0.057"
"6.616","0.057"
"6.663","0.057"
"6.710","0.059"
"6.758","0.060"
"6.805","0.060"
"6.852","0.059"
"6.899","0.057"
"6.947","0.055"
"6.994","0.054"
"7.041","0.055"
"7.089","0.056"
"7.136","0.057"
"7.183","0.058"
"7.230","0.059"
"7.278","0.060"
"7.325","0.060"
"7.372","0.060"
"7.419","0.060"
"7.467","0.060"
"7.514","0.059"
"7.561","0.060"
"7.608","0.060"
"7.656","0.060"
"7.703","0.059"
"7.750","0.060"
"7.797","0.060"
"7.845","0.061"
"7.892","0.061"
"7.939","0.062"
"7.986","0.062"
"8.034","0.062"
"8.081","0.061"
"8.128","0.060"
"8.175","0.060"
"8.223","0.060"
"8.270","0.059"
"8.317","0.059"
"8.364","0.060"
"8.412","0.060"
"8.459","0.061"
"8.506","0.062"
"8.553","0.062"
"8.601","0.063"
"8.648","0.064"
"8.695","0.065"
"8.742","0.065"
"8.790","0.062"
"8.837","0.061"
"8.884","0.061"
"8.932","0.062"
"8.979","0.063"
"9.026","0.062"
"9.073","0.059"
"9.121","0.056"
"9.168","0.056"
"9.215","0.060"
"9.262","0.065"
"9.310","0.067"
"9.357","0.065"
"9.404","0.062"
"9.451","0.061"
"9.499","0.062"
"9.546","0.062"
"9.593","0.061"
"9.640","0.060"
"9.688","0.061"
"9.735","0.063"
"9.782","0.064"
"9.829","0.064"
"9.877","0.064"
"9.924","0.064"
"9.971","0.064"
"10.018","0.064"
"10.066","0.063"
"10.113","0.065"
"10.160","0.069"
"10.207","0.072"
"10.255","0.070"
"10.302","0.066"
"10.349","0.063"
"10.396","0.064"
"10.444","0.067"
"10.491","0.067"
"10.538","0.066"
"10.585","0.064"
"10.633","0.063"
"10.680","0.063"
"10.727","0.062"
"10.775","0.063"
"10.822","0.066"
"10.869","0.067"
"10.916","0.064"
"10.964","0.059"
"11.011","0.057"
"11.058","0.057"
"11.105","0.059"
"11.153","0.061"
"11.200","0.065"
"11.247","0.067"
"11.294","0.067"
"11.342","0.064"
"11.389","0.059"
"11.436","0.056"
"11.483","0.058"
"11.531","0.064"
"11.578","0.068"
"11.625","0.069"
"11.672","0.068"
"11.720","0.068"
"11.767","0.068"
"11.814","0.069"
"11.861","0.068"
"11.909","0.066"
"11.956","0.064"
"12.003","0.063"
"12.050","0.061"
"12.098","0.059"
"12.145","0.058"
"12.192","0.062"
"12.239","0.066"
"12.287","0.068"
"12.334","0.068"
"12.381","0.067"
"12.429","0.067"
"12.476","0.068"
"12.523","0.068"
"12.570","0.069"
"12.618","0.070"
"12.665","0.072"
"12.712","0.073"
"12.759","0.071"
"12.807","0.082"
"12.854","0.157"
"12.901","0.366"
"12.948","0.692"
"12.996","1.024"
"13.043","1.265"
"13.090","1.401"
"13.137","1.488"
"13.185","1.572"
"13.232","1.657"
"13.279","1.738"
"13.326","1.816"
"13.374","1.893"
"13.421","1.970"
"13.468","2.045"
"13.515","2.116"
"13.563","2.183"
"13.610","2.250"
"13.657","2.317"
"13.704","2.380"
"13.752","2.438"
"13.799","2.492"
"13.846","2.545"
"13.893","2.597"
"13.941","2.649"
"13.988","2.700"
"14.035","2.747"
"14.082","2.791"
"14.130","2.837"
"14.177","2.884"
"14.224","2.931"
"14.272","2.975"
"14.319","3.015"
"14.366","3.052"
"14.413","3.087"
"14.461","3.123"
"14.508","3.162"
"14.555","3.198"
"14.602","3.233"
"14.650","3.268"
"14.697","3.304"
"14.744","3.340"
"14.791","3.374"
"14.839","3.406"
"14.886","3.436"
"14.933","3.464"
"14.980","3.493"
"15.028","3.522"
"15.075","3.554"
"15.122","3.585"
"15.169","3.616"
"15.217","3.647"
"15.264","3.677"
"15.311","3.705"
"15.358","3.732"
"15.406","3.756"
"15.453","3.778"
"15.500","3.798"
"15.547","3.817"
"15.595","3.836"
"15.642","3.854"
"15.689","3.872"
"15.736","3.887"
"15.784","3.904"
"15.831","3.924"
"15.878","3.951"
"15.926","3.981"
"15.973","4.011"
"16.020","4.041"
"16.067","4.069"
"16.115","4.099"
"16.162","4.128"
"16.209","4.154"
"16.256","4.177"
"16.304","4.201"
"16.351","4.224"
"16.398","4.247"
"16.445","4.270"
"16.493","4.294"
"16.540","4.318"
"16.587","4.339"
"16.634","4.359"
"16.682","4.379"
"16.729","4.399"
"16.776","4.419"
"16.823","4.437"
"16.871","4.450"
"16.918","4.460"
"16.965","4.470"
"17.012","4.482"
"17.060","4.496"
"17.107","4.510"
"17.154","4.523"
"17.201","4.535"
"17.249","4.547"
"17.296","4.559"
"17.343","4.572"
"17.390","4.585"
"17.438","4.599"
"17.485","4.611"
"17.532","4.623"
"17.579","4.634"
"17.627","4.644"
"17.674","4.654"
"17.721","4.664"
"17.769","4.672"
"17.816","4.681"
"17.863","4.690"
"17.910","4.699"
"17.958","4.706"
"18.005","4.713"
"18.052","4.717"
"18.099","4.721"
"18.147","4.725"
"18.194","4.728"
"18.241","4.732"
"18.288","4.735"
"18.336","4.738"
"18.383","4.741"
"18.430","4.745"
"18.477","4.750"
"18.525","4.754"
"18.572","4.758"
"18.619","4.760"
"18.666","4.761"
"18.714","4.761"
"18.761","4.762"
"18.808","4.764"
"18.855","4.765"
"18.903","4.766"
"18.950","4.766"
"18.997","4.766"
"19.044","4.767"
"19.092","4.768"
"19.139","4.770"
"19.186","4.771"
"19.233","4.773"
"19.281","4.775"
"19.328","4.777"
"19.375","4.779"
"19.422","4.782"
"19.470","4.786"
