"X(mm)","Z(mm)"
"0.000",""
"0.024",""
"0.047",""
"0.071","0.019"
"0.095","0.018"
"0.118","0.018"
"0.142","0.018"
"0.165","0.017"
"0.189","0.017"
"0.213","0.017"
"0.236","0.017"
"0.260","0.017"
"0.284","0.017"
"0.307","0.016"
"0.331","0.017"
"0.354","0.017"
"0.378","0.018"
"0.402","0.019"
"0.425","0.019"
"0.449","0.019"
"0.473","0.019"
"0.496","0.018"
"0.520","0.017"
"0.543","0.017"
"0.567","0.017"
"0.591","0.018"
"0.614","0.018"
"0.638","0.017"
"0.662","0.016"
"0.685","0.015"
"0.709","0.015"
"0.732","0.014"
"0.756","0.013"
"0.780","0.013"
"0.803","0.013"
"0.827","0.014"
"0.851","0.015"
"0.874","0.015"
"0.898","0.017"
"0.922","0.019"
"0.945","0.022"
"0.969","0.022"
"0.992","0.021"
"1.016","0.019"
"1.040","0.015"
"1.063","0.011"
"1.087","0.009"
"1.111","0.007"
"1.134","0.009"
"1.158","0.012"
"1.181","0.015"
"1.205","0.017"
"1.229","0.018"
"1.252","0.017"
"1.276","0.017"
"1.300","0.018"
"1.323","0.019"
"1.347","0.021"
"1.370","0.021"
"1.394","0.021"
"1.418","0.021"
"1.441","0.020"
"1.465","0.018"
"1.489","0.017"
"1.512","0.016"
"1.536","0.016"
"1.559","0.016"
"1.583","0.016"
"1.607","0.014"
"1.630","0.013"
"1.654","0.012"
"1.678","0.013"
"1.701","0.014"
"1.725","0.017"
"1.748","0.019"
"1.772","0.022"
"1.796","0.023"
"1.819","0.022"
"1.843","0.021"
"1.867","0.018"
"1.890","0.017"
"1.914","0.016"
"1.938","0.017"
"1.961","0.018"
"1.985","0.020"
"2.008","0.021"
"2.032","0.021"
"2.056","0.019"
"2.079","0.018"
"2.103","0.017"
"2.127","0.017"
"2.150","0.018"
"2.174","0.019"
"2.197","0.020"
"2.221","0.021"
"2.245","0.021"
"2.268","0.020"
"2.292","0.020"
"2.316","0.020"
"2.339","0.020"
"2.363","0.019"
"2.386","0.018"
"2.410","0.017"
"2.434","0.017"
"2.457","0.018"
"2.481","0.021"
"2.505","0.024"
"2.528","0.027"
"2.552","0.028"
"2.575","0.026"
"2.599","0.023"
"2.623","0.019"
"2.646","0.014"
"2.670","0.012"
"2.694","0.013"
"2.717","0.015"
"2.741","0.018"
"2.765","0.019"
"2.788","0.020"
"2.812","0.020"
"2.835","0.019"
"2.859","0.018"
"2.883","0.018"
"2.906","0.018"
"2.930","0.019"
"2.954","0.019"
"2.977","0.019"
"3.001","0.019"
"3.024","0.018"
"3.048","0.017"
"3.072","0.014"
"3.095","0.010"
"3.119","0.006"
"3.143","0.006"
"3.166","0.010"
"3.190","0.020"
"3.213","0.030"
"3.237","0.039"
"3.261","0.045"
"3.284","0.046"
"3.308","0.043"
"3.332","0.036"
"3.355","0.028"
"3.379","0.022"
"3.402","0.020"
"3.426","0.019"
"3.450","0.019"
"3.473","0.019"
"3.497","0.019"
"3.521","0.019"
"3.544","0.020"
"3.568","0.020"
"3.591","0.020"
"3.615","0.019"
"3.639","0.018"
"3.662","0.018"
"3.686","0.019"
"3.710","0.019"
"3.733","0.020"
"3.757","0.021"
"3.781","0.022"
"3.804","0.023"
"3.828","0.023"
"3.851","0.024"
"3.875","0.023"
"3.899","0.021"
"3.922","0.020"
"3.946","0.019"
"3.970","0.018"
"3.993","0.018"
"4.017","0.019"
"4.040","0.020"
"4.064","0.021"
"4.088","0.022"
"4.111","0.022"
"4.135","0.021"
"4.159","0.021"
"4.182","0.022"
"4.206","0.022"
"4.229","0.022"
"4.253","0.021"
"4.277","0.020"
"4.300","0.019"
"4.324","0.019"
"4.348","0.019"
"4.371","0.019"
"4.395","0.020"
"4.418","0.021"
"4.442","0.021"
"4.466","0.020"
"4.489","0.020"
"4.513","0.019"
"4.537","0.019"
"4.560","0.019"
"4.584","0.020"
"4.608","0.020"
"4.631","0.020"
"4.655","0.018"
"4.678","0.015"
"4.702","0.014"
"4.726","0.014"
"4.749","0.014"
"4.773","0.015"
"4.797","0.015"
"4.820","0.015"
"4.844","0.014"
"4.867","0.012"
"4.891","0.012"
"4.915","0.016"
"4.938","0.022"
"4.962","0.028"
"4.986","0.031"
"5.009","0.029"
"5.033","0.021"
"5.056","0.010"
"5.080","-0.001"
"5.104","-0.006"
"5.127","-0.006"
"5.151","-0.002"
"5.175","0.005"
"5.198","0.013"
"5.222","0.019"
"5.245","0.023"
"5.269","0.023"
"5.293","0.022"
"5.316","0.021"
"5.340","0.018"
"5.364","0.016"
"5.387","0.013"
"5.411","0.010"
"5.434","0.008"
"5.458","0.007"
"5.482","0.007"
"5.505","0.008"
"5.529","0.010"
"5.553","0.012"
"5.576","0.013"
"5.600","0.014"
"5.624","0.014"
"5.647","0.014"
"5.671","0.013"
"5.694","0.012"
"5.718","0.012"
"5.742","0.013"
"5.765","0.016"
"5.789","0.017"
"5.813","0.017"
"5.836","0.017"
"5.860","0.017"
"5.883","0.019"
"5.907","0.021"
"5.931","0.024"
"5.954","0.028"
"5.978","0.032"
"6.002","0.033"
"6.025","0.033"
"6.049","0.031"
"6.072","0.028"
"6.096","0.025"
"6.120","0.023"
"6.143","0.021"
"6.167","0.019"
"6.191","0.018"
"6.214","0.017"
"6.238","0.018"
"6.261","0.019"
"6.285","0.021"
"6.309","0.023"
"6.332","0.024"
"6.356","0.024"
"6.380","0.025"
"6.403","0.027"
"6.427","0.031"
"6.451","0.034"
"6.474","0.035"
"6.498","0.033"
"6.521","0.028"
"6.545","0.020"
"6.569","0.014"
"6.592","0.013"
"6.616","0.068"
"6.640","0.187"
"6.663","0.359"
"6.687","0.562"
"6.710","0.770"
"6.734","0.965"
"6.758","1.106"
"6.781","1.201"
"6.805","1.270"
"6.829","1.330"
"6.852","1.388"
"6.876","1.445"
"6.899","1.498"
"6.923","1.550"
"6.947","1.598"
"6.970","1.641"
"6.994","1.679"
"7.018","1.714"
"7.041","1.748"
"7.065","1.778"
"7.088","1.807"
"7.112","1.835"
"7.136","1.862"
"7.159","1.889"
"7.183","1.916"
"7.207","1.944"
"7.230","1.972"
"7.254","2.000"
"7.277","2.028"
"7.301","2.056"
"7.325","2.082"
"7.348","2.107"
"7.372","2.133"
"7.396","2.158"
"7.419","2.182"
"7.443","2.206"
"7.467","2.229"
"7.490","2.252"
"7.514","2.274"
"7.537","2.295"
"7.561","2.315"
"7.585","2.336"
"7.608","2.357"
"7.632","2.377"
"7.656","2.396"
"7.679","2.415"
"7.703","2.436"
"7.726","2.456"
"7.750","2.477"
"7.774","2.498"
"7.797","2.518"
"7.821","2.540"
"7.845","2.563"
"7.868","2.586"
"7.892","2.607"
"7.915","2.627"
"7.939","2.645"
"7.963","2.663"
"7.986","2.679"
"8.010","2.694"
"8.034","2.709"
"8.057","2.725"
"8.081","2.741"
"8.104","2.757"
"8.128","2.771"
"8.152","2.785"
"8.175","2.800"
"8.199","2.814"
"8.223","2.830"
"8.246","2.846"
"8.270","2.864"
"8.294","2.886"
"8.317","2.910"
"8.341","2.937"
"8.364","2.966"
"8.388","2.996"
"8.412","3.024"
"8.435","3.050"
"8.459","3.072"
"8.483","3.092"
"8.506","3.109"
"8.530","3.123"
"8.553","3.136"
"8.577","3.148"
"8.601","3.158"
"8.624","3.168"
"8.648","3.178"
"8.672","3.189"
"8.695","3.200"
"8.719","3.210"
"8.742","3.221"
"8.766","3.232"
"8.790","3.243"
"8.813","3.254"
"8.837","3.264"
"8.861","3.276"
"8.884","3.287"
"8.908","3.299"
"8.931","3.311"
"8.955","3.322"
"8.979","3.334"
"9.002","3.345"
"9.026","3.356"
"9.050","3.368"
"9.073","3.379"
"9.097","3.390"
"9.120","3.402"
"9.144","3.414"
"9.168","3.425"
"9.191","3.436"
"9.215","3.448"
"9.239","3.459"
"9.262","3.470"
"9.286","3.480"
"9.310","3.491"
"9.333","3.501"
"9.357","3.510"
"9.380","3.518"
"9.404","3.525"
"9.428","3.532"
"9.451","3.539"
"9.475","3.546"
"9.499","3.553"
"9.522","3.561"
"9.546","3.569"
"9.569","3.577"
"9.593","3.584"
"9.617","3.591"
"9.640","3.598"
"9.664","3.606"
"9.688","3.614"
"9.711","3.622"
"9.735","3.630"
"9.758","3.637"
"9.782","3.645"
"9.806","3.652"
"9.829","3.658"
"9.853","3.665"
"9.877","3.672"
"9.900","3.678"
"9.924","3.685"
"9.947","3.690"
"9.971","3.695"
"9.995","3.701"
"10.018","3.706"
"10.042","3.712"
"10.066","3.718"
"10.089","3.724"
"10.113","3.731"
"10.137","3.737"
"10.160","3.743"
"10.184","3.749"
"10.207","3.754"
"10.231","3.761"
"10.255","3.767"
"10.278","3.773"
"10.302","3.780"
"10.326","3.787"
"10.349","3.793"
"10.373","3.799"
"10.396","3.804"
"10.420","3.809"
"10.444","3.814"
"10.467","3.818"
"10.491","3.822"
"10.515","3.827"
"10.538","3.832"
"10.562","3.837"
"10.585","3.841"
"10.609","3.846"
"10.633","3.851"
"10.656","3.855"
"10.680","3.859"
"10.704","3.864"
"10.727","3.868"
"10.751","3.873"
"10.774","3.877"
"10.798","3.882"
"10.822","3.886"
"10.845","3.891"
"10.869","3.896"
"10.893","3.901"
"10.916","3.906"
"10.940","3.911"
"10.963","3.916"
"10.987","3.921"
"11.011","3.926"
"11.034","3.930"
"11.058","3.934"
"11.082","3.938"
"11.105","3.941"
"11.129","3.944"
"11.153","3.948"
"11.176","3.952"
"11.200","3.956"
"11.223","3.960"
"11.247","3.964"
"11.271","3.968"
"11.294","3.972"
"11.318","3.975"
"11.342","3.978"
"11.365","3.982"
"11.389","3.985"
"11.412","3.989"
"11.436","3.993"
"11.460","3.997"
"11.483","4.000"
"11.507","4.004"
"11.531","4.008"
"11.554","4.012"
"11.578","4.016"
"11.601","4.019"
"11.625","4.023"
"11.649","4.026"
"11.672","4.029"
"11.696","4.033"
"11.720","4.036"
"11.743","4.040"
"11.767","4.042"
"11.790","4.044"
"11.814","4.047"
"11.838","4.049"
"11.861","4.050"
"11.885","4.052"
"11.909","4.054"
"11.932","4.055"
"11.956","4.056"
"11.980","4.056"
"12.003","4.057"
"12.027","4.057"
"12.050","4.057"
"12.074","4.057"
"12.098","4.058"
"12.121","4.057"
"12.145","4.056"
"12.169","4.054"
"12.192","4.053"
"12.216","4.052"
"12.239","4.050"
"12.263","4.048"
"12.287","4.046"
"12.310","4.045"
"12.334","4.043"
"12.358","4.040"
"12.381","4.038"
"12.405","4.035"
"12.428","4.033"
"12.452","4.030"
"12.476","4.028"
"12.499","4.027"
"12.523","4.026"
"12.547","4.026"
"12.570","4.026"
"12.594","4.025"
"12.617","4.025"
"12.641","4.024"
"12.665","4.024"
"12.688","4.023"
"12.712","4.022"
"12.736","4.021"
"12.759","4.021"
"12.783","4.021"
"12.806","4.020"
"12.830","4.020"
"12.854","4.020"
"12.877","4.019"
"12.901","4.019"
"12.925","4.018"
"12.948","4.017"
"12.972","4.016"
"12.996","4.014"
"13.019","4.012"
"13.043","4.010"
"13.066","4.009"
"13.090","4.008"
"13.114","4.008"
"13.137","4.007"
"13.161","4.008"
"13.185","4.007"
"13.208","4.006"
"13.232","4.005"
"13.255","4.004"
"13.279","4.002"
"13.303","4.000"
"13.326","3.998"
"13.350","3.997"
"13.374","3.996"
"13.397","3.996"
"13.421","3.995"
"13.444","3.995"
"13.468","3.996"
"13.492","3.996"
"13.515","3.996"
"13.539","3.995"
"13.563","3.995"
