"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142",""
"0.189","0.038"
"0.236","0.042"
"0.284","0.046"
"0.331","0.046"
"0.378","0.043"
"0.425","0.038"
"0.473","0.036"
"0.520","0.036"
"0.567","0.036"
"0.614","0.036"
"0.662","0.038"
"0.709","0.039"
"0.756","0.036"
"0.803","0.031"
"0.851","0.029"
"0.898","0.034"
"0.945","0.039"
"0.992","0.037"
"1.040","0.028"
"1.087","0.017"
"1.134","0.011"
"1.181","0.014"
"1.229","0.021"
"1.276","0.030"
"1.323","0.035"
"1.370","0.035"
"1.418","0.033"
"1.465","0.032"
"1.512","0.035"
"1.559","0.035"
"1.607","0.033"
"1.654","0.032"
"1.701","0.031"
"1.749","0.031"
"1.796","0.032"
"1.843","0.032"
"1.890","0.034"
"1.938","0.036"
"1.985","0.040"
"2.032","0.040"
"2.079","0.033"
"2.127","0.025"
"2.174","0.023"
"2.221","0.027"
"2.268","0.031"
"2.316","0.034"
"2.363","0.035"
"2.410","0.036"
"2.457","0.038"
"2.505","0.038"
"2.552","0.035"
"2.599","0.032"
"2.646","0.031"
"2.694","0.031"
"2.741","0.031"
"2.788","0.030"
"2.835","0.030"
"2.883","0.030"
"2.930","0.031"
"2.977","0.032"
"3.024","0.033"
"3.072","0.033"
"3.119","0.034"
"3.166","0.035"
"3.213","0.034"
"3.261","0.034"
"3.308","0.035"
"3.355","0.038"
"3.403","0.039"
"3.450","0.035"
"3.497","0.030"
"3.544","0.027"
"3.592","0.027"
"3.639","0.032"
"3.686","0.037"
"3.733","0.038"
"3.781","0.037"
"3.828","0.036"
"3.875","0.037"
"3.922","0.038"
"3.970","0.039"
"4.017","0.038"
"4.064","0.038"
"4.111","0.038"
"4.159","0.039"
"4.206","0.040"
"4.253","0.040"
"4.300","0.040"
"4.348","0.042"
"4.395","0.043"
"4.442","0.044"
"4.489","0.045"
"4.537","0.046"
"4.584","0.042"
"4.631","0.037"
"4.678","0.037"
"4.726","0.046"
"4.773","0.059"
"4.820","0.070"
"4.867","0.116"
"4.915","0.242"
"4.962","0.417"
"5.009","0.562"
"5.057","0.653"
"5.104","0.736"
"5.151","0.829"
"5.198","0.919"
"5.246","0.996"
"5.293","1.066"
"5.340","1.136"
"5.387","1.210"
"5.435","1.287"
"5.482","1.364"
"5.529","1.442"
"5.576","1.512"
"5.624","1.574"
"5.671","1.632"
"5.718","1.687"
"5.765","1.742"
"5.813","1.795"
"5.860","1.845"
"5.907","1.891"
"5.954","1.932"
"6.002","1.971"
"6.049","2.014"
"6.096","2.058"
"6.143","2.098"
"6.191","2.139"
"6.238","2.179"
"6.285","2.219"
"6.332","2.255"
"6.380","2.288"
"6.427","2.324"
"6.474","2.369"
"6.521","2.416"
"6.569","2.457"
"6.616","2.488"
"6.663","2.515"
"6.711","2.544"
"6.758","2.572"
"6.805","2.601"
"6.852","2.634"
"6.900","2.669"
"6.947","2.699"
"6.994","2.723"
"7.041","2.742"
"7.089","2.761"
"7.136","2.785"
"7.183","2.811"
"7.230","2.838"
"7.278","2.864"
"7.325","2.890"
"7.372","2.917"
"7.419","2.945"
"7.467","2.977"
"7.514","3.014"
"7.561","3.047"
"7.608","3.071"
"7.656","3.089"
"7.703","3.106"
"7.750","3.124"
"7.797","3.143"
"7.845","3.162"
"7.892","3.182"
"7.939","3.203"
"7.986","3.227"
"8.034","3.251"
"8.081","3.273"
"8.128","3.294"
"8.175","3.313"
"8.223","3.331"
"8.270","3.351"
"8.317","3.373"
"8.365","3.394"
"8.412","3.409"
"8.459","3.420"
"8.506","3.429"
"8.554","3.441"
"8.601","3.456"
"8.648","3.473"
"8.695","3.492"
"8.743","3.512"
"8.790","3.532"
"8.837","3.551"
"8.884","3.568"
"8.932","3.582"
"8.979","3.594"
"9.026","3.605"
"9.073","3.616"
"9.121","3.626"
"9.168","3.636"
"9.215","3.647"
"9.262","3.659"
"9.310","3.673"
"9.357","3.687"
"9.404","3.701"
"9.451","3.715"
"9.499","3.728"
"9.546","3.740"
"9.593","3.751"
"9.640","3.761"
"9.688","3.770"
"9.735","3.779"
"9.782","3.788"
"9.829","3.797"
"9.877","3.807"
"9.924","3.818"
"9.971","3.828"
"10.019","3.839"
"10.066","3.850"
"10.113","3.861"
"10.160","3.871"
"10.208","3.879"
"10.255","3.888"
"10.302","3.897"
"10.349","3.906"
"10.397","3.915"
"10.444","3.923"
"10.491","3.930"
"10.538","3.936"
"10.586","3.945"
"10.633","3.956"
"10.680","3.969"
"10.727","3.982"
"10.775","3.996"
"10.822","4.007"
"10.869","4.016"
"10.916","4.024"
"10.964","4.033"
"11.011","4.041"
"11.058","4.046"
"11.105","4.050"
"11.153","4.054"
"11.200","4.058"
"11.247","4.063"
"11.294","4.067"
"11.342","4.072"
"11.389","4.078"
"11.436","4.085"
"11.483","4.090"
"11.531","4.094"
"11.578","4.097"
"11.625","4.099"
"11.673","4.101"
"11.720","4.103"
"11.767","4.106"
"11.814","4.111"
"11.862","4.117"
"11.909","4.123"
"11.956","4.129"
"12.003","4.135"
"12.051","4.139"
"12.098","4.142"
"12.145","4.143"
"12.192","4.142"
"12.240","4.140"
"12.287","4.138"
"12.334","4.138"
"12.381","4.139"
"12.429","4.140"
"12.476","4.140"
"12.523","4.140"
"12.570","4.140"
"12.618","4.141"
"12.665","4.143"
"12.712","4.146"
"12.759","4.150"
"12.807","4.153"
"12.854","4.157"
"12.901","4.159"
"12.948","4.159"
"12.996","4.156"
"13.043","4.152"
"13.090","4.147"
"13.137","4.141"
"13.185","4.135"
"13.232","4.131"
"13.279","4.130"
"13.327","4.130"
"13.374","4.133"
"13.421","4.137"
"13.468","4.141"
"13.516","4.143"
"13.563","4.142"
"13.610","4.139"
"13.657","4.137"
"13.705","4.135"
"13.752","4.133"
"13.799","4.130"
"13.846","4.128"
"13.894","4.128"
"13.941","4.128"
"13.988","4.128"
"14.035","4.128"
"14.083","4.129"
"14.130","4.129"
"14.177","4.130"
"14.224","4.130"
"14.272","4.128"
"14.319","4.122"
"14.366","4.116"
"14.413","4.110"
"14.461","4.104"
"14.508","4.101"
"14.555","4.098"
"14.602","4.097"
"14.650","4.096"
"14.697","4.094"
"14.744","4.087"
"14.791","4.079"
"14.839","4.070"
"14.886","4.061"
"14.933","4.053"
"14.981","4.047"
"15.028","4.040"
"15.075","4.035"
"15.122","4.030"
"15.170","4.025"
"15.217","4.021"
"15.264","4.019"
"15.311","4.016"
"15.359","4.011"
"15.406","4.003"
"15.453","3.995"
"15.500","3.988"
"15.548","3.982"
"15.595","3.976"
"15.642","3.970"
"15.689","3.964"
"15.737","3.959"
"15.784","3.955"
"15.831","3.951"
"15.878","3.947"
"15.926","3.943"
"15.973","3.939"
"16.020","3.935"
"16.067","3.932"
"16.115","3.930"
"16.162","3.926"
"16.209","3.919"
"16.256","3.909"
"16.304","3.898"
"16.351","3.888"
"16.398","3.878"
"16.445","3.871"
"16.493","3.865"
"16.540","3.860"
"16.587","3.856"
"16.635","3.853"
"16.682","3.851"
"16.729","3.848"
"16.776","3.846"
"16.824","3.843"
"16.871","3.840"
"16.918","3.838"
"16.965","3.835"
"17.013","3.832"
"17.060","3.829"
"17.107","3.825"
"17.154","3.820"
"17.202","3.814"
"17.249","3.809"
"17.296","3.803"
"17.343","3.799"
"17.391","3.794"
"17.438","3.789"
"17.485","3.785"
"17.532","3.781"
"17.580","3.776"
"17.627","3.772"
"17.674","3.767"
"17.721","3.763"
"17.769","3.758"
"17.816","3.752"
"17.863","3.744"
"17.910","3.738"
"17.958","3.733"
"18.005","3.729"
"18.052","3.724"
"18.099","3.718"
"18.147","3.712"
"18.194","3.706"
"18.241","3.701"
"18.289","3.696"
"18.336","3.692"
"18.383","3.688"
"18.430","3.685"
"18.478","3.683"
"18.525","3.682"
"18.572","3.681"
"18.619","3.680"
"18.667","3.676"
"18.714","3.669"
"18.761","3.662"
"18.808","3.656"
"18.856","3.652"
"18.903","3.649"
"18.950","3.646"
"18.997","3.642"
"19.045","3.639"
"19.092","3.635"
"19.139","3.632"
"19.186","3.629"
"19.234","3.626"
"19.281","3.625"
"19.328","3.624"
"19.375","3.623"
"19.423","3.620"
"19.470","3.615"
"19.517","3.608"
