"X(mm)","Z(mm)"
"0.000",""
"0.047","0.012"
"0.095","0.013"
"0.142","0.016"
"0.189","0.016"
"0.236","0.014"
"0.284","0.013"
"0.331","0.013"
"0.378","0.013"
"0.425","0.012"
"0.473","0.014"
"0.520","0.016"
"0.567","0.011"
"0.614","-0.007"
"0.662","-0.026"
"0.709","-0.031"
"0.756","-0.021"
"0.803","-0.015"
"0.851","-0.022"
"0.898","-0.025"
"0.945","-0.007"
"0.992","0.026"
"1.040","0.048"
"1.087","0.049"
"1.134","0.037"
"1.181","0.020"
"1.229","0.007"
"1.276","0.002"
"1.323","0.004"
"1.370","0.002"
"1.418","0.001"
"1.465","0.009"
"1.512","0.021"
"1.559","0.023"
"1.607","0.013"
"1.654","0.001"
"1.701","-0.002"
"1.748","0.006"
"1.796","0.017"
"1.843","0.024"
"1.890","0.024"
"1.938","0.019"
"1.985","0.016"
"2.032","0.014"
"2.079","0.013"
"2.127","0.019"
"2.174","0.027"
"2.221","0.023"
"2.268","0.002"
"2.316","-0.009"
"2.363","0.000"
"2.410","0.012"
"2.457","0.004"
"2.505","-0.012"
"2.552","-0.013"
"2.599","0.001"
"2.646","0.012"
"2.694","0.012"
"2.741","0.006"
"2.788","0.009"
"2.835","0.026"
"2.883","0.047"
"2.930","0.051"
"2.977","0.028"
"3.024","-0.004"
"3.072","-0.020"
"3.119","-0.013"
"3.166","0.001"
"3.213","0.009"
"3.261","0.011"
"3.308","0.013"
"3.355","0.016"
"3.402","0.016"
"3.450","0.015"
"3.497","0.014"
"3.544","0.016"
"3.591","0.015"
"3.639","0.008"
"3.686","-0.003"
"3.733","-0.005"
"3.781","0.006"
"3.828","0.020"
"3.875","0.026"
"3.922","0.025"
"3.970","0.022"
"4.017","0.019"
"4.064","0.011"
"4.111","0.005"
"4.159","0.005"
"4.206","0.011"
"4.253","0.017"
"4.300","0.019"
"4.348","0.018"
"4.395","0.018"
"4.442","0.017"
"4.489","0.017"
"4.537","0.017"
"4.584","0.016"
"4.631","0.016"
"4.678","0.017"
"4.726","0.019"
"4.773","0.019"
"4.820","0.019"
"4.867","0.017"
"4.915","0.013"
"4.962","0.008"
"5.009","0.009"
"5.056","0.014"
"5.104","0.017"
"5.151","0.016"
"5.198","0.014"
"5.245","0.012"
"5.293","0.009"
"5.340","0.005"
"5.387","0.001"
"5.434","0.003"
"5.482","0.011"
"5.529","0.021"
"5.576","0.027"
"5.624","0.023"
"5.671","0.016"
"5.718","0.010"
"5.765","0.009"
"5.813","0.013"
"5.860","0.019"
"5.907","0.021"
"5.954","0.019"
"6.002","0.014"
"6.049","0.012"
"6.096","0.014"
"6.143","0.018"
"6.191","0.019"
"6.238","0.018"
"6.285","0.018"
"6.332","0.019"
"6.380","0.020"
"6.427","0.022"
"6.474","0.022"
"6.521","0.019"
"6.569","0.017"
"6.616","0.018"
"6.663","0.021"
"6.710","0.020"
"6.758","0.016"
"6.805","0.013"
"6.852","0.011"
"6.899","0.011"
"6.947","0.011"
"6.994","0.013"
"7.041","0.015"
"7.088","0.018"
"7.136","0.018"
"7.183","0.015"
"7.230","0.011"
"7.277","0.010"
"7.325","0.013"
"7.372","0.013"
"7.419","0.012"
"7.467","0.012"
"7.514","0.015"
"7.561","0.021"
"7.608","0.028"
"7.656","0.027"
"7.703","0.020"
"7.750","0.015"
"7.797","0.017"
"7.845","0.023"
"7.892","0.027"
"7.939","0.028"
"7.986","0.029"
"8.034","0.030"
"8.081","0.029"
"8.128","0.025"
"8.175","0.020"
"8.223","0.018"
"8.270","0.019"
"8.317","0.021"
"8.364","0.023"
"8.412","0.024"
"8.459","0.023"
"8.506","0.022"
"8.553","0.022"
"8.601","0.021"
"8.648","0.022"
"8.695","0.024"
"8.742","0.025"
"8.790","0.023"
"8.837","0.019"
"8.884","0.017"
"8.931","0.014"
"8.979","0.010"
"9.026","0.008"
"9.073","0.016"
"9.120","0.031"
"9.168","0.036"
"9.215","0.037"
"9.262","0.061"
"9.310","0.111"
"9.357","0.159"
"9.404","0.205"
"9.451","0.322"
