"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.047"
"0.189","0.048"
"0.236","0.048"
"0.284","0.046"
"0.331","0.044"
"0.378","0.043"
"0.425","0.042"
"0.473","0.040"
"0.520","0.042"
"0.567","0.044"
"0.614","0.046"
"0.662","0.045"
"0.709","0.042"
"0.756","0.040"
"0.803","0.041"
"0.851","0.043"
"0.898","0.045"
"0.945","0.047"
"0.992","0.047"
"1.040","0.045"
"1.087","0.043"
"1.134","0.042"
"1.181","0.043"
"1.229","0.046"
"1.276","0.049"
"1.323","0.050"
"1.370","0.047"
"1.418","0.044"
"1.465","0.042"
"1.512","0.043"
"1.560","0.045"
"1.607","0.046"
"1.654","0.047"
"1.701","0.047"
"1.749","0.047"
"1.796","0.046"
"1.843","0.047"
"1.890","0.048"
"1.938","0.049"
"1.985","0.048"
"2.032","0.047"
"2.079","0.046"
"2.127","0.047"
"2.174","0.048"
"2.221","0.050"
"2.268","0.052"
"2.316","0.052"
"2.363","0.049"
"2.410","0.046"
"2.457","0.047"
"2.505","0.050"
"2.552","0.051"
"2.599","0.049"
"2.646","0.046"
"2.694","0.045"
"2.741","0.045"
"2.788","0.046"
"2.835","0.046"
"2.883","0.046"
"2.930","0.049"
"2.977","0.053"
"3.024","0.053"
"3.072","0.049"
"3.119","0.046"
"3.166","0.044"
"3.214","0.045"
"3.261","0.047"
"3.308","0.048"
"3.355","0.050"
"3.403","0.051"
"3.450","0.050"
"3.497","0.049"
"3.544","0.048"
"3.592","0.047"
"3.639","0.047"
"3.686","0.049"
"3.733","0.051"
"3.781","0.051"
"3.828","0.049"
"3.875","0.049"
"3.922","0.050"
"3.970","0.051"
"4.017","0.050"
"4.064","0.048"
"4.111","0.047"
"4.159","0.047"
"4.206","0.047"
"4.253","0.046"
"4.300","0.047"
"4.348","0.049"
"4.395","0.048"
"4.442","0.042"
"4.489","0.035"
"4.537","0.035"
"4.584","0.040"
"4.631","0.045"
"4.679","0.045"
"4.726","0.043"
"4.773","0.040"
"4.820","0.041"
"4.868","0.044"
"4.915","0.046"
"4.962","0.044"
"5.009","0.041"
"5.057","0.042"
"5.104","0.044"
"5.151","0.041"
"5.198","0.034"
"5.246","0.033"
"5.293","0.040"
"5.340","0.048"
"5.387","0.053"
"5.435","0.053"
"5.482","0.051"
"5.529","0.050"
"5.576","0.052"
"5.624","0.054"
"5.671","0.053"
"5.718","0.049"
"5.765","0.049"
"5.813","0.051"
"5.860","0.053"
"5.907","0.053"
"5.954","0.053"
"6.002","0.052"
"6.049","0.051"
"6.096","0.052"
"6.143","0.053"
"6.191","0.053"
"6.238","0.051"
"6.285","0.051"
"6.333","0.053"
"6.380","0.055"
"6.427","0.055"
"6.474","0.054"
"6.522","0.052"
"6.569","0.052"
"6.616","0.053"
"6.663","0.053"
"6.711","0.053"
"6.758","0.053"
"6.805","0.054"
"6.852","0.056"
"6.900","0.055"
"6.947","0.053"
"6.994","0.053"
"7.041","0.054"
"7.089","0.056"
"7.136","0.056"
"7.183","0.055"
"7.230","0.054"
"7.278","0.053"
"7.325","0.054"
"7.372","0.054"
"7.419","0.053"
"7.467","0.052"
"7.514","0.053"
"7.561","0.054"
"7.608","0.055"
"7.656","0.055"
"7.703","0.054"
"7.750","0.054"
"7.798","0.055"
"7.845","0.055"
"7.892","0.055"
"7.939","0.055"
"7.987","0.055"
"8.034","0.054"
"8.081","0.052"
"8.128","0.050"
"8.176","0.050"
"8.223","0.052"
"8.270","0.053"
"8.317","0.053"
"8.365","0.052"
"8.412","0.052"
"8.459","0.053"
"8.506","0.055"
"8.554","0.055"
"8.601","0.055"
"8.648","0.055"
"8.695","0.058"
"8.743","0.061"
"8.790","0.061"
"8.837","0.058"
"8.884","0.055"
"8.932","0.055"
"8.979","0.055"
"9.026","0.055"
"9.073","0.054"
"9.121","0.054"
"9.168","0.054"
"9.215","0.054"
"9.263","0.055"
"9.310","0.057"
"9.357","0.057"
"9.404","0.055"
"9.452","0.052"
"9.499","0.051"
"9.546","0.053"
"9.593","0.054"
"9.641","0.054"
"9.688","0.053"
"9.735","0.051"
"9.782","0.049"
"9.830","0.048"
"9.877","0.048"
"9.924","0.049"
"9.971","0.051"
"10.019","0.052"
"10.066","0.053"
"10.113","0.053"
"10.160","0.053"
"10.208","0.053"
"10.255","0.053"
"10.302","0.054"
"10.349","0.056"
"10.397","0.055"
"10.444","0.053"
"10.491","0.052"
"10.538","0.053"
"10.586","0.056"
"10.633","0.060"
"10.680","0.061"
"10.727","0.059"
"10.775","0.057"
"10.822","0.056"
"10.869","0.057"
"10.917","0.058"
"10.964","0.058"
"11.011","0.057"
"11.058","0.057"
"11.106","0.060"
"11.153","0.066"
"11.200","0.073"
"11.247","0.103"
"11.295","0.198"
"11.342","0.367"
"11.389","0.572"
"11.436","0.758"
"11.484","0.897"
"11.531","1.003"
"11.578","1.092"
"11.625","1.176"
"11.673","1.262"
"11.720","1.343"
"11.767","1.416"
"11.814","1.482"
"11.862","1.539"
"11.909","1.590"
"11.956","1.641"
"12.003","1.698"
"12.051","1.759"
"12.098","1.819"
"12.145","1.872"
"12.192","1.921"
"12.240","1.969"
"12.287","2.017"
"12.334","2.063"
"12.382","2.107"
"12.429","2.148"
"12.476","2.188"
"12.523","2.227"
"12.571","2.266"
"12.618","2.305"
"12.665","2.343"
"12.712","2.381"
"12.760","2.418"
"12.807","2.454"
"12.854","2.491"
"12.901","2.533"
"12.949","2.578"
"12.996","2.621"
"13.043","2.659"
"13.090","2.692"
"13.138","2.724"
"13.185","2.755"
"13.232","2.785"
"13.279","2.814"
"13.327","2.843"
"13.374","2.871"
"13.421","2.898"
"13.468","2.922"
"13.516","2.943"
"13.563","2.961"
"13.610","2.978"
"13.657","2.994"
"13.705","3.012"
"13.752","3.030"
"13.799","3.051"
"13.847","3.074"
"13.894","3.096"
"13.941","3.115"
"13.988","3.132"
"14.036","3.150"
"14.083","3.169"
"14.130","3.190"
"14.177","3.211"
"14.225","3.232"
"14.272","3.251"
"14.319","3.267"
"14.366","3.282"
"14.414","3.295"
"14.461","3.308"
"14.508","3.320"
"14.555","3.334"
"14.603","3.348"
"14.650","3.361"
"14.697","3.372"
"14.744","3.384"
"14.792","3.396"
"14.839","3.407"
"14.886","3.419"
"14.933","3.430"
"14.981","3.441"
"15.028","3.452"
"15.075","3.467"
"15.122","3.484"
"15.170","3.502"
"15.217","3.518"
"15.264","3.532"
"15.311","3.543"
"15.359","3.553"
"15.406","3.562"
"15.453","3.571"
"15.501","3.580"
"15.548","3.590"
"15.595","3.603"
"15.642","3.615"
"15.690","3.625"
"15.737","3.636"
"15.784","3.646"
"15.831","3.658"
"15.879","3.670"
"15.926","3.682"
"15.973","3.692"
"16.020","3.700"
"16.068","3.709"
"16.115","3.717"
"16.162","3.724"
"16.209","3.730"
"16.257","3.735"
"16.304","3.742"
"16.351","3.749"
"16.398","3.756"
"16.446","3.763"
"16.493","3.769"
"16.540","3.775"
"16.587","3.781"
"16.635","3.787"
"16.682","3.794"
"16.729","3.800"
"16.776","3.806"
"16.824","3.811"
"16.871","3.814"
"16.918","3.817"
"16.966","3.818"
"17.013","3.818"
"17.060","3.819"
"17.107","3.820"
"17.155","3.821"
"17.202","3.823"
"17.249","3.826"
"17.296","3.829"
"17.344","3.833"
"17.391","3.836"
"17.438","3.838"
"17.485","3.840"
"17.533","3.841"
"17.580","3.841"
"17.627","3.840"
"17.674","3.840"
"17.722","3.839"
"17.769","3.838"
"17.816","3.837"
"17.863","3.836"
"17.911","3.836"
"17.958","3.836"
"18.005","3.836"
"18.052","3.835"
"18.100","3.836"
"18.147","3.837"
"18.194","3.840"
"18.241","3.844"
"18.289","3.848"
"18.336","3.850"
"18.383","3.849"
"18.430","3.846"
"18.478","3.842"
"18.525","3.837"
"18.572","3.833"
"18.620","3.829"
"18.667","3.825"
"18.714","3.822"
"18.761","3.819"
"18.809","3.816"
"18.856","3.813"
"18.903","3.811"
"18.950","3.810"
"18.998","3.809"
"19.045","3.808"
"19.092","3.807"
"19.139","3.806"
"19.187","3.804"
"19.234","3.802"
"19.281","3.800"
"19.328","3.798"
"19.376","3.797"
"19.423","3.796"
"19.470","3.794"
