"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.022"
"0.189","0.016"
"0.236","0.021"
"0.284","0.031"
"0.331","0.034"
"0.378","0.029"
"0.425","0.029"
"0.473","0.036"
"0.520","0.039"
"0.567","0.031"
"0.614","0.023"
"0.662","0.028"
"0.709","0.039"
"0.756","0.043"
"0.803","0.039"
"0.851","0.034"
"0.898","0.031"
"0.945","0.030"
"0.993","0.031"
"1.040","0.037"
"1.087","0.044"
"1.134","0.046"
"1.182","0.048"
"1.229","0.053"
"1.276","0.056"
"1.323","0.049"
"1.371","0.033"
"1.418","0.016"
"1.465","0.007"
"1.512","0.010"
"1.560","0.021"
"1.607","0.029"
"1.654","0.023"
"1.701","0.010"
"1.749","0.004"
"1.796","0.008"
"1.843","0.017"
"1.891","0.026"
"1.938","0.032"
"1.985","0.033"
"2.032","0.035"
"2.080","0.042"
"2.127","0.045"
"2.174","0.037"
"2.221","0.025"
"2.269","0.026"
"2.316","0.039"
"2.363","0.049"
"2.410","0.042"
"2.458","0.028"
"2.505","0.022"
"2.552","0.024"
"2.599","0.028"
"2.647","0.029"
"2.694","0.033"
"2.741","0.035"
"2.789","0.031"
"2.836","0.024"
"2.883","0.026"
"2.930","0.039"
"2.978","0.055"
"3.025","0.061"
"3.072","0.055"
"3.119","0.042"
"3.167","0.029"
"3.214","0.021"
"3.261","0.015"
"3.308","0.011"
"3.356","0.012"
"3.403","0.019"
"3.450","0.026"
"3.497","0.025"
"3.545","0.020"
"3.592","0.019"
"3.639","0.027"
"3.686","0.039"
"3.734","0.051"
"3.781","0.054"
"3.828","0.045"
"3.876","0.031"
"3.923","0.025"
"3.970","0.028"
"4.017","0.033"
"4.065","0.034"
"4.112","0.034"
"4.159","0.037"
"4.206","0.037"
"4.254","0.035"
"4.301","0.033"
"4.348","0.035"
"4.395","0.039"
"4.443","0.042"
"4.490","0.045"
"4.537","0.046"
"4.584","0.044"
"4.632","0.040"
"4.679","0.037"
"4.726","0.036"
"4.774","0.037"
"4.821","0.036"
"4.868","0.034"
"4.915","0.035"
"4.963","0.040"
"5.010","0.045"
"5.057","0.044"
"5.104","0.035"
"5.152","0.026"
"5.199","0.027"
"5.246","0.038"
"5.293","0.050"
"5.341","0.053"
"5.388","0.041"
"5.435","0.024"
"5.482","0.016"
"5.530","0.022"
"5.577","0.031"
"5.624","0.030"
"5.672","0.020"
"5.719","0.014"
"5.766","0.021"
"5.813","0.035"
"5.861","0.043"
"5.908","0.037"
"5.955","0.028"
"6.002","0.024"
"6.050","0.026"
"6.097","0.027"
"6.144","0.025"
"6.191","0.019"
"6.239","0.014"
"6.286","0.015"
"6.333","0.022"
"6.380","0.030"
"6.428","0.034"
"6.475","0.036"
"6.522","0.036"
"6.570","0.036"
"6.617","0.035"
"6.664","0.034"
"6.711","0.035"
"6.759","0.036"
"6.806","0.036"
"6.853","0.036"
"6.900","0.039"
"6.948","0.043"
"6.995","0.046"
"7.042","0.045"
"7.089","0.041"
"7.137","0.037"
"7.184","0.036"
"7.231","0.037"
"7.278","0.038"
"7.326","0.039"
"7.373","0.039"
"7.420","0.039"
"7.468","0.039"
"7.515","0.039"
"7.562","0.038"
"7.609","0.039"
"7.657","0.041"
"7.704","0.042"
"7.751","0.042"
"7.798","0.041"
"7.846","0.040"
"7.893","0.041"
"7.940","0.041"
"7.987","0.044"
"8.035","0.048"
"8.082","0.049"
"8.129","0.045"
"8.176","0.039"
"8.224","0.035"
"8.271","0.033"
"8.318","0.032"
"8.366","0.033"
"8.413","0.033"
"8.460","0.034"
"8.507","0.036"
"8.555","0.038"
"8.602","0.036"
"8.649","0.031"
"8.696","0.030"
"8.744","0.032"
"8.791","0.036"
"8.838","0.038"
"8.885","0.038"
"8.933","0.038"
"8.980","0.035"
"9.027","0.031"
"9.074","0.029"
"9.122","0.030"
"9.169","0.031"
"9.216","0.032"
"9.263","0.030"
"9.311","0.030"
"9.358","0.033"
"9.405","0.037"
"9.453","0.037"
"9.500","0.035"
"9.547","0.035"
"9.594","0.037"
"9.642","0.038"
"9.689","0.053"
"9.736","0.113"
"9.783","0.205"
"9.831","0.309"
"9.878","0.433"
"9.925","0.582"
"9.972","0.737"
"10.020","0.858"
"10.067","0.948"
"10.114","1.038"
"10.161","1.126"
"10.209","1.210"
"10.256","1.291"
"10.303","1.367"
"10.351","1.444"
"10.398","1.524"
"10.445","1.603"
"10.492","1.669"
"10.540","1.725"
"10.587","1.778"
"10.634","1.833"
"10.681","1.887"
"10.729","1.933"
"10.776","1.974"
"10.823","2.013"
"10.870","2.053"
"10.918","2.094"
"10.965","2.137"
"11.012","2.181"
"11.059","2.227"
"11.107","2.270"
"11.154","2.309"
"11.201","2.346"
"11.249","2.383"
"11.296","2.421"
"11.343","2.460"
"11.390","2.501"
"11.438","2.540"
"11.485","2.576"
"11.532","2.609"
"11.579","2.643"
"11.627","2.679"
"11.674","2.715"
"11.721","2.748"
"11.768","2.779"
"11.816","2.809"
"11.863","2.838"
"11.910","2.866"
"11.957","2.895"
"12.005","2.924"
"12.052","2.953"
"12.099","2.981"
"12.147","3.009"
"12.194","3.040"
"12.241","3.076"
"12.288","3.114"
"12.336","3.148"
"12.383","3.175"
"12.430","3.198"
"12.477","3.219"
"12.525","3.240"
"12.572","3.263"
"12.619","3.285"
"12.666","3.307"
"12.714","3.327"
"12.761","3.349"
"12.808","3.371"
"12.855","3.393"
"12.903","3.414"
"12.950","3.434"
"12.997","3.457"
"13.045","3.481"
"13.092","3.504"
"13.139","3.525"
"13.186","3.545"
"13.234","3.566"
"13.281","3.586"
"13.328","3.604"
"13.375","3.621"
"13.423","3.638"
"13.470","3.654"
"13.517","3.670"
"13.564","3.685"
"13.612","3.700"
"13.659","3.717"
"13.706","3.734"
"13.753","3.748"
"13.801","3.758"
"13.848","3.767"
"13.895","3.778"
"13.943","3.792"
"13.990","3.809"
"14.037","3.826"
"14.084","3.841"
"14.132","3.854"
"14.179","3.867"
"14.226","3.881"
"14.273","3.895"
"14.321","3.908"
"14.368","3.920"
"14.415","3.933"
"14.462","3.946"
"14.510","3.959"
"14.557","3.972"
"14.604","3.984"
"14.651","3.995"
"14.699","4.005"
"14.746","4.016"
"14.793","4.027"
"14.840","4.038"
"14.888","4.048"
"14.935","4.059"
"14.982","4.069"
"15.030","4.079"
"15.077","4.089"
"15.124","4.098"
"15.171","4.107"
"15.219","4.116"
"15.266","4.125"
"15.313","4.133"
"15.360","4.140"
"15.408","4.147"
"15.455","4.154"
"15.502","4.161"
"15.549","4.168"
"15.597","4.174"
"15.644","4.181"
"15.691","4.188"
"15.738","4.194"
"15.786","4.200"
"15.833","4.206"
"15.880","4.213"
"15.928","4.220"
"15.975","4.225"
"16.022","4.230"
"16.069","4.234"
"16.117","4.238"
"16.164","4.242"
"16.211","4.246"
"16.258","4.251"
"16.306","4.255"
"16.353","4.260"
"16.400","4.264"
"16.447","4.269"
"16.495","4.273"
"16.542","4.278"
"16.589","4.284"
"16.636","4.291"
"16.684","4.298"
"16.731","4.306"
"16.778","4.315"
"16.826","4.323"
"16.873","4.331"
"16.920","4.337"
"16.967","4.343"
"17.015","4.348"
"17.062","4.353"
"17.109","4.355"
"17.156","4.358"
"17.204","4.359"
"17.251","4.361"
"17.298","4.363"
"17.345","4.365"
"17.393","4.369"
"17.440","4.374"
"17.487","4.380"
"17.534","4.385"
"17.582","4.390"
"17.629","4.394"
"17.676","4.399"
"17.724","4.405"
"17.771","4.410"
"17.818","4.416"
"17.865","4.421"
"17.913","4.427"
"17.960","4.432"
"18.007","4.437"
"18.054","4.441"
"18.102","4.446"
"18.149","4.450"
"18.196","4.454"
"18.243","4.457"
"18.291","4.459"
"18.338","4.460"
"18.385","4.460"
"18.432","4.460"
"18.480","4.460"
"18.527","4.460"
"18.574","4.461"
"18.622","4.461"
"18.669","4.462"
"18.716","4.462"
"18.763","4.462"
"18.811","4.462"
"18.858","4.462"
"18.905","4.462"
"18.952","4.462"
"19.000","4.461"
"19.047","4.460"
"19.094","4.460"
"19.141","4.459"
"19.189","4.458"
"19.236","4.456"
"19.283","4.453"
"19.330","4.451"
"19.378","4.448"
"19.425","4.446"
"19.472","4.445"
