"X(mm)","Z(mm)"
"0.000",""
"0.047","0.037"
"0.095","0.031"
"0.142","0.024"
"0.189","0.022"
"0.236","0.029"
"0.284","0.041"
"0.331","0.046"
"0.378","0.044"
"0.425","0.042"
"0.473","0.042"
"0.520","0.045"
"0.567","0.047"
"0.614","0.048"
"0.662","0.046"
"0.709","0.044"
"0.756","0.043"
"0.803","0.042"
"0.851","0.041"
"0.898","0.042"
"0.945","0.047"
"0.992","0.053"
"1.040","0.057"
"1.087","0.056"
"1.134","0.049"
"1.181","0.039"
"1.229","0.031"
"1.276","0.029"
"1.323","0.035"
"1.370","0.045"
"1.418","0.053"
"1.465","0.052"
"1.512","0.047"
"1.559","0.045"
"1.607","0.047"
"1.654","0.049"
"1.701","0.049"
"1.748","0.048"
"1.796","0.049"
"1.843","0.049"
"1.890","0.048"
"1.938","0.047"
"1.985","0.048"
"2.032","0.052"
"2.079","0.053"
"2.127","0.050"
"2.174","0.047"
"2.221","0.047"
"2.268","0.052"
"2.316","0.058"
"2.363","0.061"
"2.410","0.058"
"2.457","0.053"
"2.505","0.048"
"2.552","0.048"
"2.599","0.051"
"2.646","0.053"
"2.694","0.053"
"2.741","0.052"
"2.788","0.054"
"2.835","0.057"
"2.883","0.057"
"2.930","0.053"
"2.977","0.050"
"3.024","0.049"
"3.072","0.051"
"3.119","0.052"
"3.166","0.053"
"3.213","0.054"
"3.261","0.057"
"3.308","0.059"
"3.355","0.057"
"3.402","0.050"
"3.450","0.042"
"3.497","0.042"
"3.544","0.052"
"3.591","0.063"
"3.639","0.064"
"3.686","0.058"
"3.733","0.055"
"3.781","0.057"
"3.828","0.060"
"3.875","0.059"
"3.922","0.054"
"3.970","0.050"
"4.017","0.050"
"4.064","0.053"
"4.111","0.055"
"4.159","0.050"
"4.206","0.041"
"4.253","0.039"
"4.300","0.048"
"4.348","0.060"
"4.395","0.064"
"4.442","0.062"
"4.489","0.060"
"4.537","0.057"
"4.584","0.052"
"4.631","0.047"
"4.678","0.048"
"4.726","0.054"
"4.773","0.060"
"4.820","0.062"
"4.867","0.062"
"4.915","0.061"
"4.962","0.060"
"5.009","0.056"
"5.056","0.050"
"5.104","0.050"
"5.151","0.057"
"5.198","0.068"
"5.245","0.074"
"5.293","0.070"
"5.340","0.057"
"5.387","0.042"
"5.434","0.034"
"5.482","0.043"
"5.529","0.063"
"5.576","0.082"
"5.624","0.083"
"5.671","0.068"
"5.718","0.051"
"5.765","0.046"
"5.813","0.051"
"5.860","0.058"
"5.907","0.060"
"5.954","0.057"
"6.002","0.054"
"6.049","0.056"
"6.096","0.059"
"6.143","0.057"
"6.191","0.049"
"6.238","0.044"
"6.285","0.046"
"6.332","0.052"
"6.380","0.056"
"6.427","0.053"
"6.474","0.048"
"6.521","0.047"
"6.569","0.053"
"6.616","0.066"
"6.663","0.076"
"6.710","0.077"
"6.758","0.070"
"6.805","0.063"
"6.852","0.061"
"6.899","0.059"
"6.947","0.060"
"6.994","0.063"
"7.041","0.067"
"7.088","0.069"
"7.136","0.066"
"7.183","0.063"
"7.230","0.061"
"7.277","0.061"
"7.325","0.062"
"7.372","0.065"
"7.419","0.068"
"7.467","0.068"
"7.514","0.059"
"7.561","0.042"
"7.608","0.028"
"7.656","0.034"
"7.703","0.058"
"7.750","0.081"
"7.797","0.088"
"7.845","0.081"
"7.892","0.070"
"7.939","0.061"
"7.986","0.058"
"8.034","0.062"
"8.081","0.070"
"8.128","0.075"
"8.175","0.071"
"8.223","0.063"
"8.270","0.061"
"8.317","0.065"
"8.364","0.070"
"8.412","0.070"
"8.459","0.067"
"8.506","0.064"
"8.553","0.063"
"8.601","0.060"
"8.648","0.054"
"8.695","0.049"
"8.742","0.055"
"8.790","0.069"
"8.837","0.079"
"8.884","0.077"
"8.931","0.069"
"8.979","0.064"
"9.026","0.064"
"9.073","0.064"
"9.120","0.063"
"9.168","0.062"
"9.215","0.062"
"9.262","0.063"
"9.310","0.064"
"9.357","0.065"
"9.404","0.064"
"9.451","0.059"
"9.499","0.055"
"9.546","0.054"
"9.593","0.058"
"9.640","0.064"
"9.688","0.070"
"9.735","0.074"
"9.782","0.076"
"9.829","0.080"
"9.877","0.081"
"9.924","0.073"
"9.971","0.060"
"10.018","0.052"
"10.066","0.055"
"10.113","0.059"
"10.160","0.060"
"10.207","0.060"
"10.255","0.060"
"10.302","0.062"
"10.349","0.065"
"10.396","0.069"
"10.444","0.069"
"10.491","0.065"
"10.538","0.062"
"10.585","0.064"
"10.633","0.068"
"10.680","0.072"
"10.727","0.073"
"10.774","0.072"
"10.822","0.071"
"10.869","0.082"
"10.916","0.133"
"10.963","0.227"
"11.011","0.337"
"11.058","0.448"
"11.105","0.574"
"11.153","0.710"
"11.200","0.825"
"11.247","0.892"
"11.294","0.951"
"11.342","1.044"
"11.389","1.154"
"11.436","1.248"
"11.483","1.393"
"11.531","1.511"
"11.578","1.559"
"11.625","1.597"
"11.672","1.649"
"11.720","1.703"
"11.767","1.749"
"11.814","1.795"
"11.861","1.847"
"11.909","1.908"
"11.956","1.969"
"12.003","2.019"
"12.050","2.063"
"12.098","2.107"
"12.145","2.151"
"12.192","2.192"
"12.239","2.227"
"12.287","2.263"
"12.334","2.301"
"12.381","2.340"
"12.428","2.377"
"12.476","2.411"
"12.523","2.444"
"12.570","2.479"
"12.617","2.516"
"12.665","2.553"
"12.712","2.593"
"12.759","2.633"
"12.806","2.670"
"12.854","2.702"
"12.901","2.727"
"12.948","2.753"
"12.996","2.780"
"13.043","2.806"
"13.090","2.833"
"13.137","2.862"
"13.185","2.895"
"13.232","2.925"
"13.279","2.952"
"13.326","2.976"
"13.374","2.999"
"13.421","3.027"
"13.468","3.052"
"13.515","3.077"
"13.563","3.100"
"13.610","3.124"
"13.657","3.146"
"13.704","3.166"
"13.752","3.187"
"13.799","3.210"
"13.846","3.231"
"13.893","3.250"
"13.941","3.265"
"13.988","3.280"
"14.035","3.295"
"14.082","3.315"
"14.130","3.336"
"14.177","3.356"
"14.224","3.372"
"14.271","3.387"
"14.319","3.403"
"14.366","3.420"
"14.413","3.435"
"14.460","3.449"
"14.508","3.460"
"14.555","3.469"
"14.602","3.479"
"14.649","3.494"
"14.697","3.510"
"14.744","3.525"
"14.791","3.539"
"14.839","3.550"
"14.886","3.561"
"14.933","3.574"
"14.980","3.591"
"15.028","3.607"
"15.075","3.621"
"15.122","3.632"
"15.169","3.644"
"15.217","3.657"
"15.264","3.671"
"15.311","3.687"
"15.358","3.702"
"15.406","3.716"
"15.453","3.727"
"15.500","3.739"
"15.547","3.752"
"15.595","3.764"
"15.642","3.775"
"15.689","3.787"
"15.736","3.799"
"15.784","3.811"
"15.831","3.824"
"15.878","3.838"
"15.925","3.850"
"15.973","3.860"
"16.020","3.868"
"16.067","3.879"
"16.114","3.891"
"16.162","3.901"
"16.209","3.910"
"16.256","3.918"
"16.303","3.927"
"16.351","3.933"
"16.398","3.936"
"16.445","3.940"
"16.492","3.946"
"16.540","3.954"
"16.587","3.961"
"16.634","3.967"
"16.682","3.973"
"16.729","3.978"
"16.776","3.981"
"16.823","3.984"
"16.871","3.986"
"16.918","3.990"
"16.965","3.996"
"17.012","4.002"
"17.060","4.008"
"17.107","4.013"
"17.154","4.017"
"17.201","4.023"
"17.249","4.029"
"17.296","4.035"
"17.343","4.040"
"17.390","4.045"
"17.438","4.050"
"17.485","4.052"
"17.532","4.052"
"17.579","4.053"
"17.627","4.053"
"17.674","4.052"
"17.721","4.052"
"17.768","4.054"
"17.816","4.056"
"17.863","4.059"
"17.910","4.061"
"17.957","4.065"
"18.005","4.068"
"18.052","4.071"
"18.099","4.077"
"18.146","4.081"
"18.194","4.084"
"18.241","4.086"
"18.288","4.088"
"18.335","4.091"
"18.383","4.094"
"18.430","4.097"
"18.477","4.100"
"18.525","4.103"
"18.572","4.105"
"18.619","4.105"
"18.666","4.104"
"18.714","4.102"
"18.761","4.100"
"18.808","4.098"
"18.855","4.098"
"18.903","4.099"
"18.950","4.100"
"18.997","4.102"
"19.044","4.103"
"19.092","4.103"
"19.139","4.102"
"19.186","4.103"
"19.233","4.105"
"19.281","4.105"
"19.328","4.105"
"19.375","4.105"
"19.422","4.104"
"19.470","4.103"
"19.517","4.100"
"19.564","4.099"
"19.611","4.098"
"19.659","4.097"
"19.706","4.098"
"19.753","4.099"
"19.800","4.099"
"19.848","4.097"
"19.895","4.093"
"19.942","4.091"
"19.989","4.091"
"20.037","4.092"
"20.084","4.092"
"20.131","4.090"
"20.178","4.089"
"20.226","4.089"
"20.273","4.088"
"20.320","4.086"
"20.368","4.084"
"20.415","4.084"
"20.462","4.083"
"20.509","4.083"
"20.557","4.083"
"20.604","4.081"
"20.651","4.080"
"20.698","4.079"
"20.746","4.079"
"20.793","4.077"
"20.840","4.075"
"20.887","4.074"
"20.935","4.074"
"20.982","4.075"
"21.029","4.075"
"21.076","4.075"
"21.124","4.075"
"21.171","4.076"
"21.218","4.077"
"21.265","4.078"
"21.313","4.076"
"21.360","4.072"
"21.407","4.069"
"21.454","4.066"
"21.502","4.063"
"21.549","4.059"
"21.596","4.058"
"21.643","4.059"
"21.691","4.058"
"21.738","4.056"
"21.785","4.056"
"21.832","4.057"
"21.880","4.059"
"21.927","4.059"
"21.974","4.059"
"22.021","4.059"
"22.069","4.059"
"22.116","4.059"
"22.163","4.057"
"22.211","4.054"
"22.258","4.053"
"22.305","4.053"
"22.352","4.053"
"22.400","4.051"
"22.447","4.049"
"22.494","4.048"
"22.541","4.045"
"22.589","4.040"
"22.636","4.037"
"22.683","4.036"
"22.730","4.036"
"22.778","4.036"
"22.825","4.036"
"22.872","4.036"
"22.919","4.036"
"22.967","4.036"
"23.014","4.035"
"23.061","4.033"
"23.108","4.031"
"23.156","4.029"
"23.203","4.027"
"23.250","4.025"
"23.297","4.024"
"23.345","4.022"
"23.392","4.021"
"23.439","4.021"
"23.486","4.020"
"23.534","4.019"
"23.581","4.019"
"23.628","4.018"
"23.675","4.017"
"23.723","4.016"
"23.770","4.013"
"23.817","4.010"
"23.864","4.007"
"23.912","4.005"
"23.959","4.003"
"24.006","4.002"
"24.054","4.002"
"24.101","4.002"
"24.148","4.002"
"24.195","4.004"
"24.243","4.007"
"24.290","4.009"
"24.337","4.010"
"24.384","4.009"
"24.432","4.008"
"24.479","4.005"
"24.526","4.003"
"24.573","4.002"
"24.621","4.001"
"24.668","4.000"
"24.715","3.998"
"24.762","3.996"
"24.810","3.992"
"24.857","3.988"
"24.904","3.985"
"24.951","3.985"
"24.999","3.986"
"25.046","3.986"
"25.093","3.984"
"25.140","3.980"
"25.188","3.974"
"25.235","3.967"
"25.282","3.960"
"25.329","3.955"
"25.377","3.953"
"25.424","3.950"
"25.471","3.946"
"25.518","3.940"
"25.566","3.935"
"25.613","3.929"
"25.660","3.924"
"25.707","3.920"
"25.755","3.917"
"25.802","3.914"
"25.849","3.911"
"25.897","3.908"
"25.944","3.906"
"25.991","3.904"
"26.038","3.901"
"26.086","3.899"
"26.133","3.896"
"26.180","3.894"
"26.227","3.892"
"26.275","3.891"
"26.322","3.889"
"26.369","3.886"
"26.416","3.883"
"26.464","3.881"
"26.511","3.879"
"26.558","3.876"
