"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.071"
"0.189","0.082"
"0.236","0.078"
"0.284","0.066"
"0.331","0.052"
"0.378","0.034"
"0.425","0.018"
"0.473","0.013"
"0.520","0.020"
"0.567","0.032"
"0.614","0.045"
"0.662","0.058"
"0.709","0.067"
"0.756","0.068"
"0.803","0.065"
"0.851","0.058"
"0.898","0.053"
"0.945","0.053"
"0.992","0.056"
"1.040","0.060"
"1.087","0.061"
"1.134","0.061"
"1.181","0.061"
"1.229","0.065"
"1.276","0.072"
"1.323","0.076"
"1.371","0.074"
"1.418","0.068"
"1.465","0.063"
"1.512","0.061"
"1.560","0.064"
"1.607","0.067"
"1.654","0.068"
"1.701","0.064"
"1.749","0.059"
"1.796","0.059"
"1.843","0.067"
"1.890","0.076"
"1.938","0.078"
"1.985","0.073"
"2.032","0.064"
"2.079","0.058"
"2.127","0.055"
"2.174","0.052"
"2.221","0.050"
"2.268","0.051"
"2.316","0.055"
"2.363","0.061"
"2.410","0.062"
"2.457","0.060"
"2.505","0.062"
"2.552","0.069"
"2.599","0.072"
"2.647","0.065"
"2.694","0.056"
"2.741","0.056"
"2.788","0.059"
"2.836","0.057"
"2.883","0.051"
"2.930","0.053"
"2.977","0.063"
"3.025","0.073"
"3.072","0.077"
"3.119","0.076"
"3.166","0.072"
"3.214","0.066"
"3.261","0.061"
"3.308","0.061"
"3.355","0.064"
"3.403","0.068"
"3.450","0.068"
"3.497","0.068"
"3.544","0.068"
"3.592","0.067"
"3.639","0.066"
"3.686","0.065"
"3.733","0.062"
"3.781","0.058"
"3.828","0.057"
"3.875","0.064"
"3.923","0.076"
"3.970","0.081"
"4.017","0.072"
"4.064","0.056"
"4.112","0.048"
"4.159","0.054"
"4.206","0.064"
"4.253","0.069"
"4.301","0.068"
"4.348","0.066"
"4.395","0.066"
"4.442","0.067"
"4.490","0.070"
"4.537","0.072"
"4.584","0.070"
"4.631","0.066"
"4.679","0.064"
"4.726","0.068"
"4.773","0.076"
"4.820","0.077"
"4.868","0.068"
"4.915","0.056"
"4.962","0.051"
"5.009","0.051"
"5.057","0.049"
"5.104","0.047"
"5.151","0.052"
"5.199","0.063"
"5.246","0.080"
"5.293","0.089"
"5.340","0.080"
"5.388","0.055"
"5.435","0.036"
"5.482","0.037"
"5.529","0.051"
"5.577","0.064"
"5.624","0.068"
"5.671","0.070"
"5.718","0.071"
"5.766","0.071"
"5.813","0.068"
"5.860","0.064"
"5.907","0.064"
"5.955","0.065"
"6.002","0.065"
"6.049","0.064"
"6.096","0.064"
"6.144","0.066"
"6.191","0.069"
"6.238","0.070"
"6.285","0.070"
"6.333","0.068"
"6.380","0.066"
"6.427","0.060"
"6.475","0.045"
"6.522","0.030"
"6.569","0.032"
"6.616","0.054"
"6.664","0.078"
"6.711","0.085"
"6.758","0.079"
"6.805","0.071"
"6.853","0.064"
"6.900","0.060"
"6.947","0.059"
"6.994","0.061"
"7.042","0.063"
"7.089","0.065"
"7.136","0.066"
"7.183","0.066"
"7.231","0.067"
"7.278","0.067"
"7.325","0.066"
"7.372","0.062"
"7.420","0.062"
"7.467","0.066"
"7.514","0.070"
"7.562","0.068"
"7.609","0.060"
"7.656","0.053"
"7.703","0.051"
"7.751","0.055"
"7.798","0.062"
"7.845","0.068"
"7.892","0.070"
"7.940","0.067"
"7.987","0.064"
"8.034","0.063"
"8.081","0.064"
"8.129","0.065"
"8.176","0.065"
"8.223","0.066"
"8.270","0.067"
"8.318","0.067"
"8.365","0.065"
"8.412","0.064"
"8.459","0.065"
"8.507","0.069"
"8.554","0.073"
"8.601","0.074"
"8.648","0.072"
"8.696","0.066"
"8.743","0.063"
"8.790","0.062"
"8.838","0.062"
"8.885","0.063"
"8.932","0.062"
"8.979","0.063"
"9.027","0.066"
"9.074","0.068"
"9.121","0.068"
"9.168","0.066"
"9.216","0.063"
"9.263","0.061"
"9.310","0.059"
"9.357","0.059"
"9.405","0.058"
"9.452","0.057"
"9.499","0.058"
"9.546","0.062"
"9.594","0.068"
"9.641","0.070"
"9.688","0.070"
"9.735","0.070"
"9.783","0.068"
"9.830","0.063"
"9.877","0.060"
"9.924","0.058"
"9.972","0.057"
"10.019","0.056"
"10.066","0.057"
"10.114","0.057"
"10.161","0.058"
"10.208","0.059"
"10.255","0.062"
"10.303","0.066"
"10.350","0.068"
"10.397","0.075"
"10.444","0.095"
"10.492","0.125"
"10.539","0.151"
"10.586","0.171"
"10.633","0.191"
"10.681","0.217"
"10.728","0.272"
"10.775","0.382"
"10.822","0.529"
"10.870","0.676"
"10.917","0.798"
"10.964","0.899"
"11.011","0.993"
"11.059","1.072"
"11.106","1.141"
"11.153","1.207"
"11.200","1.270"
"11.248","1.333"
"11.295","1.392"
"11.342","1.448"
"11.390","1.504"
"11.437","1.562"
"11.484","1.615"
"11.531","1.659"
"11.579","1.693"
"11.626","1.725"
"11.673","1.761"
"11.720","1.803"
"11.768","1.848"
"11.815","1.887"
"11.862","1.919"
"11.909","1.955"
"11.957","2.002"
"12.004","2.053"
"12.051","2.101"
"12.098","2.142"
"12.146","2.180"
"12.193","2.220"
"12.240","2.265"
"12.287","2.311"
"12.335","2.354"
"12.382","2.392"
"12.429","2.426"
"12.476","2.457"
"12.524","2.486"
"12.571","2.515"
"12.618","2.546"
"12.666","2.578"
"12.713","2.608"
"12.760","2.634"
"12.807","2.656"
"12.855","2.676"
"12.902","2.695"
"12.949","2.715"
"12.996","2.739"
"13.044","2.764"
"13.091","2.788"
"13.138","2.808"
"13.185","2.829"
"13.233","2.849"
"13.280","2.868"
"13.327","2.887"
"13.374","2.906"
"13.422","2.926"
"13.469","2.944"
"13.516","2.961"
"13.563","2.979"
"13.611","3.000"
"13.658","3.021"
"13.705","3.043"
"13.752","3.065"
"13.800","3.087"
"13.847","3.108"
"13.894","3.127"
"13.942","3.143"
"13.989","3.157"
"14.036","3.170"
"14.083","3.185"
"14.131","3.203"
"14.178","3.223"
"14.225","3.242"
"14.272","3.256"
"14.320","3.269"
"14.367","3.280"
"14.414","3.292"
"14.461","3.302"
"14.509","3.310"
"14.556","3.319"
"14.603","3.328"
"14.650","3.338"
"14.698","3.349"
"14.745","3.359"
"14.792","3.370"
"14.839","3.381"
"14.887","3.389"
"14.934","3.395"
"14.981","3.401"
"15.028","3.407"
"15.076","3.414"
"15.123","3.421"
"15.170","3.429"
"15.218","3.437"
"15.265","3.445"
"15.312","3.452"
"15.359","3.459"
"15.407","3.465"
"15.454","3.471"
"15.501","3.477"
"15.548","3.484"
"15.596","3.491"
"15.643","3.496"
"15.690","3.501"
"15.737","3.507"
"15.785","3.513"
"15.832","3.519"
"15.879","3.523"
"15.926","3.527"
"15.974","3.531"
"16.021","3.534"
"16.068","3.538"
"16.115","3.541"
"16.163","3.544"
"16.210","3.547"
"16.257","3.552"
"16.304","3.561"
"16.352","3.571"
"16.399","3.580"
"16.446","3.589"
"16.494","3.596"
"16.541","3.602"
"16.588","3.607"
"16.635","3.612"
"16.683","3.616"
"16.730","3.620"
"16.777","3.624"
"16.824","3.627"
"16.872","3.629"
"16.919","3.632"
"16.966","3.636"
"17.013","3.640"
"17.061","3.643"
"17.108","3.647"
"17.155","3.650"
"17.202","3.653"
"17.250","3.655"
"17.297","3.654"
"17.344","3.654"
"17.391","3.655"
"17.439","3.656"
"17.486","3.657"
"17.533","3.658"
"17.580","3.660"
"17.628","3.661"
"17.675","3.658"
"17.722","3.656"
"17.770","3.654"
"17.817","3.654"
"17.864","3.655"
"17.911","3.657"
"17.959","3.660"
"18.006","3.661"
"18.053","3.662"
"18.100","3.661"
"18.148","3.658"
"18.195","3.654"
"18.242","3.651"
"18.289","3.649"
"18.337","3.647"
"18.384","3.645"
"18.431","3.643"
"18.478","3.640"
"18.526","3.639"
"18.573","3.637"
"18.620","3.635"
"18.667","3.632"
"18.715","3.627"
"18.762","3.621"
"18.809","3.615"
"18.856","3.607"
"18.904","3.599"
"18.951","3.591"
"18.998","3.586"
"19.046","3.584"
"19.093","3.580"
"19.140","3.572"
"19.187","3.563"
"19.235","3.555"
"19.282","3.549"
"19.329","3.544"
"19.376","3.538"
"19.424","3.533"
"19.471","3.528"
