"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.023"
"0.189","0.022"
"0.236","0.022"
"0.284","0.024"
"0.331","0.026"
"0.378","0.027"
"0.425","0.025"
"0.473","0.022"
"0.520","0.020"
"0.567","0.020"
"0.614","0.024"
"0.662","0.027"
"0.709","0.029"
"0.756","0.028"
"0.803","0.026"
"0.851","0.024"
"0.898","0.022"
"0.945","0.020"
"0.992","0.020"
"1.040","0.023"
"1.087","0.025"
"1.134","0.026"
"1.181","0.026"
"1.229","0.026"
"1.276","0.026"
"1.323","0.026"
"1.370","0.027"
"1.418","0.028"
"1.465","0.027"
"1.512","0.026"
"1.559","0.027"
"1.607","0.030"
"1.654","0.031"
"1.701","0.031"
"1.748","0.030"
"1.796","0.029"
"1.843","0.030"
"1.890","0.030"
"1.938","0.029"
"1.985","0.028"
"2.032","0.028"
"2.079","0.028"
"2.127","0.027"
"2.174","0.027"
"2.221","0.029"
"2.268","0.033"
"2.316","0.034"
"2.363","0.034"
"2.410","0.034"
"2.457","0.032"
"2.505","0.031"
"2.552","0.032"
"2.599","0.034"
"2.646","0.035"
"2.694","0.033"
"2.741","0.031"
"2.788","0.030"
"2.835","0.031"
"2.883","0.031"
"2.930","0.030"
"2.977","0.029"
"3.024","0.030"
"3.072","0.032"
"3.119","0.032"
"3.166","0.031"
"3.213","0.031"
"3.261","0.031"
"3.308","0.031"
"3.355","0.032"
"3.402","0.032"
"3.450","0.032"
"3.497","0.031"
"3.544","0.031"
"3.592","0.032"
"3.639","0.032"
"3.686","0.031"
"3.733","0.028"
"3.781","0.028"
"3.828","0.032"
"3.875","0.036"
"3.922","0.038"
"3.970","0.037"
"4.017","0.035"
"4.064","0.032"
"4.111","0.030"
"4.159","0.029"
"4.206","0.031"
"4.253","0.034"
"4.300","0.035"
"4.348","0.033"
"4.395","0.031"
"4.442","0.031"
"4.489","0.034"
"4.537","0.035"
"4.584","0.034"
"4.631","0.033"
"4.678","0.032"
"4.726","0.032"
"4.773","0.033"
"4.820","0.034"
"4.867","0.034"
"4.915","0.034"
"4.962","0.034"
"5.009","0.034"
"5.056","0.034"
"5.104","0.034"
"5.151","0.034"
"5.198","0.034"
"5.245","0.034"
"5.293","0.034"
"5.340","0.034"
"5.387","0.035"
"5.435","0.036"
"5.482","0.036"
"5.529","0.035"
"5.576","0.034"
"5.624","0.035"
"5.671","0.035"
"5.718","0.033"
"5.765","0.032"
"5.813","0.033"
"5.860","0.034"
"5.907","0.034"
"5.954","0.034"
"6.002","0.034"
"6.049","0.034"
"6.096","0.035"
"6.143","0.035"
"6.191","0.036"
"6.238","0.038"
"6.285","0.039"
"6.332","0.038"
"6.380","0.038"
"6.427","0.037"
"6.474","0.038"
"6.521","0.038"
"6.569","0.038"
"6.616","0.038"
"6.663","0.038"
"6.710","0.038"
"6.758","0.037"
"6.805","0.036"
"6.852","0.035"
"6.899","0.035"
"6.947","0.036"
"6.994","0.036"
"7.041","0.036"
"7.089","0.037"
"7.136","0.037"
"7.183","0.038"
"7.230","0.038"
"7.278","0.039"
"7.325","0.039"
"7.372","0.041"
"7.419","0.042"
"7.467","0.041"
"7.514","0.037"
"7.561","0.034"
"7.608","0.035"
"7.656","0.038"
"7.703","0.039"
"7.750","0.038"
"7.797","0.039"
"7.845","0.040"
"7.892","0.042"
"7.939","0.043"
"7.986","0.043"
"8.034","0.042"
"8.081","0.039"
"8.128","0.037"
"8.175","0.038"
"8.223","0.041"
"8.270","0.043"
"8.317","0.043"
"8.364","0.040"
"8.412","0.039"
"8.459","0.042"
"8.506","0.044"
"8.553","0.046"
"8.601","0.047"
"8.648","0.050"
"8.695","0.056"
"8.742","0.062"
"8.790","0.070"
"8.837","0.081"
"8.884","0.105"
"8.932","0.159"
"8.979","0.244"
"9.026","0.337"
"9.073","0.430"
"9.121","0.541"
"9.168","0.679"
"9.215","0.818"
"9.262","0.941"
"9.310","1.057"
"9.357","1.172"
"9.404","1.284"
"9.451","1.388"
"9.499","1.474"
"9.546","1.549"
"9.593","1.620"
"9.640","1.695"
"9.688","1.772"
"9.735","1.846"
"9.782","1.918"
"9.829","1.987"
"9.877","2.055"
"9.924","2.121"
"9.971","2.182"
"10.018","2.236"
"10.066","2.291"
"10.113","2.352"
"10.160","2.417"
"10.207","2.478"
"10.255","2.529"
"10.302","2.569"
"10.349","2.606"
"10.396","2.644"
"10.444","2.684"
"10.491","2.724"
"10.538","2.760"
"10.585","2.790"
"10.633","2.820"
"10.680","2.851"
"10.727","2.879"
"10.775","2.900"
"10.822","2.920"
"10.869","2.943"
"10.916","2.966"
"10.964","2.991"
"11.011","3.024"
"11.058","3.065"
"11.105","3.107"
"11.153","3.144"
"11.200","3.179"
"11.247","3.212"
"11.294","3.240"
"11.342","3.265"
"11.389","3.288"
"11.436","3.312"
"11.483","3.338"
"11.531","3.364"
"11.578","3.387"
"11.625","3.407"
"11.672","3.427"
"11.720","3.448"
"11.767","3.469"
"11.814","3.489"
"11.861","3.508"
"11.909","3.527"
"11.956","3.546"
"12.003","3.564"
"12.050","3.581"
"12.098","3.600"
"12.145","3.620"
"12.192","3.639"
"12.239","3.655"
"12.287","3.671"
"12.334","3.689"
"12.381","3.708"
"12.429","3.730"
"12.476","3.752"
"12.523","3.774"
"12.570","3.793"
"12.618","3.810"
"12.665","3.826"
"12.712","3.842"
"12.759","3.857"
"12.807","3.873"
"12.854","3.887"
"12.901","3.900"
"12.948","3.913"
"12.996","3.927"
"13.043","3.942"
"13.090","3.957"
"13.137","3.970"
"13.185","3.983"
"13.232","3.997"
"13.279","4.011"
"13.326","4.024"
"13.374","4.037"
"13.421","4.051"
"13.468","4.064"
"13.515","4.078"
"13.563","4.091"
"13.610","4.102"
"13.657","4.112"
"13.704","4.120"
"13.752","4.127"
"13.799","4.131"
"13.846","4.135"
"13.893","4.141"
"13.941","4.147"
"13.988","4.153"
"14.035","4.157"
"14.082","4.161"
"14.130","4.166"
"14.177","4.170"
"14.224","4.172"
"14.272","4.171"
"14.319","4.170"
"14.366","4.169"
"14.413","4.168"
"14.461","4.168"
"14.508","4.167"
"14.555","4.165"
"14.602","4.164"
"14.650","4.163"
"14.697","4.163"
"14.744","4.163"
"14.791","4.162"
"14.839","4.161"
"14.886","4.161"
"14.933","4.162"
"14.980","4.163"
"15.028","4.166"
"15.075","4.169"
"15.122","4.175"
"15.169","4.182"
"15.217","4.188"
"15.264","4.192"
"15.311","4.195"
"15.358","4.198"
"15.406","4.201"
"15.453","4.203"
"15.500","4.205"
"15.547","4.207"
"15.595","4.211"
"15.642","4.214"
"15.689","4.215"
"15.736","4.216"
"15.784","4.216"
"15.831","4.213"
"15.878","4.211"
"15.926","4.209"
"15.973","4.208"
"16.020","4.208"
"16.067","4.210"
"16.115","4.212"
"16.162","4.214"
"16.209","4.215"
"16.256","4.214"
"16.304","4.211"
"16.351","4.209"
"16.398","4.208"
"16.445","4.209"
"16.493","4.211"
"16.540","4.214"
"16.587","4.216"
"16.634","4.219"
"16.682","4.221"
"16.729","4.222"
"16.776","4.222"
"16.823","4.220"
"16.871","4.217"
"16.918","4.213"
"16.965","4.209"
"17.012","4.206"
"17.060","4.204"
"17.107","4.201"
"17.154","4.200"
"17.201","4.200"
"17.249","4.202"
"17.296","4.205"
"17.343","4.207"
"17.390","4.208"
"17.438","4.207"
"17.485","4.205"
"17.532","4.202"
"17.579","4.199"
"17.627","4.194"
"17.674","4.189"
"17.721","4.186"
"17.769","4.184"
"17.816","4.181"
"17.863","4.178"
"17.910","4.175"
"17.958","4.173"
"18.005","4.172"
"18.052","4.169"
"18.099","4.166"
"18.147","4.163"
"18.194","4.159"
"18.241","4.154"
"18.288","4.148"
"18.336","4.143"
"18.383","4.138"
"18.430","4.134"
"18.477","4.130"
"18.525","4.126"
"18.572","4.123"
"18.619","4.118"
"18.666","4.113"
"18.714","4.107"
"18.761","4.101"
"18.808","4.096"
"18.855","4.093"
"18.903","4.092"
"18.950","4.091"
"18.997","4.089"
"19.044","4.088"
"19.092","4.088"
"19.139","4.089"
"19.186","4.087"
"19.233","4.085"
"19.281","4.084"
"19.328","4.080"
"19.375","4.074"
"19.422","4.067"
"19.470","4.062"
