"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","-0.005"
"0.189","-0.003"
"0.236","-0.003"
"0.284","-0.003"
"0.331","0.000"
"0.378","0.003"
"0.425","0.002"
"0.473","-0.003"
"0.520","-0.007"
"0.567","-0.011"
"0.614","-0.011"
"0.662","-0.006"
"0.709","0.000"
"0.756","0.003"
"0.803","0.006"
"0.851","0.009"
"0.898","0.011"
"0.945","0.011"
"0.992","0.010"
"1.040","0.010"
"1.087","0.011"
"1.134","0.013"
"1.182","0.015"
"1.229","0.017"
"1.276","0.013"
"1.323","-0.003"
"1.371","-0.025"
"1.418","-0.033"
"1.465","-0.017"
"1.512","0.015"
"1.560","0.039"
"1.607","0.042"
"1.654","0.027"
"1.701","0.006"
"1.749","-0.010"
"1.796","-0.011"
"1.843","0.001"
"1.890","0.012"
"1.938","0.013"
"1.985","0.005"
"2.032","0.003"
"2.080","0.013"
"2.127","0.023"
"2.174","0.023"
"2.221","0.013"
"2.269","0.005"
"2.316","0.005"
"2.363","0.008"
"2.410","0.010"
"2.458","0.013"
"2.505","0.016"
"2.552","0.018"
"2.599","0.015"
"2.647","0.008"
"2.694","0.001"
"2.741","0.003"
"2.788","0.013"
"2.836","0.018"
"2.883","0.011"
"2.930","-0.004"
"2.977","-0.014"
"3.025","-0.009"
"3.072","0.011"
"3.119","0.033"
"3.167","0.041"
"3.214","0.031"
"3.261","0.012"
"3.308","-0.001"
"3.356","-0.005"
"3.403","-0.002"
"3.450","0.005"
"3.497","0.013"
"3.545","0.020"
"3.592","0.023"
"3.639","0.021"
"3.686","0.014"
"3.734","0.008"
"3.781","0.009"
"3.828","0.018"
"3.875","0.026"
"3.923","0.025"
"3.970","0.018"
"4.017","0.011"
"4.064","0.011"
"4.112","0.015"
"4.159","0.019"
"4.206","0.023"
"4.254","0.027"
"4.301","0.026"
"4.348","0.022"
"4.395","0.020"
"4.443","0.022"
"4.490","0.025"
"4.537","0.026"
"4.584","0.027"
"4.632","0.028"
"4.679","0.030"
"4.726","0.032"
"4.773","0.031"
"4.821","0.029"
"4.868","0.024"
"4.915","0.022"
"4.962","0.023"
"5.010","0.026"
"5.057","0.028"
"5.104","0.027"
"5.152","0.025"
"5.199","0.019"
"5.246","0.008"
"5.293","-0.002"
"5.341","-0.002"
"5.388","0.006"
"5.435","0.017"
"5.482","0.026"
"5.530","0.030"
"5.577","0.030"
"5.624","0.032"
"5.671","0.034"
"5.719","0.034"
"5.766","0.034"
"5.813","0.040"
"5.860","0.045"
"5.908","0.035"
"5.955","0.018"
"6.002","0.011"
"6.049","0.019"
"6.097","0.031"
"6.144","0.035"
"6.191","0.036"
"6.239","0.036"
"6.286","0.037"
"6.333","0.029"
"6.380","0.014"
"6.428","0.002"
"6.475","-0.001"
"6.522","0.004"
"6.569","0.011"
"6.617","0.020"
"6.664","0.026"
"6.711","0.028"
"6.758","0.028"
"6.806","0.029"
"6.853","0.030"
"6.900","0.032"
"6.947","0.034"
"6.995","0.032"
"7.042","0.026"
"7.089","0.020"
"7.137","0.022"
"7.184","0.030"
"7.231","0.035"
"7.278","0.033"
"7.326","0.028"
"7.373","0.029"
"7.420","0.032"
"7.467","0.033"
"7.515","0.034"
"7.562","0.038"
"7.609","0.042"
"7.656","0.042"
"7.704","0.038"
"7.751","0.036"
"7.798","0.034"
"7.845","0.034"
"7.893","0.038"
"7.940","0.042"
"7.987","0.044"
"8.034","0.044"
"8.082","0.042"
"8.129","0.039"
"8.176","0.037"
"8.224","0.034"
"8.271","0.034"
"8.318","0.035"
"8.365","0.037"
"8.413","0.039"
"8.460","0.040"
"8.507","0.040"
"8.554","0.039"
"8.602","0.039"
"8.649","0.040"
"8.696","0.040"
"8.743","0.039"
"8.791","0.039"
"8.838","0.041"
"8.885","0.043"
"8.932","0.043"
"8.980","0.042"
"9.027","0.042"
"9.074","0.043"
"9.121","0.042"
"9.169","0.038"
"9.216","0.038"
"9.263","0.042"
"9.311","0.044"
"9.358","0.038"
"9.405","0.032"
"9.452","0.032"
"9.500","0.035"
"9.547","0.038"
"9.594","0.042"
"9.641","0.045"
"9.689","0.047"
"9.736","0.059"
"9.783","0.106"
"9.830","0.182"
"9.878","0.250"
"9.925","0.315"
"9.972","0.424"
"10.019","0.579"
"10.067","0.739"
"10.114","0.871"
"10.161","0.977"
"10.209","1.069"
"10.256","1.146"
"10.303","1.217"
"10.350","1.294"
"10.398","1.377"
"10.445","1.462"
"10.492","1.544"
"10.539","1.621"
"10.587","1.692"
"10.634","1.757"
"10.681","1.814"
"10.728","1.860"
"10.776","1.900"
"10.823","1.947"
"10.870","2.004"
"10.917","2.066"
"10.965","2.120"
"11.012","2.163"
"11.059","2.201"
"11.106","2.243"
"11.154","2.292"
"11.201","2.346"
"11.248","2.398"
"11.296","2.440"
"11.343","2.470"
"11.390","2.495"
"11.437","2.521"
"11.485","2.553"
"11.532","2.588"
"11.579","2.625"
"11.626","2.662"
"11.674","2.699"
"11.721","2.730"
"11.768","2.754"
"11.815","2.774"
"11.863","2.799"
"11.910","2.826"
"11.957","2.852"
"12.004","2.874"
"12.052","2.891"
"12.099","2.906"
"12.146","2.924"
"12.193","2.944"
"12.241","2.964"
"12.288","2.985"
"12.335","3.006"
"12.383","3.027"
"12.430","3.046"
"12.477","3.063"
"12.524","3.078"
"12.572","3.092"
"12.619","3.110"
"12.666","3.129"
"12.713","3.146"
"12.761","3.161"
"12.808","3.174"
"12.855","3.189"
"12.902","3.205"
"12.950","3.223"
"12.997","3.240"
"13.044","3.256"
"13.091","3.269"
"13.139","3.282"
"13.186","3.295"
"13.233","3.308"
"13.281","3.320"
"13.328","3.332"
"13.375","3.345"
"13.422","3.359"
"13.470","3.373"
"13.517","3.385"
"13.564","3.395"
"13.611","3.405"
"13.659","3.414"
"13.706","3.424"
"13.753","3.435"
"13.800","3.448"
"13.848","3.461"
"13.895","3.475"
"13.942","3.487"
"13.989","3.499"
"14.037","3.510"
"14.084","3.522"
"14.131","3.535"
"14.178","3.548"
"14.226","3.560"
"14.273","3.571"
"14.320","3.581"
"14.368","3.594"
"14.415","3.606"
"14.462","3.616"
"14.509","3.624"
"14.557","3.632"
"14.604","3.642"
"14.651","3.651"
"14.698","3.659"
"14.746","3.666"
"14.793","3.674"
"14.840","3.681"
"14.887","3.689"
"14.935","3.697"
"14.982","3.706"
"15.029","3.715"
"15.076","3.724"
"15.124","3.733"
"15.171","3.741"
"15.218","3.747"
"15.265","3.752"
"15.313","3.756"
"15.360","3.760"
"15.407","3.764"
"15.455","3.768"
"15.502","3.771"
"15.549","3.774"
"15.596","3.777"
"15.644","3.780"
"15.691","3.784"
"15.738","3.788"
"15.785","3.793"
"15.833","3.797"
"15.880","3.801"
"15.927","3.804"
"15.974","3.806"
"16.022","3.808"
"16.069","3.810"
"16.116","3.812"
"16.163","3.812"
"16.211","3.813"
"16.258","3.813"
"16.305","3.813"
"16.353","3.813"
"16.400","3.812"
"16.447","3.811"
"16.494","3.811"
"16.542","3.812"
"16.589","3.812"
"16.636","3.812"
"16.683","3.812"
"16.731","3.812"
"16.778","3.812"
"16.825","3.812"
"16.872","3.812"
"16.920","3.813"
"16.967","3.814"
"17.014","3.815"
"17.061","3.817"
"17.109","3.818"
"17.156","3.819"
"17.203","3.820"
"17.250","3.821"
"17.298","3.821"
"17.345","3.821"
"17.392","3.821"
"17.440","3.821"
"17.487","3.820"
"17.534","3.820"
"17.581","3.820"
"17.629","3.820"
"17.676","3.819"
"17.723","3.818"
"17.770","3.816"
"17.818","3.813"
"17.865","3.808"
"17.912","3.801"
"17.959","3.794"
"18.007","3.786"
"18.054","3.778"
"18.101","3.773"
"18.148","3.770"
"18.196","3.768"
"18.243","3.765"
"18.290","3.762"
"18.337","3.758"
"18.385","3.754"
"18.432","3.749"
"18.479","3.744"
"18.527","3.738"
"18.574","3.731"
"18.621","3.723"
"18.668","3.714"
"18.716","3.706"
"18.763","3.698"
"18.810","3.690"
"18.857","3.682"
"18.905","3.675"
"18.952","3.669"
"18.999","3.665"
"19.046","3.662"
"19.094","3.659"
"19.141","3.656"
"19.188","3.654"
"19.235","3.651"
"19.283","3.646"
"19.330","3.641"
"19.377","3.636"
