"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.030"
"0.189","0.030"
"0.236","0.033"
"0.284","0.034"
"0.331","0.032"
"0.378","0.031"
"0.425","0.040"
"0.473","0.056"
"0.520","0.061"
"0.567","0.043"
"0.614","0.013"
"0.662","-0.004"
"0.709","0.000"
"0.756","0.012"
"0.803","0.023"
"0.851","0.030"
"0.898","0.034"
"0.945","0.033"
"0.992","0.029"
"1.040","0.030"
"1.087","0.037"
"1.134","0.045"
"1.181","0.049"
"1.229","0.044"
"1.276","0.031"
"1.323","0.019"
"1.370","0.017"
"1.418","0.018"
"1.465","0.012"
"1.512","0.007"
"1.559","0.015"
"1.607","0.030"
"1.654","0.041"
"1.701","0.044"
"1.749","0.043"
"1.796","0.036"
"1.843","0.024"
"1.890","0.014"
"1.938","0.005"
"1.985","0.003"
"2.032","0.014"
"2.079","0.037"
"2.127","0.056"
"2.174","0.058"
"2.221","0.049"
"2.268","0.043"
"2.316","0.041"
"2.363","0.032"
"2.410","0.021"
"2.457","0.019"
"2.505","0.027"
"2.552","0.034"
"2.599","0.032"
"2.646","0.031"
"2.694","0.037"
"2.741","0.045"
"2.788","0.043"
"2.835","0.028"
"2.883","0.008"
"2.930","-0.007"
"2.977","-0.006"
"3.024","0.014"
"3.072","0.044"
"3.119","0.063"
"3.166","0.057"
"3.213","0.030"
"3.261","0.003"
"3.308","-0.004"
"3.355","0.009"
"3.403","0.028"
"3.450","0.040"
"3.497","0.047"
"3.544","0.053"
"3.592","0.055"
"3.639","0.051"
"3.686","0.041"
"3.733","0.033"
"3.781","0.029"
"3.828","0.023"
"3.875","0.017"
"3.922","0.017"
"3.970","0.031"
"4.017","0.049"
"4.064","0.054"
"4.111","0.044"
"4.159","0.030"
"4.206","0.028"
"4.253","0.034"
"4.300","0.035"
"4.348","0.030"
"4.395","0.033"
"4.442","0.049"
"4.489","0.068"
"4.537","0.071"
"4.584","0.055"
"4.631","0.030"
"4.678","0.013"
"4.726","0.013"
"4.773","0.027"
"4.820","0.049"
"4.867","0.072"
"4.915","0.081"
"4.962","0.064"
"5.009","0.033"
"5.057","0.015"
"5.104","0.018"
"5.151","0.029"
"5.198","0.033"
"5.246","0.032"
"5.293","0.037"
"5.340","0.049"
"5.387","0.059"
"5.435","0.064"
"5.482","0.061"
"5.529","0.048"
"5.576","0.030"
"5.624","0.020"
"5.671","0.026"
"5.718","0.040"
"5.765","0.051"
"5.813","0.055"
"5.860","0.057"
"5.907","0.064"
"5.954","0.068"
"6.002","0.062"
"6.049","0.049"
"6.096","0.043"
"6.143","0.047"
"6.191","0.052"
"6.238","0.053"
"6.285","0.053"
"6.332","0.058"
"6.380","0.063"
"6.427","0.061"
"6.474","0.049"
"6.521","0.034"
"6.569","0.030"
"6.616","0.042"
"6.663","0.058"
"6.710","0.062"
"6.758","0.049"
"6.805","0.034"
"6.852","0.030"
"6.900","0.033"
"6.947","0.039"
"6.994","0.045"
"7.041","0.049"
"7.089","0.053"
"7.136","0.056"
"7.183","0.055"
"7.230","0.043"
"7.278","0.028"
"7.325","0.026"
"7.372","0.039"
"7.419","0.055"
"7.467","0.061"
"7.514","0.057"
"7.561","0.050"
"7.608","0.048"
"7.656","0.049"
"7.703","0.050"
"7.750","0.052"
"7.797","0.057"
"7.845","0.063"
"7.892","0.063"
"7.939","0.061"
"7.986","0.059"
"8.034","0.059"
"8.081","0.057"
"8.128","0.056"
"8.175","0.062"
"8.223","0.071"
"8.270","0.074"
"8.317","0.065"
"8.364","0.056"
"8.412","0.055"
"8.459","0.060"
"8.506","0.061"
"8.554","0.056"
"8.601","0.052"
"8.648","0.051"
"8.695","0.053"
"8.743","0.054"
"8.790","0.056"
"8.837","0.055"
"8.884","0.048"
"8.932","0.043"
"8.979","0.049"
"9.026","0.061"
"9.073","0.067"
"9.121","0.064"
"9.168","0.060"
"9.215","0.058"
"9.262","0.057"
"9.310","0.055"
"9.357","0.055"
"9.404","0.055"
"9.451","0.054"
"9.499","0.054"
"9.546","0.057"
"9.593","0.061"
"9.640","0.065"
"9.688","0.065"
"9.735","0.063"
"9.782","0.060"
"9.829","0.060"
"9.877","0.061"
"9.924","0.063"
"9.971","0.063"
"10.018","0.062"
"10.066","0.062"
"10.113","0.059"
"10.160","0.052"
"10.208","0.051"
"10.255","0.060"
"10.302","0.071"
"10.349","0.074"
"10.397","0.069"
"10.444","0.064"
"10.491","0.063"
"10.538","0.063"
"10.586","0.062"
"10.633","0.061"
"10.680","0.062"
"10.727","0.063"
"10.775","0.063"
"10.822","0.062"
"10.869","0.059"
"10.916","0.059"
"10.964","0.060"
"11.011","0.062"
"11.058","0.062"
"11.105","0.060"
"11.153","0.057"
"11.200","0.054"
"11.247","0.052"
"11.294","0.053"
"11.342","0.055"
"11.389","0.057"
"11.436","0.058"
"11.483","0.060"
"11.531","0.063"
"11.578","0.063"
"11.625","0.059"
"11.672","0.054"
"11.720","0.051"
"11.767","0.050"
"11.814","0.051"
"11.862","0.053"
"11.909","0.056"
"11.956","0.059"
"12.003","0.061"
"12.051","0.060"
"12.098","0.056"
"12.145","0.053"
"12.192","0.053"
"12.240","0.057"
"12.287","0.061"
"12.334","0.061"
"12.381","0.059"
"12.429","0.057"
"12.476","0.056"
"12.523","0.069"
"12.570","0.133"
"12.618","0.249"
"12.665","0.370"
"12.712","0.440"
"12.759","0.459"
"12.807","0.465"
"12.854","0.484"
"12.901","0.578"
"12.948","0.826"
"12.996","1.099"
"13.043","1.237"
"13.090","1.292"
"13.137","1.348"
"13.185","1.417"
"13.232","1.486"
"13.279","1.546"
"13.326","1.603"
"13.374","1.662"
"13.421","1.724"
"13.468","1.786"
"13.516","1.844"
"13.563","1.896"
"13.610","1.945"
"13.657","1.994"
"13.705","2.045"
"13.752","2.097"
"13.799","2.148"
"13.846","2.198"
"13.894","2.250"
"13.941","2.303"
"13.988","2.353"
"14.035","2.401"
"14.083","2.449"
"14.130","2.496"
"14.177","2.542"
"14.224","2.585"
"14.272","2.626"
"14.319","2.664"
"14.366","2.700"
"14.413","2.735"
"14.461","2.768"
"14.508","2.802"
"14.555","2.838"
"14.602","2.875"
"14.650","2.910"
"14.697","2.937"
"14.744","2.962"
"14.791","2.990"
"14.839","3.022"
"14.886","3.054"
"14.933","3.083"
"14.980","3.112"
"15.028","3.142"
"15.075","3.172"
"15.122","3.201"
"15.170","3.229"
"15.217","3.255"
"15.264","3.282"
"15.311","3.309"
"15.359","3.337"
"15.406","3.364"
"15.453","3.390"
"15.500","3.415"
"15.548","3.438"
"15.595","3.459"
"15.642","3.480"
"15.689","3.504"
"15.737","3.533"
"15.784","3.565"
"15.831","3.596"
"15.878","3.624"
"15.926","3.650"
"15.973","3.675"
"16.020","3.701"
"16.067","3.726"
"16.115","3.749"
"16.162","3.768"
"16.209","3.787"
"16.256","3.805"
"16.304","3.822"
"16.351","3.838"
"16.398","3.853"
"16.445","3.868"
"16.493","3.884"
"16.540","3.902"
"16.587","3.921"
"16.634","3.937"
"16.682","3.951"
"16.729","3.963"
"16.776","3.976"
"16.824","3.990"
"16.871","4.002"
"16.918","4.015"
"16.965","4.030"
"17.013","4.048"
"17.060","4.068"
"17.107","4.086"
"17.154","4.100"
"17.202","4.112"
"17.249","4.123"
"17.296","4.134"
"17.343","4.144"
"17.391","4.154"
"17.438","4.165"
"17.485","4.175"
"17.532","4.184"
"17.580","4.192"
"17.627","4.200"
"17.674","4.207"
"17.721","4.215"
"17.769","4.222"
"17.816","4.232"
"17.863","4.246"
"17.910","4.262"
"17.958","4.277"
"18.005","4.292"
"18.052","4.308"
"18.099","4.325"
"18.147","4.340"
"18.194","4.351"
"18.241","4.359"
"18.288","4.367"
"18.336","4.374"
"18.383","4.379"
"18.430","4.383"
"18.477","4.387"
"18.525","4.392"
"18.572","4.398"
"18.619","4.404"
"18.667","4.409"
"18.714","4.414"
"18.761","4.419"
"18.808","4.423"
"18.856","4.425"
"18.903","4.428"
"18.950","4.432"
"18.997","4.436"
"19.045","4.441"
"19.092","4.445"
"19.139","4.449"
"19.186","4.453"
"19.234","4.459"
"19.281","4.464"
"19.328","4.469"
"19.375","4.473"
"19.423","4.476"
"19.470","4.479"
