"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095","-0.028"
"0.142","-0.021"
"0.189","-0.014"
"0.236","-0.014"
"0.284","-0.015"
"0.331","-0.006"
"0.378","0.007"
"0.425","0.008"
"0.473","-0.007"
"0.520","-0.022"
"0.567","-0.024"
"0.614","-0.016"
"0.662","-0.007"
"0.709","0.000"
"0.756","0.001"
"0.803","-0.001"
"0.851","-0.003"
"0.898","-0.003"
"0.945","-0.003"
"0.992","-0.006"
"1.040","-0.005"
"1.087","0.002"
"1.134","0.008"
"1.181","0.006"
"1.229","0.000"
"1.276","-0.003"
"1.323","-0.003"
"1.370","-0.005"
"1.418","-0.005"
"1.465","0.001"
"1.512","0.003"
"1.559","0.000"
"1.607","-0.006"
"1.654","-0.005"
"1.701","0.001"
"1.748","0.002"
"1.796","-0.001"
"1.843","-0.002"
"1.890","0.000"
"1.938","0.002"
"1.985","0.002"
"2.032","-0.002"
"2.079","-0.007"
"2.127","-0.012"
"2.174","-0.013"
"2.221","-0.004"
"2.268","0.009"
"2.316","0.013"
"2.363","0.005"
"2.410","-0.006"
"2.457","-0.004"
"2.505","0.003"
"2.552","0.005"
"2.599","-0.001"
"2.646","-0.005"
"2.694","-0.002"
"2.741","0.002"
"2.788","0.003"
"2.835","0.002"
"2.883","0.002"
"2.930","0.002"
"2.977","0.003"
"3.024","0.003"
"3.072","0.004"
"3.119","0.005"
"3.166","0.006"
"3.213","0.008"
"3.261","0.009"
"3.308","0.008"
"3.355","0.005"
"3.402","0.005"
"3.450","0.007"
"3.497","0.009"
"3.544","0.006"
"3.591","0.002"
"3.639","0.003"
"3.686","0.006"
"3.733","0.011"
"3.781","0.011"
"3.828","0.009"
"3.875","0.008"
"3.922","0.007"
"3.970","0.008"
"4.017","0.008"
"4.064","0.009"
"4.111","0.009"
"4.159","0.009"
"4.206","0.007"
"4.253","0.006"
"4.300","0.005"
"4.348","0.007"
"4.395","0.009"
"4.442","0.008"
"4.489","0.006"
"4.537","0.005"
"4.584","0.005"
"4.631","0.005"
"4.678","0.004"
"4.726","0.004"
"4.773","0.005"
"4.820","0.001"
"4.867","-0.009"
"4.915","-0.010"
"4.962","-0.002"
"5.009","0.007"
"5.056","0.008"
"5.104","0.002"
"5.151","0.001"
"5.198","0.001"
"5.245","0.001"
"5.293","0.002"
"5.340","0.002"
"5.387","0.002"
"5.434","0.002"
"5.482","0.001"
"5.529","0.002"
"5.576","0.004"
"5.624","0.005"
"5.671","0.006"
"5.718","0.008"
"5.765","0.009"
"5.813","0.009"
"5.860","0.009"
"5.907","0.008"
"5.954","0.005"
"6.002","0.000"
"6.049","-0.002"
"6.096","-0.001"
"6.143","-0.001"
"6.191","-0.003"
"6.238","-0.005"
"6.285","-0.002"
"6.332","0.003"
"6.380","0.006"
"6.427","0.008"
"6.474","0.009"
"6.521","0.010"
"6.569","0.011"
"6.616","0.011"
"6.663","0.011"
"6.710","0.013"
"6.758","0.014"
"6.805","0.014"
"6.852","0.011"
"6.899","0.008"
"6.947","0.013"
"6.994","0.021"
"7.041","0.025"
"7.088","0.021"
"7.136","0.015"
"7.183","0.014"
"7.230","0.014"
"7.277","0.017"
"7.325","0.019"
"7.372","0.025"
"7.419","0.053"
"7.467","0.097"
"7.514","0.133"
"7.561","0.167"
"7.608","0.251"
"7.656","0.396"
"7.703","0.527"
"7.750","0.579"
"7.797","0.560"
"7.845","0.545"
"7.892","0.601"
"7.939","0.723"
"7.986","0.855"
"8.034","0.951"
"8.081","1.014"
"8.128","1.063"
"8.175","1.103"
"8.223","1.148"
"8.270","1.205"
"8.317","1.256"
"8.364","1.298"
"8.412","1.344"
"8.459","1.394"
"8.506","1.444"
"8.553","1.489"
"8.601","1.532"
"8.648","1.574"
"8.695","1.615"
"8.742","1.660"
"8.790","1.708"
"8.837","1.750"
"8.884","1.784"
"8.931","1.819"
"8.979","1.865"
"9.026","1.911"
"9.073","1.949"
"9.120","1.984"
"9.168","2.023"
"9.215","2.065"
"9.262","2.109"
"9.310","2.155"
"9.357","2.200"
"9.404","2.238"
"9.451","2.270"
"9.499","2.300"
"9.546","2.332"
"9.593","2.361"
"9.640","2.388"
"9.688","2.413"
"9.735","2.440"
"9.782","2.467"
"9.829","2.493"
"9.877","2.516"
"9.924","2.539"
"9.971","2.562"
"10.018","2.585"
"10.066","2.609"
"10.113","2.631"
"10.160","2.648"
"10.207","2.665"
"10.255","2.682"
"10.302","2.700"
"10.349","2.718"
"10.396","2.736"
"10.444","2.756"
"10.491","2.775"
"10.538","2.794"
"10.585","2.811"
"10.633","2.827"
"10.680","2.842"
"10.727","2.855"
"10.774","2.867"
"10.822","2.879"
"10.869","2.891"
"10.916","2.904"
"10.963","2.917"
"11.011","2.930"
"11.058","2.943"
"11.105","2.956"
"11.153","2.969"
"11.200","2.982"
"11.247","2.995"
"11.294","3.008"
"11.342","3.020"
"11.389","3.032"
"11.436","3.044"
"11.483","3.055"
"11.531","3.066"
"11.578","3.077"
"11.625","3.088"
"11.672","3.098"
"11.720","3.110"
"11.767","3.122"
"11.814","3.134"
"11.861","3.145"
"11.909","3.156"
"11.956","3.168"
"12.003","3.180"
"12.050","3.193"
"12.098","3.206"
"12.145","3.218"
"12.192","3.228"
"12.239","3.238"
"12.287","3.246"
"12.334","3.254"
"12.381","3.263"
"12.428","3.273"
"12.476","3.283"
"12.523","3.292"
"12.570","3.301"
"12.617","3.309"
"12.665","3.317"
"12.712","3.326"
"12.759","3.334"
"12.806","3.342"
"12.854","3.350"
"12.901","3.357"
"12.948","3.365"
"12.996","3.373"
"13.043","3.380"
"13.090","3.386"
"13.137","3.391"
"13.185","3.395"
"13.232","3.399"
"13.279","3.404"
"13.326","3.409"
"13.374","3.416"
"13.421","3.422"
"13.468","3.427"
"13.515","3.431"
"13.563","3.435"
"13.610","3.437"
"13.657","3.440"
"13.704","3.444"
"13.752","3.447"
"13.799","3.451"
"13.846","3.454"
"13.893","3.456"
"13.941","3.457"
"13.988","3.459"
"14.035","3.460"
"14.082","3.461"
"14.130","3.463"
"14.177","3.466"
"14.224","3.468"
"14.271","3.471"
"14.319","3.475"
"14.366","3.479"
"14.413","3.482"
"14.460","3.484"
"14.508","3.486"
"14.555","3.489"
"14.602","3.491"
"14.649","3.492"
"14.697","3.493"
"14.744","3.493"
"14.791","3.494"
"14.839","3.495"
"14.886","3.497"
"14.933","3.500"
"14.980","3.505"
"15.028","3.510"
"15.075","3.514"
"15.122","3.517"
"15.169","3.520"
"15.217","3.521"
"15.264","3.522"
"15.311","3.522"
"15.358","3.522"
"15.406","3.523"
"15.453","3.524"
"15.500","3.525"
"15.547","3.525"
"15.595","3.524"
"15.642","3.523"
"15.689","3.522"
"15.736","3.522"
"15.784","3.522"
"15.831","3.523"
"15.878","3.524"
"15.925","3.524"
"15.973","3.523"
"16.020","3.524"
"16.067","3.523"
"16.114","3.522"
"16.162","3.520"
"16.209","3.520"
"16.256","3.520"
"16.303","3.520"
"16.351","3.518"
"16.398","3.517"
"16.445","3.517"
"16.492","3.517"
"16.540","3.515"
"16.587","3.512"
"16.634","3.509"
"16.682","3.506"
"16.729","3.503"
"16.776","3.502"
"16.823","3.500"
"16.871","3.498"
"16.918","3.496"
"16.965","3.494"
"17.012","3.492"
"17.060","3.489"
"17.107","3.486"
"17.154","3.482"
"17.201","3.478"
"17.249","3.472"
"17.296","3.466"
"17.343","3.462"
"17.390","3.458"
"17.438","3.455"
"17.485","3.451"
"17.532","3.447"
"17.579","3.444"
"17.627","3.442"
"17.674","3.440"
"17.721","3.437"
"17.768","3.436"
"17.816","3.436"
"17.863","3.435"
"17.910","3.433"
"17.957","3.429"
"18.005","3.427"
"18.052","3.424"
"18.099","3.422"
"18.146","3.419"
"18.194","3.416"
"18.241","3.415"
"18.288","3.413"
"18.335","3.412"
"18.383","3.410"
"18.430","3.407"
"18.477","3.405"
"18.525","3.404"
"18.572","3.403"
"18.619","3.403"
"18.666","3.401"
"18.714","3.397"
"18.761","3.393"
"18.808","3.389"
"18.855","3.386"
"18.903","3.384"
"18.950","3.383"
"18.997","3.384"
"19.044","3.383"
"19.092","3.381"
"19.139","3.380"
"19.186","3.378"
"19.233","3.377"
"19.281","3.376"
