"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142",""
"0.189","0.044"
"0.236","0.038"
"0.284","0.032"
"0.331","0.029"
"0.378","0.026"
"0.425","0.024"
"0.473","0.029"
"0.520","0.036"
"0.567","0.038"
"0.614","0.034"
"0.662","0.031"
"0.709","0.033"
"0.756","0.036"
"0.803","0.037"
"0.851","0.035"
"0.898","0.033"
"0.945","0.031"
"0.992","0.030"
"1.040","0.033"
"1.087","0.038"
"1.134","0.043"
"1.181","0.042"
"1.229","0.032"
"1.276","0.020"
"1.323","0.017"
"1.370","0.021"
"1.418","0.025"
"1.465","0.028"
"1.512","0.034"
"1.559","0.042"
"1.607","0.045"
"1.654","0.044"
"1.701","0.047"
"1.749","0.053"
"1.796","0.053"
"1.843","0.042"
"1.890","0.030"
"1.938","0.024"
"1.985","0.027"
"2.032","0.034"
"2.079","0.040"
"2.127","0.041"
"2.174","0.039"
"2.221","0.035"
"2.268","0.029"
"2.316","0.023"
"2.363","0.022"
"2.410","0.028"
"2.457","0.038"
"2.505","0.047"
"2.552","0.051"
"2.599","0.050"
"2.646","0.048"
"2.694","0.046"
"2.741","0.046"
"2.788","0.048"
"2.835","0.049"
"2.883","0.047"
"2.930","0.046"
"2.977","0.045"
"3.024","0.045"
"3.072","0.046"
"3.119","0.050"
"3.166","0.054"
"3.213","0.056"
"3.261","0.052"
"3.308","0.044"
"3.355","0.038"
"3.402","0.038"
"3.450","0.043"
"3.497","0.049"
"3.544","0.051"
"3.592","0.051"
"3.639","0.047"
"3.686","0.039"
"3.733","0.034"
"3.781","0.041"
"3.828","0.053"
"3.875","0.059"
"3.922","0.054"
"3.970","0.046"
"4.017","0.042"
"4.064","0.043"
"4.111","0.048"
"4.159","0.050"
"4.206","0.048"
"4.253","0.048"
"4.300","0.051"
"4.348","0.054"
"4.395","0.053"
"4.442","0.051"
"4.489","0.050"
"4.537","0.054"
"4.584","0.060"
"4.631","0.062"
"4.678","0.060"
"4.726","0.058"
"4.773","0.057"
"4.820","0.057"
"4.867","0.057"
"4.915","0.060"
"4.962","0.063"
"5.009","0.064"
"5.056","0.060"
"5.104","0.055"
"5.151","0.051"
"5.198","0.050"
"5.246","0.052"
"5.293","0.053"
"5.340","0.053"
"5.387","0.051"
"5.435","0.050"
"5.482","0.050"
"5.529","0.051"
"5.576","0.053"
"5.624","0.056"
"5.671","0.056"
"5.718","0.054"
"5.765","0.053"
"5.813","0.053"
"5.860","0.055"
"5.907","0.058"
"5.954","0.060"
"6.002","0.062"
"6.049","0.061"
"6.096","0.060"
"6.143","0.059"
"6.191","0.059"
"6.238","0.058"
"6.285","0.056"
"6.332","0.055"
"6.380","0.056"
"6.427","0.058"
"6.474","0.062"
"6.521","0.081"
"6.569","0.136"
"6.616","0.227"
"6.663","0.325"
"6.710","0.409"
"6.758","0.493"
"6.805","0.596"
"6.852","0.717"
"6.899","0.839"
"6.947","0.949"
"6.994","1.049"
"7.041","1.142"
"7.089","1.241"
"7.136","1.347"
"7.183","1.440"
"7.230","1.507"
"7.278","1.557"
"7.325","1.612"
"7.372","1.682"
"7.419","1.754"
"7.467","1.822"
"7.514","1.882"
"7.561","1.935"
"7.608","1.988"
"7.656","2.042"
"7.703","2.096"
"7.750","2.150"
"7.797","2.201"
"7.845","2.253"
"7.892","2.306"
"7.939","2.355"
"7.986","2.398"
"8.034","2.437"
"8.081","2.474"
"8.128","2.511"
"8.175","2.550"
"8.223","2.592"
"8.270","2.632"
"8.317","2.668"
"8.364","2.700"
"8.412","2.732"
"8.459","2.765"
"8.506","2.798"
"8.553","2.829"
"8.601","2.856"
"8.648","2.879"
"8.695","2.901"
"8.743","2.922"
"8.790","2.942"
"8.837","2.963"
"8.884","2.984"
"8.932","3.005"
"8.979","3.028"
"9.026","3.052"
"9.073","3.079"
"9.121","3.106"
"9.168","3.131"
"9.215","3.153"
"9.262","3.173"
"9.310","3.193"
"9.357","3.214"
"9.404","3.236"
"9.451","3.258"
"9.499","3.280"
"9.546","3.301"
"9.593","3.321"
"9.640","3.340"
"9.688","3.358"
"9.735","3.375"
"9.782","3.390"
"9.829","3.403"
"9.877","3.417"
"9.924","3.430"
"9.971","3.444"
"10.018","3.458"
"10.066","3.473"
"10.113","3.488"
"10.160","3.502"
"10.207","3.515"
"10.255","3.525"
"10.302","3.534"
"10.349","3.543"
"10.397","3.553"
"10.444","3.562"
"10.491","3.572"
"10.538","3.583"
"10.586","3.594"
"10.633","3.606"
"10.680","3.616"
"10.727","3.624"
"10.775","3.633"
"10.822","3.642"
"10.869","3.651"
"10.916","3.657"
"10.964","3.662"
"11.011","3.667"
"11.058","3.672"
"11.105","3.676"
"11.153","3.681"
"11.200","3.686"
"11.247","3.690"
"11.294","3.694"
"11.342","3.696"
"11.389","3.698"
"11.436","3.700"
"11.483","3.700"
"11.531","3.700"
"11.578","3.700"
"11.625","3.700"
"11.672","3.701"
"11.720","3.703"
"11.767","3.705"
"11.814","3.705"
"11.861","3.705"
"11.909","3.704"
"11.956","3.703"
"12.003","3.702"
"12.050","3.702"
"12.098","3.701"
"12.145","3.701"
"12.192","3.700"
"12.240","3.698"
"12.287","3.695"
"12.334","3.693"
"12.381","3.691"
"12.429","3.689"
"12.476","3.687"
"12.523","3.683"
"12.570","3.679"
"12.618","3.676"
"12.665","3.673"
"12.712","3.669"
"12.759","3.666"
"12.807","3.663"
"12.854","3.660"
"12.901","3.657"
"12.948","3.654"
"12.996","3.651"
"13.043","3.647"
"13.090","3.643"
"13.137","3.638"
"13.185","3.633"
"13.232","3.628"
"13.279","3.624"
"13.326","3.621"
"13.374","3.617"
"13.421","3.612"
"13.468","3.607"
"13.515","3.602"
"13.563","3.597"
"13.610","3.592"
"13.657","3.587"
"13.704","3.581"
"13.752","3.576"
"13.799","3.571"
"13.846","3.566"
"13.894","3.560"
"13.941","3.555"
"13.988","3.551"
"14.035","3.547"
"14.083","3.543"
"14.130","3.538"
"14.177","3.533"
"14.224","3.527"
"14.272","3.521"
"14.319","3.515"
"14.366","3.508"
"14.413","3.502"
"14.461","3.496"
"14.508","3.490"
"14.555","3.485"
"14.602","3.480"
"14.650","3.476"
"14.697","3.471"
"14.744","3.466"
"14.791","3.461"
"14.839","3.457"
"14.886","3.452"
"14.933","3.447"
"14.980","3.442"
"15.028","3.437"
"15.075","3.432"
"15.122","3.429"
"15.169","3.426"
"15.217","3.423"
"15.264","3.419"
"15.311","3.415"
"15.358","3.410"
"15.406","3.406"
"15.453","3.402"
"15.500","3.397"
"15.548","3.391"
"15.595","3.386"
"15.642","3.381"
"15.689","3.376"
"15.737","3.371"
"15.784","3.368"
"15.831","3.363"
"15.878","3.358"
"15.926","3.353"
"15.973","3.348"
"16.020","3.344"
"16.067","3.341"
"16.115","3.336"
"16.162","3.330"
"16.209","3.324"
"16.256","3.319"
"16.304","3.314"
"16.351","3.309"
"16.398","3.302"
"16.445","3.296"
"16.493","3.289"
"16.540","3.283"
"16.587","3.277"
"16.634","3.273"
"16.682","3.269"
"16.729","3.263"
"16.776","3.257"
"16.823","3.251"
"16.871","3.244"
"16.918","3.235"
"16.965","3.226"
"17.012","3.219"
"17.060","3.215"
"17.107","3.212"
"17.154","3.209"
"17.201","3.206"
"17.249","3.202"
"17.296","3.200"
"17.343","3.197"
"17.391","3.195"
"17.438","3.193"
"17.485","3.190"
"17.532","3.188"
"17.580","3.188"
"17.627","3.187"
"17.674","3.183"
"17.721","3.178"
"17.769","3.172"
"17.816","3.167"
"17.863","3.163"
"17.910","3.161"
"17.958","3.160"
"18.005","3.157"
"18.052","3.154"
"18.099","3.150"
"18.147","3.146"
"18.194","3.142"
"18.241","3.139"
"18.288","3.136"
"18.336","3.134"
"18.383","3.132"
"18.430","3.130"
"18.477","3.127"
"18.525","3.123"
"18.572","3.121"
"18.619","3.121"
"18.666","3.119"
"18.714","3.118"
"18.761","3.117"
"18.808","3.117"
"18.855","3.118"
"18.903","3.117"
"18.950","3.114"
"18.997","3.111"
"19.045","3.107"
"19.092","3.103"
"19.139","3.100"
"19.186","3.097"
"19.234","3.094"
"19.281","3.091"
"19.328","3.090"
"19.375","3.090"
"19.423","3.091"
"19.470","3.091"
"19.517","3.090"
