"X(mm)","Z(mm)"
"0.000",""
"0.047","0.024"
"0.095","0.026"
"0.142","0.027"
"0.189","0.024"
"0.236","0.020"
"0.284","0.022"
"0.331","0.031"
"0.378","0.035"
"0.425","0.026"
"0.473","0.013"
"0.520","0.006"
"0.567","0.003"
"0.614","0.002"
"0.662","0.002"
"0.709","0.002"
"0.756","0.008"
"0.803","0.020"
"0.851","0.026"
"0.898","0.021"
"0.945","0.011"
"0.992","0.014"
"1.040","0.024"
"1.087","0.027"
"1.134","0.025"
"1.181","0.023"
"1.229","0.024"
"1.276","0.026"
"1.323","0.023"
"1.370","0.017"
"1.418","0.015"
"1.465","0.024"
"1.512","0.040"
"1.559","0.048"
"1.607","0.040"
"1.654","0.024"
"1.701","0.016"
"1.748","0.018"
"1.796","0.024"
"1.843","0.033"
"1.890","0.042"
"1.938","0.044"
"1.985","0.037"
"2.032","0.031"
"2.079","0.034"
"2.127","0.042"
"2.174","0.040"
"2.221","0.031"
"2.268","0.023"
"2.316","0.017"
"2.363","0.013"
"2.410","0.012"
"2.457","0.011"
"2.505","0.009"
"2.552","0.011"
"2.599","0.024"
"2.646","0.040"
"2.694","0.044"
"2.741","0.036"
"2.788","0.027"
"2.835","0.024"
"2.883","0.029"
"2.930","0.032"
"2.977","0.030"
"3.024","0.027"
"3.072","0.029"
"3.119","0.033"
"3.166","0.034"
"3.213","0.030"
"3.261","0.024"
"3.308","0.022"
"3.355","0.027"
"3.402","0.036"
"3.450","0.042"
"3.497","0.038"
"3.544","0.026"
"3.591","0.016"
"3.639","0.016"
"3.686","0.025"
"3.733","0.033"
"3.781","0.035"
"3.828","0.031"
"3.875","0.024"
"3.922","0.022"
"3.970","0.026"
"4.017","0.031"
"4.064","0.033"
"4.111","0.030"
"4.159","0.025"
"4.206","0.024"
"4.253","0.029"
"4.300","0.038"
"4.348","0.041"
"4.395","0.036"
"4.442","0.027"
"4.489","0.023"
"4.537","0.027"
"4.584","0.032"
"4.631","0.035"
"4.678","0.037"
"4.726","0.037"
"4.773","0.037"
"4.820","0.037"
"4.867","0.037"
"4.915","0.037"
"4.962","0.035"
"5.009","0.030"
"5.056","0.023"
"5.104","0.020"
"5.151","0.024"
"5.198","0.032"
"5.245","0.039"
"5.293","0.039"
"5.340","0.036"
"5.387","0.034"
"5.434","0.033"
"5.482","0.030"
"5.529","0.027"
"5.576","0.023"
"5.624","0.023"
"5.671","0.027"
"5.718","0.031"
"5.765","0.034"
"5.813","0.036"
"5.860","0.037"
"5.907","0.036"
"5.954","0.033"
"6.002","0.028"
"6.049","0.026"
"6.096","0.029"
"6.143","0.034"
"6.191","0.038"
"6.238","0.036"
"6.285","0.033"
"6.332","0.030"
"6.380","0.031"
"6.427","0.030"
"6.474","0.030"
"6.521","0.032"
"6.569","0.037"
"6.616","0.040"
"6.663","0.040"
"6.710","0.036"
"6.758","0.032"
"6.805","0.032"
"6.852","0.033"
"6.899","0.034"
"6.947","0.036"
"6.994","0.039"
"7.041","0.042"
"7.088","0.041"
"7.136","0.039"
"7.183","0.038"
"7.230","0.038"
"7.277","0.038"
"7.325","0.037"
"7.372","0.036"
"7.419","0.036"
"7.467","0.036"
"7.514","0.038"
"7.561","0.040"
"7.608","0.042"
"7.656","0.042"
"7.703","0.040"
"7.750","0.038"
"7.797","0.040"
"7.845","0.044"
"7.892","0.047"
"7.939","0.047"
"7.986","0.043"
"8.034","0.041"
"8.081","0.044"
"8.128","0.048"
"8.175","0.050"
"8.223","0.048"
"8.270","0.046"
"8.317","0.044"
"8.364","0.043"
"8.412","0.044"
"8.459","0.044"
"8.506","0.042"
"8.553","0.040"
"8.601","0.039"
"8.648","0.040"
"8.695","0.040"
"8.742","0.040"
"8.790","0.041"
"8.837","0.042"
"8.884","0.041"
"8.931","0.040"
"8.979","0.041"
"9.026","0.043"
"9.073","0.044"
"9.120","0.045"
"9.168","0.048"
"9.215","0.084"
"9.262","0.178"
"9.310","0.295"
"9.357","0.387"
"9.404","0.461"
"9.451","0.573"
"9.499","0.729"
"9.546","0.875"
"9.593","0.974"
"9.640","1.036"
"9.688","1.104"
"9.735","1.172"
"9.782","1.243"
"9.829","1.309"
"9.877","1.367"
"9.924","1.414"
"9.971","1.460"
"10.018","1.504"
"10.066","1.548"
"10.113","1.593"
"10.160","1.637"
"10.207","1.678"
"10.255","1.718"
"10.302","1.762"
"10.349","1.810"
"10.396","1.857"
"10.444","1.901"
"10.491","1.941"
"10.538","1.979"
"10.585","2.017"
"10.633","2.056"
"10.680","2.097"
"10.727","2.135"
"10.774","2.171"
"10.822","2.207"
"10.869","2.244"
"10.916","2.282"
"10.963","2.321"
"11.011","2.358"
"11.058","2.393"
"11.105","2.426"
"11.153","2.459"
"11.200","2.495"
"11.247","2.534"
"11.294","2.573"
"11.342","2.608"
"11.389","2.639"
"11.436","2.670"
"11.483","2.704"
"11.531","2.737"
"11.578","2.766"
"11.625","2.791"
"11.672","2.815"
"11.720","2.842"
"11.767","2.872"
"11.814","2.900"
"11.861","2.925"
"11.909","2.950"
"11.956","2.974"
"12.003","2.998"
"12.050","3.022"
"12.098","3.045"
"12.145","3.066"
"12.192","3.084"
"12.239","3.102"
"12.287","3.123"
"12.334","3.147"
"12.381","3.173"
"12.428","3.200"
"12.476","3.226"
"12.523","3.251"
"12.570","3.275"
"12.617","3.299"
"12.665","3.322"
"12.712","3.345"
"12.759","3.365"
"12.806","3.384"
"12.854","3.404"
"12.901","3.424"
"12.948","3.444"
"12.996","3.463"
"13.043","3.479"
"13.090","3.494"
"13.137","3.510"
"13.185","3.526"
"13.232","3.542"
"13.279","3.558"
"13.326","3.572"
"13.374","3.584"
"13.421","3.596"
"13.468","3.608"
"13.515","3.620"
"13.563","3.631"
"13.610","3.643"
"13.657","3.656"
"13.704","3.674"
"13.752","3.692"
"13.799","3.709"
"13.846","3.722"
"13.893","3.732"
"13.941","3.740"
"13.988","3.749"
"14.035","3.759"
"14.082","3.772"
"14.130","3.785"
"14.177","3.799"
