"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095","-0.052"
"0.142","-0.050"
"0.189","-0.048"
"0.236","-0.046"
"0.284","-0.045"
"0.331","-0.044"
"0.378","-0.044"
"0.425","-0.045"
"0.473","-0.048"
"0.520","-0.052"
"0.567","-0.052"
"0.614","-0.051"
"0.662","-0.050"
"0.709","-0.051"
"0.756","-0.049"
"0.803","-0.045"
"0.851","-0.043"
"0.898","-0.041"
"0.945","-0.041"
"0.992","-0.041"
"1.040","-0.040"
"1.087","-0.039"
"1.134","-0.039"
"1.181","-0.041"
"1.229","-0.043"
"1.276","-0.046"
"1.323","-0.049"
"1.370","-0.050"
"1.418","-0.051"
"1.465","-0.052"
"1.512","-0.055"
"1.559","-0.054"
"1.607","-0.051"
"1.654","-0.047"
"1.701","-0.046"
"1.748","-0.049"
"1.796","-0.050"
"1.843","-0.047"
"1.890","-0.042"
"1.938","-0.039"
"1.985","-0.038"
"2.032","-0.041"
"2.079","-0.045"
"2.127","-0.049"
"2.174","-0.052"
"2.221","-0.050"
"2.268","-0.047"
"2.316","-0.045"
"2.363","-0.046"
"2.410","-0.045"
"2.457","-0.043"
"2.505","-0.043"
"2.552","-0.044"
"2.599","-0.048"
"2.646","-0.053"
"2.694","-0.060"
"2.741","-0.055"
"2.788","-0.054"
"2.835","-0.049"
"2.883","-0.045"
"2.930","-0.045"
"2.977","-0.046"
"3.024","-0.044"
"3.072","-0.041"
"3.119","-0.039"
"3.166","-0.039"
"3.213","-0.041"
"3.261","-0.042"
"3.308","-0.042"
"3.355","-0.042"
"3.402","-0.042"
"3.450","-0.041"
"3.497","-0.037"
"3.544","-0.037"
"3.591","-0.036"
"3.639","-0.037"
"3.686","-0.034"
"3.733","-0.033"
"3.781","-0.034"
"3.828","-0.036"
"3.875","-0.038"
"3.922","-0.043"
"3.970","-0.050"
"4.017","-0.055"
"4.064","-0.056"
"4.111","-0.054"
"4.159","-0.056"
"4.206","-0.058"
"4.253","-0.057"
"4.300","-0.052"
"4.348","-0.048"
"4.395","-0.047"
"4.442","-0.046"
"4.489","-0.044"
"4.537","-0.041"
"4.584","-0.039"
"4.631","-0.040"
"4.678","-0.041"
"4.726","-0.040"
"4.773","-0.039"
"4.820","-0.038"
"4.867","-0.039"
"4.915","-0.040"
"4.962","-0.040"
"5.009","-0.039"
"5.056","-0.038"
"5.104","-0.039"
"5.151","-0.041"
"5.198","-0.044"
"5.245","-0.044"
"5.293","-0.042"
"5.340","-0.040"
"5.387","-0.040"
"5.434","-0.041"
"5.482","-0.039"
"5.529","-0.034"
"5.576","-0.031"
"5.624","-0.032"
"5.671","-0.035"
"5.718","-0.036"
"5.765","-0.036"
"5.813","-0.036"
"5.860","-0.038"
"5.907","-0.038"
"5.954","-0.038"
"6.002","-0.037"
"6.049","-0.038"
"6.096","-0.041"
"6.143","-0.043"
"6.191","-0.040"
"6.238","-0.037"
"6.285","-0.036"
"6.332","-0.041"
"6.380","-0.047"
"6.427","-0.048"
"6.474","-0.046"
"6.521","-0.042"
"6.569","-0.041"
"6.616","-0.043"
"6.663","-0.043"
"6.710","-0.043"
"6.758","-0.044"
"6.805","-0.045"
"6.852","-0.047"
"6.899","-0.049"
"6.947","-0.051"
"6.994","-0.054"
"7.041","-0.059"
"7.088","-0.060"
"7.136","-0.056"
"7.183","-0.050"
"7.230","-0.046"
"7.277","-0.044"
"7.325","-0.042"
"7.372","-0.040"
"7.419","-0.035"
"7.467","-0.033"
"7.514","-0.032"
"7.561","-0.033"
"7.608","-0.034"
"7.656","-0.035"
"7.703","-0.037"
"7.750","-0.041"
"7.797","-0.043"
"7.845","-0.042"
"7.892","-0.040"
"7.939","-0.039"
"7.986","-0.039"
"8.034","-0.038"
"8.081","-0.037"
"8.128","-0.036"
"8.175","-0.035"
"8.223","-0.034"
"8.270","-0.032"
"8.317","-0.029"
"8.364","-0.028"
"8.412","-0.028"
"8.459","-0.028"
"8.506","-0.028"
"8.553","-0.028"
"8.601","-0.028"
"8.648","-0.027"
"8.695","-0.025"
"8.742","-0.023"
"8.790","-0.023"
"8.837","-0.024"
"8.884","-0.025"
"8.931","-0.025"
"8.979","-0.024"
"9.026","-0.026"
"9.073","-0.030"
"9.120","-0.030"
"9.168","-0.024"
"9.215","-0.020"
"9.262","-0.023"
"9.310","-0.030"
"9.357","-0.032"
"9.404","-0.031"
"9.451","-0.027"
"9.499","-0.024"
"9.546","-0.025"
"9.593","-0.026"
"9.640","-0.028"
"9.688","-0.027"
"9.735","-0.024"
"9.782","-0.022"
"9.829","-0.021"
"9.877","-0.022"
"9.924","-0.026"
"9.971","-0.031"
"10.018","-0.032"
"10.066","-0.029"
"10.113","-0.026"
"10.160","-0.025"
"10.207","-0.025"
"10.255","-0.026"
"10.302","-0.029"
"10.349","-0.029"
"10.396","-0.026"
"10.444","-0.021"
"10.491","-0.020"
"10.538","-0.019"
"10.585","-0.020"
"10.633","-0.021"
"10.680","-0.025"
"10.727","-0.029"
"10.774","-0.031"
"10.822","-0.029"
"10.869","-0.026"
"10.916","-0.025"
"10.963","-0.030"
"11.011","-0.035"
"11.058","-0.036"
"11.105","-0.039"
"11.153","-0.035"
"11.200","-0.032"
"11.247","-0.030"
"11.294","-0.032"
"11.342","-0.036"
"11.389","-0.038"
"11.436","-0.039"
"11.483","-0.038"
"11.531","-0.033"
"11.578","-0.029"
"11.625","-0.025"
"11.672","-0.023"
"11.720","-0.022"
"11.767","-0.019"
"11.814","-0.021"
"11.861","-0.023"
"11.909","-0.025"
"11.956","-0.025"
"12.003","-0.026"
"12.050","-0.027"
"12.098","-0.027"
"12.145","-0.026"
"12.192","-0.024"
"12.239","-0.024"
"12.287","-0.026"
"12.334","-0.027"
"12.381","-0.027"
"12.428","-0.026"
"12.476","-0.023"
"12.523","-0.021"
"12.570","-0.022"
"12.617","-0.024"
"12.665","-0.026"
"12.712","-0.025"
"12.759","-0.024"
"12.806","-0.023"
"12.854","-0.023"
"12.901","-0.023"
"12.948","-0.023"
"12.996","-0.025"
"13.043","-0.025"
"13.090","-0.026"
"13.137","-0.026"
"13.185","-0.028"
"13.232","-0.030"
"13.279","-0.030"
"13.326","-0.029"
"13.374","-0.028"
"13.421","-0.027"
"13.468","-0.026"
"13.515","-0.025"
"13.563","-0.027"
"13.610","-0.030"
"13.657","-0.033"
"13.704","-0.034"
"13.752","-0.031"
"13.799","-0.027"
"13.846","-0.026"
"13.893","-0.029"
"13.941","-0.032"
"13.988","-0.032"
"14.035","-0.031"
"14.082","-0.031"
"14.130","-0.030"
"14.177","-0.029"
"14.224","-0.029"
"14.271","-0.030"
"14.319","-0.030"
"14.366","-0.031"
"14.413","-0.032"
"14.460","-0.033"
"14.508","-0.033"
"14.555","-0.033"
"14.602","-0.033"
"14.649","-0.034"
"14.697","-0.035"
"14.744","-0.035"
"14.791","-0.035"
"14.839","-0.035"
"14.886","-0.035"
"14.933","-0.035"
"14.980","-0.036"
"15.028","-0.039"
"15.075","-0.040"
"15.122","-0.037"
"15.169","-0.033"
"15.217","-0.034"
"15.264","-0.039"
"15.311","-0.041"
"15.358","-0.039"
"15.406","-0.037"
"15.453","-0.035"
"15.500","-0.035"
"15.547","-0.035"
"15.595","-0.037"
"15.642","-0.038"
"15.689","-0.037"
"15.736","-0.037"
"15.784","-0.037"
"15.831","-0.039"
"15.878","-0.040"
"15.925","-0.039"
"15.973","-0.035"
"16.020","-0.032"
"16.067","-0.029"
"16.114","-0.028"
"16.162","-0.027"
"16.209","-0.028"
"16.256","-0.029"
"16.303","-0.031"
"16.351","-0.034"
"16.398","-0.037"
"16.445","-0.039"
"16.492","-0.039"
"16.540","-0.036"
"16.587","-0.034"
"16.634","-0.032"
"16.682","-0.032"
"16.729","-0.032"
"16.776","-0.030"
"16.823","-0.024"
"16.871","-0.026"
"16.918","0.126"
"16.965","0.195"
"17.012","0.195"
"17.060","0.208"
"17.107","0.290"
"17.154","0.371"
"17.201","0.446"
"17.249","0.509"
"17.296","0.573"
"17.343","0.646"
"17.390","0.728"
"17.438","0.820"
"17.485","0.907"
"17.532","0.982"
"17.579","1.041"
"17.627","1.100"
"17.674","1.165"
"17.721","1.229"
"17.768","1.287"
