"X(mm)","Z(mm)"
"0.000","0.030"
"0.047","0.031"
"0.095","0.033"
"0.142","0.037"
"0.189","0.039"
"0.236","0.040"
"0.284","0.038"
"0.331","0.035"
"0.378","0.033"
"0.425","0.036"
"0.473","0.040"
"0.520","0.043"
"0.567","0.044"
"0.614","0.045"
"0.662","0.044"
"0.709","0.040"
"0.756","0.033"
"0.803","0.028"
"0.851","0.031"
"0.898","0.036"
"0.945","0.034"
"0.992","0.027"
"1.040","0.020"
"1.087","0.019"
"1.134","0.022"
"1.181","0.029"
"1.229","0.039"
"1.276","0.044"
"1.323","0.040"
"1.371","0.033"
"1.418","0.031"
"1.465","0.032"
"1.512","0.031"
"1.560","0.030"
"1.607","0.032"
"1.654","0.035"
"1.701","0.038"
"1.749","0.041"
"1.796","0.042"
"1.843","0.036"
"1.890","0.021"
"1.938","0.010"
"1.985","0.013"
"2.032","0.028"
"2.079","0.047"
"2.127","0.056"
"2.174","0.052"
"2.221","0.041"
"2.268","0.035"
"2.316","0.036"
"2.363","0.037"
"2.410","0.033"
"2.457","0.028"
"2.505","0.024"
"2.552","0.022"
"2.599","0.026"
"2.646","0.033"
"2.694","0.037"
"2.741","0.035"
"2.788","0.033"
"2.836","0.035"
"2.883","0.039"
"2.930","0.040"
"2.977","0.036"
"3.025","0.032"
"3.072","0.031"
"3.119","0.034"
"3.166","0.037"
"3.214","0.039"
"3.261","0.039"
"3.308","0.037"
"3.355","0.035"
"3.403","0.034"
"3.450","0.034"
"3.497","0.033"
"3.544","0.031"
"3.592","0.029"
"3.639","0.030"
"3.686","0.034"
"3.733","0.036"
"3.781","0.034"
"3.828","0.030"
"3.875","0.027"
"3.922","0.024"
"3.970","0.020"
"4.017","0.014"
"4.064","0.003"
"4.112","-0.008"
"4.159","-0.005"
"4.206","0.017"
"4.253","0.035"
"4.301","0.032"
"4.348","0.016"
"4.395","0.007"
"4.442","0.011"
"4.490","0.018"
"4.537","0.019"
"4.584","0.019"
"4.631","0.021"
"4.679","0.024"
"4.726","0.025"
"4.773","0.022"
"4.820","0.020"
"4.868","0.019"
"4.915","0.021"
"4.962","0.025"
"5.009","0.028"
"5.057","0.029"
"5.104","0.030"
"5.151","0.031"
"5.198","0.030"
"5.246","0.023"
"5.293","0.013"
"5.340","0.009"
"5.387","0.013"
"5.435","0.022"
"5.482","0.029"
"5.529","0.028"
"5.577","0.022"
"5.624","0.017"
"5.671","0.016"
"5.718","0.018"
"5.766","0.021"
"5.813","0.024"
"5.860","0.027"
"5.907","0.028"
"5.955","0.027"
"6.002","0.023"
"6.049","0.020"
"6.096","0.021"
"6.144","0.024"
"6.191","0.025"
"6.238","0.024"
"6.285","0.024"
"6.333","0.027"
"6.380","0.029"
"6.427","0.023"
