"X(mm)","Z(mm)"
"0.000","0.050"
"0.047","0.050"
"0.095","0.048"
"0.142","0.045"
"0.189","0.043"
"0.236","0.043"
"0.284","0.044"
"0.331","0.045"
"0.378","0.046"
"0.425","0.046"
"0.473","0.045"
"0.520","0.043"
"0.567","0.040"
"0.614","0.042"
"0.662","0.046"
"0.709","0.048"
"0.756","0.045"
"0.803","0.039"
"0.851","0.037"
"0.898","0.045"
"0.945","0.058"
"0.992","0.064"
"1.040","0.060"
"1.087","0.051"
"1.134","0.043"
"1.181","0.035"
"1.229","0.029"
"1.276","0.032"
"1.323","0.039"
"1.370","0.045"
"1.418","0.046"
"1.465","0.045"
"1.512","0.045"
"1.560","0.046"
"1.607","0.045"
"1.654","0.042"
"1.701","0.042"
"1.749","0.044"
"1.796","0.045"
"1.843","0.043"
"1.890","0.041"
"1.938","0.043"
"1.985","0.044"
"2.032","0.044"
"2.079","0.041"
"2.127","0.037"
"2.174","0.025"
"2.221","0.015"
"2.268","0.021"
"2.316","0.041"
"2.363","0.054"
"2.410","0.050"
"2.457","0.040"
"2.505","0.039"
"2.552","0.042"
"2.599","0.037"
"2.646","0.027"
"2.694","0.022"
"2.741","0.025"
"2.788","0.032"
"2.835","0.040"
"2.883","0.048"
"2.930","0.052"
"2.977","0.053"
"3.024","0.051"
"3.072","0.047"
"3.119","0.038"
"3.166","0.028"
"3.214","0.025"
"3.261","0.033"
"3.308","0.046"
"3.355","0.050"
"3.403","0.038"
"3.450","0.021"
"3.497","0.015"
"3.544","0.021"
"3.592","0.034"
"3.639","0.046"
"3.686","0.051"
"3.733","0.045"
"3.781","0.033"
"3.828","0.027"
"3.875","0.029"
"3.922","0.036"
"3.970","0.038"
"4.017","0.038"
"4.064","0.039"
"4.111","0.042"
"4.159","0.042"
"4.206","0.042"
"4.253","0.044"
"4.300","0.049"
"4.348","0.047"
"4.395","0.039"
"4.442","0.036"
"4.489","0.044"
"4.537","0.053"
"4.584","0.053"
"4.631","0.044"
"4.679","0.036"
"4.726","0.034"
"4.773","0.034"
"4.820","0.035"
"4.868","0.034"
"4.915","0.033"
"4.962","0.034"
"5.009","0.034"
"5.057","0.034"
"5.104","0.032"
"5.151","0.032"
"5.198","0.035"
"5.246","0.042"
"5.293","0.046"
"5.340","0.044"
"5.387","0.034"
"5.435","0.023"
"5.482","0.019"
"5.529","0.020"
"5.576","0.018"
"5.624","0.019"
"5.671","0.028"
"5.718","0.038"
"5.765","0.043"
"5.813","0.042"
"5.860","0.040"
"5.907","0.039"
"5.954","0.038"
"6.002","0.039"
"6.049","0.038"
"6.096","0.035"
"6.144","0.034"
"6.191","0.034"
"6.238","0.033"
"6.285","0.032"
"6.333","0.034"
"6.380","0.036"
"6.427","0.034"
"6.474","0.029"
"6.522","0.027"
"6.569","0.029"
"6.616","0.031"
"6.663","0.027"
"6.711","0.018"
"6.758","0.012"
"6.805","0.015"
"6.852","0.025"
"6.900","0.033"
"6.947","0.037"
"6.994","0.036"
"7.041","0.032"
"7.089","0.027"
"7.136","0.028"
"7.183","0.031"
