"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.036"
"0.189","0.039"
"0.236","0.043"
"0.284","0.046"
"0.331","0.046"
"0.378","0.046"
"0.425","0.045"
"0.473","0.043"
"0.520","0.043"
"0.567","0.048"
"0.614","0.057"
"0.662","0.064"
"0.709","0.059"
"0.756","0.044"
"0.803","0.032"
"0.851","0.033"
"0.898","0.040"
"0.945","0.046"
"0.992","0.049"
"1.040","0.052"
"1.087","0.054"
"1.134","0.055"
"1.181","0.056"
"1.229","0.056"
"1.276","0.052"
"1.323","0.048"
"1.371","0.046"
"1.418","0.048"
"1.465","0.051"
"1.512","0.051"
"1.560","0.050"
"1.607","0.049"
"1.654","0.048"
"1.701","0.047"
"1.749","0.048"
"1.796","0.051"
"1.843","0.051"
"1.890","0.048"
"1.938","0.045"
"1.985","0.043"
"2.032","0.041"
"2.079","0.041"
"2.127","0.045"
"2.174","0.048"
"2.221","0.048"
"2.268","0.051"
"2.316","0.058"
"2.363","0.058"
"2.410","0.044"
"2.457","0.028"
"2.505","0.025"
"2.552","0.035"
"2.599","0.046"
"2.647","0.053"
"2.694","0.055"
"2.741","0.053"
"2.788","0.050"
"2.836","0.050"
"2.883","0.052"
"2.930","0.050"
"2.977","0.047"
"3.025","0.042"
"3.072","0.035"
"3.119","0.027"
"3.166","0.028"
"3.214","0.039"
"3.261","0.052"
"3.308","0.057"
"3.355","0.054"
"3.403","0.050"
"3.450","0.047"
"3.497","0.045"
"3.544","0.044"
"3.592","0.046"
"3.639","0.050"
"3.686","0.056"
"3.733","0.057"
"3.781","0.053"
"3.828","0.050"
"3.875","0.050"
"3.922","0.053"
"3.970","0.054"
"4.017","0.053"
"4.064","0.051"
"4.112","0.050"
"4.159","0.050"
"4.206","0.048"
"4.253","0.046"
"4.301","0.047"
"4.348","0.050"
"4.395","0.055"
"4.442","0.058"
"4.490","0.060"
"4.537","0.061"
"4.584","0.061"
"4.631","0.059"
"4.679","0.057"
"4.726","0.056"
"4.773","0.058"
"4.820","0.059"
"4.868","0.058"
"4.915","0.056"
"4.962","0.054"
"5.009","0.053"
"5.057","0.052"
"5.104","0.055"
"5.151","0.061"
"5.198","0.067"
"5.246","0.067"
"5.293","0.060"
"5.340","0.054"
"5.388","0.053"
"5.435","0.054"
"5.482","0.057"
"5.529","0.059"
"5.577","0.059"
"5.624","0.059"
"5.671","0.060"
"5.718","0.060"
"5.766","0.059"
"5.813","0.057"
"5.860","0.058"
"5.907","0.058"
"5.955","0.057"
"6.002","0.057"
"6.049","0.058"
"6.096","0.058"
"6.144","0.059"
"6.191","0.060"
"6.238","0.060"
"6.285","0.059"
"6.333","0.058"
"6.380","0.058"
"6.427","0.059"
"6.474","0.056"
"6.522","0.052"
"6.569","0.051"
"6.616","0.054"
"6.664","0.061"
"6.711","0.065"
"6.758","0.064"
"6.805","0.058"
"6.853","0.054"
"6.900","0.051"
"6.947","0.048"
"6.994","0.046"
"7.042","0.051"
"7.089","0.057"
"7.136","0.054"
"7.183","0.044"
"7.231","0.041"
"7.278","0.048"
"7.325","0.055"
"7.372","0.059"
"7.420","0.057"
"7.467","0.052"
"7.514","0.048"
"7.561","0.047"
"7.609","0.051"
"7.656","0.055"
"7.703","0.056"
"7.750","0.053"
"7.798","0.048"
"7.845","0.048"
"7.892","0.056"
"7.940","0.065"
"7.987","0.068"
"8.034","0.063"
"8.081","0.055"
"8.129","0.051"
"8.176","0.052"
"8.223","0.055"
"8.270","0.054"
"8.318","0.052"
"8.365","0.050"
"8.412","0.051"
"8.459","0.053"
"8.507","0.057"
"8.554","0.061"
"8.601","0.062"
"8.648","0.060"
"8.696","0.058"
"8.743","0.058"
"8.790","0.058"
"8.837","0.059"
"8.885","0.061"
"8.932","0.063"
"8.979","0.066"
"9.026","0.067"
"9.074","0.069"
"9.121","0.069"
"9.168","0.069"
"9.216","0.072"
"9.263","0.074"
"9.310","0.075"
"9.357","0.072"
"9.405","0.068"
"9.452","0.066"
"9.499","0.068"
"9.546","0.070"
"9.594","0.071"
"9.641","0.068"
"9.688","0.066"
"9.735","0.071"
"9.783","0.079"
"9.830","0.082"
"9.877","0.080"
"9.924","0.075"
"9.972","0.073"
"10.019","0.073"
"10.066","0.073"
"10.113","0.075"
"10.161","0.075"
"10.208","0.073"
"10.255","0.070"
"10.302","0.067"
"10.350","0.066"
"10.397","0.067"
"10.444","0.069"
"10.492","0.069"
"10.539","0.064"
"10.586","0.060"
"10.633","0.061"
"10.681","0.066"
"10.728","0.065"
"10.775","0.059"
"10.822","0.055"
"10.870","0.056"
"10.917","0.058"
"10.964","0.058"
"11.011","0.058"
"11.059","0.057"
"11.106","0.054"
"11.153","0.052"
"11.200","0.054"
"11.248","0.057"
"11.295","0.060"
"11.342","0.062"
"11.389","0.063"
"11.437","0.064"
"11.484","0.066"
"11.531","0.068"
"11.578","0.070"
"11.626","0.070"
"11.673","0.069"
"11.720","0.070"
"11.767","0.072"
"11.815","0.106"
"11.862","0.185"
"11.909","0.304"
"11.957","0.450"
"12.004","0.588"
"12.051","0.767"
"12.098","0.962"
"12.146","1.125"
"12.193","1.292"
"12.240","1.443"
"12.287","1.535"
"12.335","1.577"
"12.382","1.618"
"12.429","1.676"
"12.476","1.741"
"12.524","1.806"
"12.571","1.870"
"12.618","1.935"
"12.665","1.998"
"12.713","2.059"
"12.760","2.118"
"12.807","2.175"
"12.854","2.228"
"12.902","2.281"
"12.949","2.332"
"12.996","2.383"
"13.043","2.429"
"13.091","2.472"
"13.138","2.515"
"13.185","2.555"
"13.233","2.594"
"13.280","2.632"
"13.327","2.671"
"13.374","2.710"
"13.422","2.749"
"13.469","2.787"
"13.516","2.823"
"13.563","2.857"
"13.611","2.892"
"13.658","2.929"
"13.705","2.969"
"13.752","3.005"
"13.800","3.038"
"13.847","3.069"
"13.894","3.101"
"13.941","3.132"
"13.989","3.160"
"14.036","3.189"
"14.083","3.221"
"14.130","3.256"
"14.178","3.287"
"14.225","3.312"
"14.272","3.338"
"14.319","3.366"
"14.367","3.393"
"14.414","3.417"
"14.461","3.440"
"14.509","3.465"
"14.556","3.490"
"14.603","3.514"
"14.650","3.538"
"14.698","3.560"
"14.745","3.584"
"14.792","3.609"
"14.839","3.635"
"14.887","3.660"
"14.934","3.684"
"14.981","3.708"
"15.028","3.730"
"15.076","3.749"
"15.123","3.766"
"15.170","3.784"
"15.217","3.804"
"15.265","3.826"
"15.312","3.847"
"15.359","3.866"
"15.406","3.884"
"15.454","3.902"
"15.501","3.922"
"15.548","3.943"
"15.595","3.960"
"15.643","3.977"
"15.690","3.995"
"15.737","4.014"
"15.785","4.031"
"15.832","4.045"
"15.879","4.059"
"15.926","4.073"
"15.974","4.088"
"16.021","4.107"
"16.068","4.127"
"16.115","4.146"
"16.163","4.161"
"16.210","4.175"
"16.257","4.190"
"16.304","4.208"
"16.352","4.227"
"16.399","4.246"
"16.446","4.262"
"16.493","4.275"
"16.541","4.286"
"16.588","4.300"
"16.635","4.314"
"16.682","4.329"
"16.730","4.342"
"16.777","4.355"
"16.824","4.368"
"16.871","4.379"
"16.919","4.389"
"16.966","4.398"
"17.013","4.407"
"17.061","4.413"
"17.108","4.418"
"17.155","4.425"
"17.202","4.435"
"17.250","4.447"
"17.297","4.458"
"17.344","4.468"
"17.391","4.477"
"17.439","4.488"
"17.486","4.502"
"17.533","4.515"
"17.580","4.527"
"17.628","4.537"
"17.675","4.546"
"17.722","4.555"
"17.769","4.563"
"17.817","4.571"
"17.864","4.578"
"17.911","4.585"
"17.958","4.591"
"18.006","4.598"
"18.053","4.607"
"18.100","4.619"
"18.147","4.632"
"18.195","4.643"
"18.242","4.654"
"18.289","4.665"
"18.337","4.677"
"18.384","4.690"
"18.431","4.701"
"18.478","4.710"
"18.526","4.719"
"18.573","4.727"
"18.620","4.736"
"18.667","4.743"
"18.715","4.751"
"18.762","4.759"
"18.809","4.767"
"18.856","4.773"
"18.904","4.779"
"18.951","4.785"
"18.998","4.791"
"19.045","4.798"
"19.093","4.804"
"19.140","4.809"
"19.187","4.813"
"19.234","4.815"
"19.282","4.817"
"19.329","4.819"
"19.376","4.821"
"19.423","4.823"
"19.471","4.825"
