"X(mm)","Z(mm)"
"0.000","0.021"
"0.047","0.019"
"0.095","0.016"
"0.142","0.012"
"0.189","0.009"
"0.236","0.011"
"0.284","0.016"
"0.331","0.020"
"0.378","0.018"
"0.425","0.015"
"0.473","0.016"
"0.520","0.022"
"0.567","0.026"
"0.614","0.026"
"0.662","0.024"
"0.709","0.024"
"0.756","0.025"
"0.804","0.022"
"0.851","0.016"
"0.898","0.013"
"0.945","0.012"
"0.993","0.011"
"1.040","0.008"
"1.087","0.008"
"1.134","0.016"
"1.182","0.028"
"1.229","0.035"
"1.276","0.032"
"1.323","0.025"
"1.371","0.016"
"1.418","0.010"
"1.465","0.012"
"1.513","0.020"
"1.560","0.023"
"1.607","0.018"
"1.654","0.009"
"1.702","0.006"
"1.749","0.010"
"1.796","0.015"
"1.843","0.016"
"1.891","0.014"
"1.938","0.015"
"1.985","0.023"
"2.032","0.030"
"2.080","0.029"
"2.127","0.022"
"2.174","0.018"
"2.222","0.019"
"2.269","0.020"
"2.316","0.019"
"2.363","0.019"
"2.411","0.020"
"2.458","0.021"
"2.505","0.018"
"2.552","0.006"
"2.600","-0.008"
"2.647","-0.008"
"2.694","0.009"
"2.741","0.027"
"2.789","0.029"
"2.836","0.020"
"2.883","0.009"
"2.930","0.007"
"2.978","0.012"
"3.025","0.016"
"3.072","0.012"
"3.120","0.006"
"3.167","0.007"
"3.214","0.011"
"3.261","0.011"
"3.309","0.006"
"3.356","0.007"
"3.403","0.014"
"3.450","0.021"
"3.498","0.027"
"3.545","0.032"
"3.592","0.032"
"3.639","0.030"
"3.687","0.029"
"3.734","0.029"
"3.781","0.028"
"3.829","0.025"
"3.876","0.023"
"3.923","0.024"
"3.970","0.025"
"4.018","0.025"
"4.065","0.027"
"4.112","0.031"
"4.159","0.032"
"4.207","0.028"
"4.254","0.020"
"4.301","0.017"
"4.348","0.021"
"4.396","0.023"
"4.443","0.018"
"4.490","0.013"
"4.538","0.015"
"4.585","0.020"
"4.632","0.027"
"4.679","0.033"
"4.727","0.033"
"4.774","0.024"
"4.821","0.013"
"4.868","0.012"
"4.916","0.019"
"4.963","0.025"
"5.010","0.028"
"5.057","0.030"
"5.105","0.033"
"5.152","0.031"
"5.199","0.022"
"5.247","0.017"
"5.294","0.022"
"5.341","0.034"
"5.388","0.042"
"5.436","0.033"
"5.483","0.012"
"5.530","0.000"
"5.577","0.005"
"5.625","0.022"
"5.672","0.033"
"5.719","0.032"
"5.766","0.026"
"5.814","0.027"
"5.861","0.034"
"5.908","0.038"
"5.956","0.031"
"6.003","0.022"
"6.050","0.018"
"6.097","0.021"
"6.145","0.026"
"6.192","0.029"
"6.239","0.030"
"6.286","0.031"
"6.334","0.030"
"6.381","0.028"
"6.428","0.025"
"6.475","0.024"
"6.523","0.027"
"6.570","0.030"
"6.617","0.035"
"6.665","0.038"
"6.712","0.038"
"6.759","0.035"
"6.806","0.032"
"6.854","0.029"
"6.901","0.027"
"6.948","0.025"
"6.995","0.028"
"7.043","0.035"
"7.090","0.039"
"7.137","0.036"
"7.184","0.031"
"7.232","0.029"
"7.279","0.027"
"7.326","0.024"
"7.373","0.020"
"7.421","0.018"
"7.468","0.020"
"7.515","0.024"
"7.563","0.027"
"7.610","0.027"
"7.657","0.027"
"7.704","0.029"
"7.752","0.031"
"7.799","0.030"
"7.846","0.029"
"7.893","0.029"
"7.941","0.033"
"7.988","0.035"
"8.035","0.035"
"8.082","0.035"
"8.130","0.038"
"8.177","0.041"
"8.224","0.039"
"8.272","0.035"
"8.319","0.034"
"8.366","0.034"
"8.413","0.033"
"8.461","0.030"
"8.508","0.030"
"8.555","0.034"
"8.602","0.036"
"8.650","0.034"
"8.697","0.029"
"8.744","0.026"
"8.791","0.027"
"8.839","0.028"
"8.886","0.029"
"8.933","0.030"
"8.981","0.031"
"9.028","0.031"
"9.075","0.032"
"9.122","0.031"
"9.170","0.029"
"9.217","0.028"
"9.264","0.029"
"9.311","0.030"
"9.359","0.029"
"9.406","0.026"
"9.453","0.026"
"9.500","0.031"
"9.548","0.036"
"9.595","0.037"
"9.642","0.035"
