"X(mm)","Z(mm)"
"0.000",""
"0.047","0.015"
"0.095","0.013"
"0.142","0.012"
"0.189","0.012"
"0.236","0.016"
"0.284","0.021"
"0.331","0.023"
"0.378","0.021"
"0.425","0.017"
"0.473","0.017"
"0.520","0.019"
"0.567","0.021"
"0.614","0.020"
"0.662","0.019"
"0.709","0.019"
"0.756","0.021"
"0.803","0.023"
"0.851","0.023"
"0.898","0.022"
"0.945","0.021"
"0.992","0.019"
"1.040","0.019"
"1.087","0.019"
"1.134","0.019"
"1.181","0.018"
"1.229","0.018"
"1.276","0.018"
"1.323","0.017"
"1.370","0.017"
"1.418","0.019"
"1.465","0.019"
"1.512","0.017"
"1.559","0.016"
"1.607","0.021"
"1.654","0.026"
"1.701","0.027"
"1.748","0.025"
"1.796","0.023"
"1.843","0.023"
"1.890","0.022"
"1.938","0.022"
"1.985","0.022"
"2.032","0.024"
"2.079","0.026"
"2.127","0.027"
"2.174","0.025"
"2.221","0.020"
"2.268","0.016"
"2.316","0.017"
"2.363","0.020"
"2.410","0.022"
"2.457","0.021"
"2.505","0.018"
"2.552","0.018"
"2.599","0.020"
"2.646","0.022"
"2.694","0.022"
"2.741","0.022"
"2.788","0.023"
"2.835","0.023"
"2.883","0.022"
"2.930","0.022"
"2.977","0.025"
"3.024","0.028"
"3.072","0.030"
"3.119","0.030"
"3.166","0.027"
"3.213","0.025"
"3.261","0.024"
"3.308","0.022"
"3.355","0.018"
"3.402","0.015"
"3.450","0.015"
"3.497","0.013"
"3.544","0.006"
"3.591","0.003"
"3.639","0.009"
"3.686","0.018"
"3.733","0.022"
"3.781","0.022"
"3.828","0.020"
"3.875","0.022"
"3.922","0.026"
"3.970","0.025"
"4.017","0.018"
"4.064","0.011"
"4.111","0.012"
"4.159","0.020"
"4.206","0.024"
"4.253","0.023"
"4.300","0.022"
"4.348","0.026"
"4.395","0.030"
"4.442","0.027"
"4.489","0.019"
"4.537","0.015"
"4.584","0.017"
"4.631","0.023"
