"X(mm)","Z(mm)"
"0.000",""
"0.047","-0.022"
"0.095","-0.024"
"0.142","-0.027"
"0.189","-0.028"
"0.236","-0.026"
"0.284","-0.022"
"0.331","-0.019"
"0.378","-0.017"
"0.425","-0.015"
"0.473","-0.011"
"0.520","-0.008"
"0.567","-0.013"
"0.614","-0.024"
"0.662","-0.029"
"0.709","-0.025"
"0.756","-0.017"
"0.803","-0.011"
"0.851","-0.007"
"0.898","-0.005"
"0.945","-0.004"
"0.992","-0.008"
"1.040","-0.012"
"1.087","-0.013"
"1.134","-0.011"
"1.181","-0.007"
"1.229","-0.005"
"1.276","-0.008"
"1.323","-0.011"
"1.370","-0.013"
"1.418","-0.013"
"1.465","-0.010"
"1.512","-0.008"
"1.559","-0.006"
"1.607","-0.008"
"1.654","-0.011"
"1.701","-0.012"
"1.748","-0.011"
"1.796","-0.010"
"1.843","-0.010"
"1.890","-0.011"
"1.938","-0.011"
"1.985","-0.010"
"2.032","-0.010"
"2.079","-0.009"
"2.127","-0.010"
"2.174","-0.009"
"2.221","-0.007"
"2.268","-0.008"
"2.316","-0.010"
"2.363","-0.012"
"2.410","-0.013"
"2.457","-0.013"
"2.505","-0.012"
"2.552","-0.010"
"2.599","-0.009"
"2.646","-0.010"
"2.694","-0.009"
"2.741","-0.006"
"2.788","-0.003"
"2.835","-0.005"
"2.883","-0.009"
"2.930","-0.011"
"2.977","-0.012"
"3.024","-0.010"
"3.072","-0.008"
"3.119","-0.008"
"3.166","-0.009"
"3.213","-0.007"
"3.261","-0.005"
"3.308","-0.005"
"3.355","-0.006"
"3.402","-0.004"
"3.450","-0.001"
"3.497","-0.002"
"3.544","-0.006"
"3.591","-0.012"
"3.639","-0.018"
"3.686","-0.021"
"3.733","-0.015"
"3.781","-0.004"
"3.828","0.002"
"3.875","-0.005"
"3.922","-0.014"
"3.970","-0.016"
"4.017","-0.011"
"4.064","-0.007"
"4.111","-0.006"
"4.159","-0.007"
"4.206","-0.005"
"4.253","-0.003"
"4.300","-0.001"
"4.348","0.000"
"4.395","-0.001"
"4.442","-0.004"
"4.489","-0.004"
"4.537","-0.002"
"4.584","0.000"
"4.631","-0.001"
"4.678","-0.003"
"4.726","-0.003"
"4.773","-0.001"
"4.820","0.000"
"4.867","0.000"
"4.915","-0.001"
"4.962","-0.003"
"5.009","-0.003"
"5.056","-0.003"
"5.104","-0.002"
"5.151","-0.002"
"5.198","-0.004"
"5.245","-0.005"
"5.293","-0.005"
"5.340","-0.004"
"5.387","-0.003"
"5.434","-0.003"
"5.482","-0.001"
"5.529","0.001"
"5.576","0.001"
"5.624","-0.001"
"5.671","0.000"
"5.718","0.002"
"5.765","0.004"
"5.813","0.001"
"5.860","-0.003"
"5.907","-0.005"
"5.954","-0.005"
"6.002","-0.003"
"6.049","-0.002"
"6.096","0.000"
"6.143","0.002"
"6.191","0.003"
"6.238","0.002"
"6.285","0.001"
"6.332","0.001"
"6.380","0.001"
"6.427","-0.001"
"6.474","-0.002"
"6.521","-0.002"
"6.569","0.000"
"6.616","0.002"
"6.663","0.001"
"6.710","-0.002"
"6.758","-0.004"
"6.805","-0.005"
"6.852","-0.005"
"6.899","-0.005"
"6.947","-0.004"
"6.994","-0.002"
"7.041","-0.001"
"7.088","-0.002"
"7.136","-0.004"
"7.183","-0.005"
"7.230","-0.005"
"7.277","-0.005"
"7.325","-0.006"
"7.372","-0.007"
"7.419","-0.007"
"7.467","-0.006"
"7.514","-0.006"
"7.561","-0.004"
"7.608","-0.001"
"7.656","0.002"
"7.703","0.000"
"7.750","-0.006"
"7.797","-0.009"
"7.845","-0.006"
"7.892","-0.002"
"7.939","0.002"
"7.986","0.004"
"8.034","0.004"
"8.081","0.003"
"8.128","0.003"
"8.175","0.003"
"8.223","0.000"
"8.270","-0.002"
"8.317","-0.001"
"8.364","0.000"
"8.412","0.001"
"8.459","0.001"
"8.506","0.000"
"8.553","0.000"
"8.601","-0.002"
"8.648","-0.003"
"8.695","-0.003"
"8.742","-0.003"
"8.790","-0.003"
"8.837","-0.003"
"8.884","-0.002"
"8.931","-0.001"
"8.979","0.001"
"9.026","0.001"
"9.073","-0.001"
"9.120","-0.003"
"9.168","-0.004"
"9.215","-0.002"
"9.262","0.000"
"9.310","0.000"
"9.357","-0.002"
"9.404","-0.004"
"9.451","-0.004"
"9.499","-0.002"
"9.546","-0.003"
"9.593","-0.005"
"9.640","-0.008"
"9.688","-0.008"
"9.735","-0.007"
"9.782","-0.006"
"9.829","-0.003"
"9.877","0.000"
"9.924","0.001"
"9.971","0.002"
"10.018","0.003"
"10.066","0.004"
"10.113","0.004"
"10.160","0.004"
"10.207","0.004"
"10.255","0.002"
"10.302","0.000"
"10.349","-0.002"
"10.396","-0.001"
"10.444","0.003"
"10.491","0.006"
"10.538","0.006"
"10.585","0.003"
"10.633","0.000"
"10.680","-0.001"
"10.727","0.001"
"10.774","0.004"
"10.822","0.006"
"10.869","0.006"
"10.916","0.006"
"10.963","0.008"
"11.011","0.015"
"11.058","0.028"
"11.105","0.059"
"11.153","0.117"
"11.200","0.193"
"11.247","0.263"
"11.294","0.327"
"11.342","0.408"
"11.389","0.508"
"11.436","0.596"
"11.483","0.669"
"11.531","0.776"
"11.578","0.916"
"11.625","1.006"
"11.672","1.043"
"11.720","1.091"
"11.767","1.160"
"11.814","1.232"
"11.861","1.293"
"11.909","1.353"
"11.956","1.413"
"12.003","1.465"
"12.050","1.510"
"12.098","1.551"
"12.145","1.597"
"12.192","1.644"
"12.239","1.685"
"12.287","1.724"
"12.334","1.767"
"12.381","1.814"
"12.428","1.854"
"12.476","1.883"
"12.523","1.906"
"12.570","1.935"
"12.617","1.971"
"12.665","2.009"
"12.712","2.042"
"12.759","2.069"
"12.806","2.100"
"12.854","2.136"
"12.901","2.174"
"12.948","2.210"
"12.996","2.242"
"13.043","2.272"
"13.090","2.301"
"13.137","2.332"
"13.185","2.363"
"13.232","2.391"
"13.279","2.413"
"13.326","2.432"
"13.374","2.449"
"13.421","2.465"
"13.468","2.485"
"13.515","2.509"
"13.563","2.537"
"13.610","2.566"
"13.657","2.595"
"13.704","2.620"
"13.752","2.641"
"13.799","2.668"
"13.846","2.702"
"13.893","2.734"
"13.941","2.757"
"13.988","2.773"
"14.035","2.791"
"14.082","2.808"
"14.130","2.827"
"14.177","2.846"
"14.224","2.864"
"14.271","2.880"
"14.319","2.898"
"14.366","2.918"
"14.413","2.937"
"14.460","2.952"
"14.508","2.965"
"14.555","2.979"
"14.602","2.996"
"14.649","3.017"
"14.697","3.038"
"14.744","3.055"
"14.791","3.070"
"14.839","3.084"
"14.886","3.097"
"14.933","3.110"
"14.980","3.120"
"15.028","3.130"
"15.075","3.140"
"15.122","3.151"
"15.169","3.164"
"15.217","3.178"
"15.264","3.191"
"15.311","3.204"
"15.358","3.215"
"15.406","3.224"
"15.453","3.234"
"15.500","3.245"
"15.547","3.257"
"15.595","3.269"
"15.642","3.281"
"15.689","3.292"
"15.736","3.305"
"15.784","3.319"
"15.831","3.331"
"15.878","3.340"
"15.925","3.349"
"15.973","3.355"
"16.020","3.359"
"16.067","3.363"
"16.114","3.368"
"16.162","3.374"
"16.209","3.379"
"16.256","3.385"
"16.303","3.390"
"16.351","3.394"
"16.398","3.397"
"16.445","3.402"
"16.492","3.408"
"16.540","3.416"
"16.587","3.422"
"16.634","3.426"
"16.682","3.428"
"16.729","3.431"
"16.776","3.434"
"16.823","3.437"
"16.871","3.440"
"16.918","3.444"
"16.965","3.446"
"17.012","3.449"
"17.060","3.453"
"17.107","3.460"
"17.154","3.466"
"17.201","3.472"
"17.249","3.475"
"17.296","3.476"
"17.343","3.478"
"17.390","3.481"
"17.438","3.485"
"17.485","3.487"
"17.532","3.486"
"17.579","3.484"
"17.627","3.486"
"17.674","3.491"
"17.721","3.495"
"17.768","3.497"
"17.816","3.498"
"17.863","3.498"
"17.910","3.499"
"17.957","3.501"
"18.005","3.503"
"18.052","3.505"
"18.099","3.506"
"18.146","3.509"
"18.194","3.514"
"18.241","3.517"
"18.288","3.516"
"18.335","3.516"
"18.383","3.518"
"18.430","3.519"
"18.477","3.519"
"18.525","3.518"
"18.572","3.521"
"18.619","3.524"
"18.666","3.524"
"18.714","3.520"
"18.761","3.518"
"18.808","3.520"
"18.855","3.522"
"18.903","3.521"
"18.950","3.519"
"18.997","3.516"
"19.044","3.516"
"19.092","3.516"
"19.139","3.513"
"19.186","3.510"
"19.233","3.510"
"19.281","3.511"
"19.328","3.510"
"19.375","3.509"
"19.422","3.507"
"19.470","3.505"
"19.517","3.504"
"19.564","3.505"
"19.611","3.506"
"19.659","3.506"
"19.706","3.501"
"19.753","3.495"
"19.800","3.492"
"19.848","3.492"
"19.895","3.488"
"19.942","3.480"
"19.989","3.476"
"20.037","3.476"
"20.084","3.474"
"20.131","3.469"
"20.178","3.464"
"20.226","3.460"
"20.273","3.455"
"20.320","3.452"
"20.368","3.451"
"20.415","3.448"
"20.462","3.443"
"20.509","3.437"
"20.557","3.433"
"20.604","3.428"
"20.651","3.423"
"20.698","3.420"
"20.746","3.419"
"20.793","3.415"
"20.840","3.407"
"20.887","3.400"
"20.935","3.399"
"20.982","3.402"
"21.029","3.403"
"21.076","3.396"
"21.124","3.388"
"21.171","3.383"
"21.218","3.381"
"21.265","3.379"
"21.313","3.372"
"21.360","3.364"
"21.407","3.357"
"21.454","3.354"
"21.502","3.349"
"21.549","3.341"
"21.596","3.336"
"21.643","3.333"
"21.691","3.332"
"21.738","3.328"
"21.785","3.323"
"21.832","3.323"
"21.880","3.320"
"21.927","3.315"
"21.974","3.311"
"22.021","3.308"
"22.069","3.306"
"22.116","3.302"
"22.163","3.296"
"22.211","3.290"
"22.258","3.283"
"22.305","3.276"
"22.352","3.271"
"22.400","3.268"
"22.447","3.269"
"22.494","3.267"
"22.541","3.261"
"22.589","3.252"
"22.636","3.244"
"22.683","3.239"
"22.730","3.234"
"22.778","3.231"
"22.825","3.229"
"22.872","3.227"
"22.919","3.221"
"22.967","3.213"
"23.014","3.206"
"23.061","3.204"
"23.108","3.202"
"23.156","3.196"
"23.203","3.188"
"23.250","3.182"
"23.297","3.180"
"23.345","3.178"
"23.392","3.172"
"23.439","3.164"
"23.486","3.155"
"23.534","3.147"
"23.581","3.142"
"23.628","3.138"
"23.675","3.133"
"23.723","3.125"
"23.770","3.117"
"23.817","3.111"
"23.864","3.108"
"23.912","3.102"
"23.959","3.094"
"24.006","3.087"
"24.054","3.082"
"24.101","3.078"
"24.148","3.071"
"24.195","3.065"
"24.243","3.061"
"24.290","3.058"
"24.337","3.054"
"24.384","3.051"
"24.432","3.048"
"24.479","3.046"
"24.526","3.045"
"24.573","3.043"
"24.621","3.038"
"24.668","3.030"
"24.715","3.021"
"24.762","3.014"
"24.810","3.010"
"24.857","3.009"
"24.904","3.007"
"24.951","3.005"
"24.999","3.003"
"25.046","3.001"
"25.093","2.998"
"25.140","2.991"
"25.188","2.983"
"25.235","2.974"
"25.282","2.965"
"25.329","2.957"
"25.377","2.947"
"25.424","2.939"
"25.471","2.933"
"25.518","2.930"
"25.566","2.925"
"25.613","2.920"
"25.660","2.916"
"25.707","2.913"
"25.755","2.910"
"25.802","2.908"
"25.849","2.908"
"25.897","2.906"
"25.944","2.901"
"25.991","2.894"
"26.038","2.889"
"26.086","2.885"
"26.133","2.882"
"26.180","2.879"
"26.227","2.875"
"26.275","2.871"
"26.322","2.868"
"26.369","2.865"
"26.416","2.861"
"26.464","2.856"
"26.511","2.853"
"26.558","2.850"
"26.605","2.847"
"26.653","2.844"
"26.700","2.844"
"26.747","2.845"
"26.794","2.847"
"26.842","2.847"
"26.889","2.846"
"26.936","2.845"
"26.983","2.845"
"27.031","2.844"
"27.078","2.843"
"27.125","2.841"
"27.172","2.840"
"27.220","2.840"
"27.267","2.840"
"27.314","2.839"
"27.361","2.838"
"27.409","2.836"
"27.456","2.833"
"27.503","2.831"
"27.550","2.832"
"27.598","2.833"
"27.645","2.832"
"27.692","2.831"
"27.740","2.828"
"27.787","2.827"
"27.834","2.826"
"27.881","2.826"
"27.929","2.824"
"27.976","2.821"
"28.023","2.820"
"28.070","2.821"
"28.118","2.820"
"28.165","2.817"
"28.212","2.813"
"28.259","2.810"
"28.307","2.807"
"28.354","2.804"
"28.401","2.801"
"28.448","2.799"
"28.496","2.796"
"28.543","2.793"
"28.590","2.793"
"28.637","2.792"
"28.685","2.790"
"28.732","2.790"
"28.779","2.790"
"28.826","2.790"
"28.874","2.789"
"28.921","2.788"
"28.968","2.787"
"29.015","2.787"
"29.063","2.788"
"29.110","2.790"
"29.157","2.791"
"29.204","2.791"
"29.252","2.792"
"29.299","2.793"
"29.346","2.794"
"29.393","2.794"
"29.441","2.793"
"29.488","2.792"
"29.535","2.790"
"29.583","2.790"
"29.630","2.792"
"29.677","2.794"
"29.724","2.796"
"29.772","2.798"
"29.819","2.800"
"29.866","2.803"
"29.913","2.805"
"29.961","2.809"
"30.008","2.812"
"30.055","2.814"
"30.102","2.814"
"30.150","2.815"
"30.197","2.817"
"30.244","2.818"
"30.291","2.819"
"30.339","2.819"
"30.386","2.820"
"30.433","2.821"
"30.480","2.822"
"30.528","2.823"
"30.575","2.822"
"30.622","2.822"
"30.669","2.822"
"30.717","2.822"
"30.764","2.821"
"30.811","2.821"
"30.858","2.822"
"30.906","2.821"
"30.953","2.821"
"31.000","2.822"
"31.047","2.824"
"31.095","2.828"
"31.142","2.831"
"31.189","2.834"
"31.236","2.835"
"31.284","2.837"
"31.331","2.841"
"31.378","2.844"
"31.426","2.846"
"31.473","2.848"
"31.520","2.850"
"31.567","2.851"
"31.615","2.850"
"31.662","2.850"
"31.709","2.851"
"31.756","2.852"
"31.804","2.852"
"31.851","2.851"
"31.898","2.852"
"31.945","2.852"
"31.993","2.852"
"32.040","2.850"
"32.087","2.848"
"32.134","2.847"
"32.182","2.846"
"32.229","2.845"
"32.276","2.842"
"32.323","2.840"
"32.371","2.837"
"32.418","2.835"
"32.465","2.834"
"32.512","2.831"
"32.560","2.828"
"32.607","2.826"
"32.654","2.825"
"32.701","2.826"
"32.749","2.826"
"32.796","2.826"
"32.843","2.826"
"32.890","2.826"
"32.938","2.829"
"32.985","2.833"
"33.032","2.836"
"33.079","2.839"
"33.127","2.843"
"33.174","2.845"
"33.221","2.845"
"33.269","2.845"
