"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142",""
"0.189",""
"0.236","0.024"
"0.284","0.024"
"0.331","0.020"
"0.378","0.016"
"0.425","0.013"
"0.473","0.010"
"0.520","0.012"
"0.567","0.018"
"0.614","0.022"
"0.662","0.021"
"0.709","0.015"
"0.756","0.014"
"0.803","0.019"
"0.851","0.023"
"0.898","0.020"
"0.945","0.012"
"0.992","0.009"
"1.040","0.012"
"1.087","0.017"
"1.134","0.019"
"1.181","0.020"
"1.229","0.021"
"1.276","0.023"
"1.323","0.022"
"1.370","0.019"
"1.418","0.017"
"1.465","0.015"
"1.512","0.014"
"1.560","0.015"
"1.607","0.017"
"1.654","0.017"
"1.701","0.015"
"1.749","0.012"
"1.796","0.014"
"1.843","0.018"
"1.890","0.019"
"1.938","0.018"
"1.985","0.017"
"2.032","0.019"
"2.079","0.018"
"2.127","0.016"
"2.174","0.014"
"2.221","0.016"
"2.268","0.017"
"2.316","0.015"
"2.363","0.011"
"2.410","0.010"
"2.457","0.015"
"2.505","0.023"
"2.552","0.026"
"2.599","0.023"
"2.646","0.016"
"2.694","0.013"
"2.741","0.014"
"2.788","0.018"
"2.835","0.019"
"2.883","0.020"
"2.930","0.020"
"2.977","0.021"
"3.025","0.021"
"3.072","0.019"
"3.119","0.016"
"3.166","0.015"
"3.214","0.020"
"3.261","0.029"
"3.308","0.035"
"3.355","0.034"
"3.403","0.029"
"3.450","0.025"
"3.497","0.023"
"3.544","0.021"
"3.592","0.020"
"3.639","0.020"
"3.686","0.020"
"3.733","0.020"
"3.781","0.020"
"3.828","0.020"
"3.875","0.019"
"3.922","0.018"
"3.970","0.015"
"4.017","0.012"
"4.064","0.014"
"4.111","0.021"
"4.159","0.028"
"4.206","0.029"
"4.253","0.023"
"4.300","0.015"
"4.348","0.010"
"4.395","0.012"
"4.442","0.018"
"4.490","0.019"
"4.537","0.015"
"4.584","0.013"
"4.631","0.019"
"4.679","0.028"
"4.726","0.031"
"4.773","0.029"
"4.820","0.025"
"4.868","0.023"
"4.915","0.022"
"4.962","0.017"
"5.009","0.015"
"5.057","0.024"
"5.104","0.038"
"5.151","0.043"
"5.198","0.032"
"5.246","0.016"
"5.293","0.007"
"5.340","0.008"
"5.387","0.012"
"5.435","0.016"
"5.482","0.017"
"5.529","0.018"
"5.576","0.020"
"5.624","0.023"
"5.671","0.026"
"5.718","0.030"
"5.765","0.030"
"5.813","0.025"
"5.860","0.020"
"5.907","0.019"
"5.955","0.022"
"6.002","0.028"
"6.049","0.035"
"6.096","0.037"
"6.144","0.035"
"6.191","0.029"
"6.238","0.023"
"6.285","0.020"
"6.333","0.023"
"6.380","0.030"
"6.427","0.034"
"6.474","0.033"
"6.522","0.031"
"6.569","0.033"
"6.616","0.035"
"6.663","0.031"
"6.711","0.024"
"6.758","0.022"
"6.805","0.026"
"6.852","0.032"
"6.900","0.038"
"6.947","0.039"
"6.994","0.034"
"7.041","0.022"
"7.089","0.012"
"7.136","0.015"
"7.183","0.027"
"7.230","0.046"
"7.278","0.132"
"7.325","0.430"
"7.372","0.801"
"7.420","0.979"
"7.467","1.031"
"7.514","1.078"
"7.561","1.125"
"7.609","1.180"
"7.656","1.289"
"7.703","1.428"
"7.750","1.517"
"7.798","1.555"
"7.845","1.589"
"7.892","1.632"
"7.939","1.681"
"7.987","1.730"
"8.034","1.773"
"8.081","1.811"
"8.128","1.848"
"8.176","1.884"
"8.223","1.919"
"8.270","1.953"
"8.317","1.990"
"8.365","2.027"
"8.412","2.063"
"8.459","2.098"
"8.506","2.129"
"8.554","2.158"
"8.601","2.190"
"8.648","2.229"
"8.695","2.274"
"8.743","2.322"
"8.790","2.370"
"8.837","2.416"
"8.885","2.458"
"8.932","2.497"
"8.979","2.533"
"9.026","2.570"
"9.074","2.608"
"9.121","2.645"
"9.168","2.678"
"9.215","2.709"
"9.263","2.738"
"9.310","2.768"
"9.357","2.795"
"9.404","2.823"
"9.452","2.851"
"9.499","2.881"
"9.546","2.916"
"9.593","2.955"
"9.641","2.995"
"9.688","3.030"
"9.735","3.058"
"9.782","3.081"
"9.830","3.101"
"9.877","3.122"
"9.924","3.143"
"9.971","3.166"
"10.019","3.190"
"10.066","3.216"
"10.113","3.243"
"10.160","3.271"
"10.208","3.299"
"10.255","3.325"
"10.302","3.349"
"10.349","3.369"
"10.397","3.386"
"10.444","3.402"
"10.491","3.418"
"10.539","3.434"
"10.586","3.449"
"10.633","3.463"
"10.680","3.477"
"10.728","3.491"
"10.775","3.506"
"10.822","3.521"
"10.869","3.535"
"10.917","3.548"
"10.964","3.560"
"11.011","3.570"
"11.058","3.581"
"11.106","3.593"
"11.153","3.604"
"11.200","3.614"
"11.247","3.623"
"11.295","3.633"
"11.342","3.643"
"11.389","3.654"
"11.436","3.665"
"11.484","3.676"
"11.531","3.686"
"11.578","3.695"
"11.625","3.702"
"11.673","3.708"
"11.720","3.713"
"11.767","3.719"
"11.814","3.727"
"11.862","3.737"
"11.909","3.747"
"11.956","3.756"
"12.004","3.764"
"12.051","3.772"
"12.098","3.780"
"12.145","3.786"
"12.193","3.792"
"12.240","3.797"
"12.287","3.803"
"12.334","3.809"
"12.382","3.816"
"12.429","3.822"
"12.476","3.829"
"12.523","3.835"
"12.571","3.842"
"12.618","3.849"
"12.665","3.856"
"12.712","3.862"
"12.760","3.867"
"12.807","3.871"
"12.854","3.875"
"12.901","3.879"
"12.949","3.883"
"12.996","3.886"
"13.043","3.890"
"13.090","3.893"
"13.138","3.896"
"13.185","3.899"
"13.232","3.903"
"13.279","3.907"
"13.327","3.910"
"13.374","3.915"
"13.421","3.920"
"13.469","3.926"
"13.516","3.931"
"13.563","3.935"
"13.610","3.937"
"13.658","3.939"
"13.705","3.940"
"13.752","3.941"
"13.799","3.944"
"13.847","3.947"
"13.894","3.950"
"13.941","3.952"
"13.988","3.954"
"14.036","3.958"
"14.083","3.962"
"14.130","3.967"
"14.177","3.972"
"14.225","3.978"
"14.272","3.982"
"14.319","3.984"
"14.366","3.985"
"14.414","3.983"
"14.461","3.981"
"14.508","3.978"
"14.555","3.978"
"14.603","3.979"
"14.650","3.981"
"14.697","3.984"
"14.744","3.986"
"14.792","3.988"
"14.839","3.989"
"14.886","3.990"
"14.934","3.992"
"14.981","3.995"
"15.028","4.001"
"15.075","4.007"
"15.123","4.012"
"15.170","4.015"
"15.217","4.016"
"15.264","4.016"
"15.312","4.014"
"15.359","4.012"
"15.406","4.010"
"15.453","4.009"
"15.501","4.009"
"15.548","4.010"
"15.595","4.012"
"15.642","4.014"
"15.690","4.015"
"15.737","4.014"
"15.784","4.012"
"15.831","4.009"
"15.879","4.005"
"15.926","4.001"
"15.973","3.998"
"16.020","3.996"
"16.068","3.995"
"16.115","3.994"
"16.162","3.992"
"16.209","3.991"
"16.257","3.990"
"16.304","3.988"
"16.351","3.986"
"16.399","3.984"
"16.446","3.983"
"16.493","3.981"
"16.540","3.980"
"16.588","3.979"
"16.635","3.977"
"16.682","3.975"
"16.729","3.974"
"16.777","3.974"
"16.824","3.975"
"16.871","3.977"
"16.918","3.978"
"16.966","3.979"
"17.013","3.980"
"17.060","3.980"
"17.107","3.979"
"17.155","3.978"
"17.202","3.978"
"17.249","3.978"
"17.296","3.978"
"17.344","3.978"
"17.391","3.977"
"17.438","3.974"
"17.485","3.970"
"17.533","3.966"
"17.580","3.963"
"17.627","3.962"
"17.674","3.961"
"17.722","3.961"
"17.769","3.960"
"17.816","3.960"
"17.864","3.960"
"17.911","3.960"
"17.958","3.958"
"18.005","3.955"
"18.053","3.952"
"18.100","3.947"
"18.147","3.941"
"18.194","3.937"
"18.242","3.933"
"18.289","3.929"
"18.336","3.926"
"18.383","3.923"
"18.431","3.920"
"18.478","3.918"
"18.525","3.918"
"18.572","3.920"
"18.620","3.924"
"18.667","3.928"
"18.714","3.930"
"18.761","3.930"
"18.809","3.929"
"18.856","3.927"
"18.903","3.924"
"18.950","3.921"
"18.998","3.918"
"19.045","3.917"
"19.092","3.915"
"19.139","3.911"
"19.187","3.906"
"19.234","3.900"
"19.281","3.892"
"19.329","3.885"
"19.376","3.879"
"19.423","3.875"
"19.470","3.872"
"19.518","3.869"
